id,name,organism,known_action,inhibition_strength,induction_strength,position,parent_key
BE0002180,Cholinesterase,Human,unknown,unknown,unknown,6,DB00082
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,7,DB00082
BE0000421,Cytochrome P450 4A11,Human,unknown,unknown,unknown,8,DB00082
BE0000657,Cytosolic phospholipase A2,Human,unknown,unknown,unknown,1,DB00086
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,NA,DB00091
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,NA,DB00091
BE0002638,Cytochrome P450 3A4,Human,unknown,moderate,unknown,NA,DB00091
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,16,DB00091
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,17,DB00091
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,18,DB00091
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,19,DB00091
BE0001075,Myeloperoxidase,Human,unknown,unknown,unknown,2,DB00104
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,1,DB00105
BE0002148,Prolyl endopeptidase,Human,unknown,unknown,unknown,3,DB00107
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,1,DB00109
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,2,DB00109
BE0000456,"Cob(I)yrinic acid a,c-diamide adenosyltransferase, mitochondrial",Human,unknown,unknown,unknown,9,DB00115
BE0000777,"Methylmalonyl-CoA mutase, mitochondrial",Human,yes,unknown,unknown,12,DB00115
BE0000734,Methionine synthase,Human,yes,unknown,unknown,13,DB00115
BE0002668,Bifunctional adenosylcobalamin biosynthesis protein CobU,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),unknown,unknown,unknown,15,DB00115
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,NA,DB00118
BE0000300,Spermidine synthase,Human,unknown,unknown,unknown,2,DB00118
BE0001111,Cytochrome P450 1B1,Human,unknown,unknown,unknown,1,DB00121
BE0002190,Choline/ethanolaminephosphotransferase 1,Human,unknown,unknown,unknown,6,DB00122
BE0000237,Choline/ethanolamine kinase,Human,unknown,unknown,unknown,11,DB00122
BE0000519,Choline O-acetyltransferase,Human,unknown,unknown,unknown,12,DB00122
BE0000784,Choline kinase alpha,Human,unknown,unknown,unknown,13,DB00122
BE0000636,"Choline dehydrogenase, mitochondrial",Human,unknown,unknown,unknown,14,DB00122
BE0002204,Xanthine dehydrogenase/oxidase,Human,unknown,unknown,unknown,NA,DB00127
BE0000111,Diamine acetyltransferase 1,Human,unknown,unknown,unknown,5,DB00127
BE0000275,Diamine acetyltransferase 2,Human,unknown,unknown,unknown,6,DB00127
BE0000004,Coagulation factor XIII A chain,Human,unknown,unknown,unknown,2,DB00130
BE0000825,"Glutaminase kidney isoform, mitochondrial",Human,unknown,unknown,unknown,3,DB00130
BE0000003,"Glutaminase liver isoform, mitochondrial",Human,unknown,unknown,unknown,4,DB00130
BE0001035,Protein-glutamine gamma-glutamyltransferase 2,Human,unknown,unknown,unknown,5,DB00130
BE0002236,Protein-glutamine gamma-glutamyltransferase 5,Human,unknown,unknown,unknown,6,DB00130
BE0002239,Protein-glutamine gamma-glutamyltransferase 6,Human,unknown,unknown,unknown,7,DB00130
BE0002241,Protein-glutamine gamma-glutamyltransferase K,Human,unknown,unknown,unknown,8,DB00130
BE0002243,Protein-glutamine gamma-glutamyltransferase 4,Human,unknown,unknown,unknown,9,DB00130
BE0001273,Protein-glutamine gamma-glutamyltransferase E,Human,unknown,unknown,unknown,10,DB00130
BE0002245,Protein-glutamine gamma-glutamyltransferase Z,Human,unknown,unknown,unknown,11,DB00130
BE0000321,GMP synthase [glutamine-hydrolyzing],Human,unknown,unknown,unknown,14,DB00130
BE0000219,Asparagine synthetase [glutamine-hydrolyzing],Human,unknown,unknown,unknown,15,DB00130
BE0000273,Kynurenine--oxoglutarate transaminase 1,Human,unknown,unknown,unknown,16,DB00130
BE0002235,Phosphoribosylformylglycinamidine synthase,Human,unknown,unknown,unknown,17,DB00130
BE0002237,"Glutamyl-tRNA(Gln) amidotransferase subunit B, mitochondrial",Human,unknown,unknown,unknown,18,DB00130
BE0002238,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2,Human,unknown,unknown,unknown,19,DB00130
BE0002227,CAD protein,Human,unknown,unknown,unknown,20,DB00130
BE0002242,Glutamine--tRNA ligase,Human,unknown,unknown,unknown,21,DB00130
BE0002244,Glutamine-dependent NAD(+) synthetase,Human,unknown,unknown,unknown,22,DB00130
BE0000352,AMP deaminase 1,Human,unknown,unknown,unknown,1,DB00131
BE0000115,Adenine phosphoribosyltransferase,Human,unknown,unknown,unknown,2,DB00131
BE0002240,Glutamine synthetase,Human,unknown,unknown,unknown,NA,DB00134
BE0002176,Methylenetetrahydrofolate reductase,Human,unknown,unknown,unknown,NA,DB00134
BE0000304,S-adenosylmethionine synthase isoform type-2,Human,unknown,unknown,unknown,2,DB00134
BE0000432,"Methionine-R-sulfoxide reductase B2, mitochondrial",Human,unknown,unknown,unknown,3,DB00134
BE0000407,S-adenosylmethionine synthase isoform type-1,Human,unknown,unknown,unknown,4,DB00134
BE0000288,Methionine-R-sulfoxide reductase B1,Human,unknown,unknown,unknown,5,DB00134
BE0000170,Mitochondrial peptide methionine sulfoxide reductase,Human,unknown,unknown,unknown,6,DB00134
BE0000543,"Methionine--tRNA ligase, cytoplasmic",Human,unknown,unknown,unknown,7,DB00134
BE0002248,"Methionine--tRNA ligase, mitochondrial",Human,unknown,unknown,unknown,8,DB00134
BE0002178,Methionine adenosyltransferase 2 subunit beta,Human,unknown,unknown,unknown,9,DB00134
BE0002250,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",Human,unknown,unknown,unknown,NA,DB00136
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00136
BE0002198,Amine oxidase [flavin-containing] A,Human,unknown,unknown,unknown,NA,DB00140
BE0002176,Methylenetetrahydrofolate reductase,Human,unknown,unknown,unknown,NA,DB00140
BE0002189,Glutathione S-transferase A2,Human,unknown,unknown,unknown,NA,DB00143
BE0002281,Glutathione S-transferase A1,Human,unknown,unknown,unknown,NA,DB00143
BE0000443,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",Human,unknown,unknown,unknown,1,DB00146
BE0002250,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",Human,unknown,unknown,unknown,2,DB00146
BE0003532,"Tryptophan 2,3-dioxygenase",Human,unknown,unknown,unknown,NA,DB00150
BE0002151,Aromatic-L-amino-acid decarboxylase,Human,unknown,unknown,unknown,NA,DB00150
BE0001343,Tryptophan--tRNA ligase,Geobacillus stearothermophilus,unknown,unknown,unknown,3,DB00150
BE0002311,"Tryptophan--tRNA ligase, mitochondrial",Human,unknown,unknown,unknown,4,DB00150
BE0000121,Tryptophan 5-hydroxylase 1,Human,unknown,unknown,unknown,5,DB00150
BE0000080,Tryptophan 5-hydroxylase 2,Human,unknown,unknown,unknown,6,DB00150
BE0000228,"Tryptophan--tRNA ligase, cytoplasmic",Human,unknown,unknown,unknown,7,DB00150
BE0000693,"Indoleamine 2,3-dioxygenase 1",Human,unknown,unknown,unknown,8,DB00150
BE0004673,Cytochrome P450 4B1,Human,unknown,unknown,unknown,5,DB00152
BE0002250,"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial",Human,unknown,unknown,unknown,NA,DB00153
BE0000443,"25-hydroxyvitamin D-1 alpha hydroxylase, mitochondrial",Human,unknown,unknown,unknown,NA,DB00153
BE0000549,"Sterol 26-hydroxylase, mitochondrial",Human,unknown,unknown,unknown,NA,DB00153
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00153
BE0000524,Vitamin D 25-hydroxylase,Human,unknown,unknown,unknown,NA,DB00153
BE0002204,Xanthine dehydrogenase/oxidase,Human,unknown,unknown,unknown,NA,DB00157
BE0003539,Aldehyde oxidase,Human,unknown,unknown,unknown,NA,DB00157
BE0003545,Alcohol dehydrogenase 6,Human,unknown,unknown,unknown,NA,DB00157
BE0004352,Alcohol dehydrogenase [NADP(+)],Human,unknown,unknown,unknown,1,DB00157
BE0000227,Alcohol dehydrogenase 1A,Human,unknown,unknown,unknown,2,DB00157
BE0000400,Alcohol dehydrogenase 1B,Human,unknown,unknown,unknown,3,DB00157
BE0000360,Alcohol dehydrogenase 4,Human,unknown,unknown,unknown,4,DB00157
BE0000009,Alcohol dehydrogenase class-3,Human,unknown,unknown,unknown,5,DB00157
BE0000522,Alcohol dehydrogenase class 4 mu/sigma chain,Human,unknown,unknown,unknown,6,DB00157
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,1,DB00158
BE0000265,Gamma-glutamyl hydrolase,Human,unknown,unknown,unknown,2,DB00158
BE0002176,Methylenetetrahydrofolate reductase,Human,unknown,unknown,unknown,3,DB00158
BE0000223,Valine--tRNA ligase,Human,unknown,unknown,unknown,2,DB00161
BE0000544,"Propionyl-CoA carboxylase beta chain, mitochondrial",Human,unknown,unknown,unknown,3,DB00161
BE0000517,"Branched-chain-amino-acid aminotransferase, cytosolic",Human,unknown,unknown,unknown,4,DB00161
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,1,DB00162
BE0003480,Cytochrome P450 26A1,Human,unknown,unknown,unknown,2,DB00162
BE0002189,Glutathione S-transferase A2,Human,unknown,unknown,unknown,NA,DB00163
BE0000814,Glutathione S-transferase P,Human,unknown,unknown,unknown,1,DB00163
BE0000815,Glutathione S-transferase omega-1,Human,unknown,unknown,unknown,2,DB00163
BE0000810,Glutathione S-transferase Mu 3,Human,unknown,unknown,unknown,3,DB00163
BE0000166,Glutamate--cysteine ligase catalytic subunit,Human,unknown,unknown,unknown,4,DB00163
BE0001184,NAD(P)H dehydrogenase [quinone] 1,Human,unknown,unknown,unknown,5,DB00163
BE0000735,Heme oxygenase 1,Human,unknown,unknown,unknown,6,DB00163
BE0002390,Superoxide dismutase [Cu-Zn],Human,unknown,unknown,unknown,7,DB00163
BE0003543,Cytochrome P450 1A1,Human,no,unknown,unknown,2,DB00165
BE0002364,NADPH--cytochrome P450 reductase,Human,unknown,unknown,unknown,NA,DB00166
BE0000524,Vitamin D 25-hydroxylase,Human,unknown,unknown,unknown,1,DB00169
BE0000549,"Sterol 26-hydroxylase, mitochondrial",Human,unknown,unknown,unknown,2,DB00169
BE0003683,Cytochrome P450 2J2,Human,unknown,unknown,unknown,3,DB00169
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,4,DB00169
BE0003537,"Cholesterol side-chain cleavage enzyme, mitochondrial",Human,unknown,unknown,unknown,5,DB00169
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,6,DB00169
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,7,DB00169
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,8,DB00169
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,9,DB00169
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,10,DB00169
BE0002363,Cytochrome P450 2D6,Human,unknown,moderate,unknown,11,DB00169
BE0002204,Xanthine dehydrogenase/oxidase,Human,unknown,unknown,unknown,NA,DB00170
BE0003539,Aldehyde oxidase,Human,unknown,unknown,unknown,NA,DB00170
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,NA,DB00170
BE0002176,Methylenetetrahydrofolate reductase,Human,unknown,unknown,unknown,NA,DB00170
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,NA,DB00170
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,14,DB00170
BE0003336,Cytochrome P450 2A6,Human,unknown,unknown,unknown,15,DB00170
BE0003540,Adenosine kinase,Human,unknown,unknown,unknown,NA,DB00171
BE0002330,"Proline dehydrogenase 1, mitochondrial",Human,unknown,unknown,unknown,NA,DB00172
BE0003541,UDP-glucuronosyltransferase 1-1,Human,unknown,unknown,unknown,NA,DB00173
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,12,DB00175
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,13,DB00175
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,14,DB00175
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,15,DB00175
BE0002363,Cytochrome P450 2D6,Human,unknown,moderate,unknown,1,DB00176
BE0002433,Cytochrome P450 1A2,Human,unknown,strong,unknown,2,DB00176
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,3,DB00176
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,4,DB00176
BE0002638,Cytochrome P450 3A4,Human,unknown,moderate,unknown,5,DB00176
BE0002362,Cytochrome P450 3A5,Human,unknown,moderate,unknown,6,DB00176
BE0003612,Cytochrome P450 3A7,Human,unknown,moderate,unknown,7,DB00176
BE0002793,Cytochrome P450 2C9,Human,unknown,moderate,unknown,8,DB00176
BE0003536,Cytochrome P450 2C19,Human,unknown,strong,unknown,9,DB00176
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,10,DB00176
BE0002887,Cytochrome P450 2C8,Human,unknown,strong,unknown,12,DB00176
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,NA,DB00177
BE0002180,Cholinesterase,Human,unknown,unknown,unknown,3,DB00178
BE0003683,Cytochrome P450 2J2,Human,unknown,unknown,unknown,2,DB00179
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00180
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,NA,DB00182
BE0003336,Cytochrome P450 2A6,Human,unknown,unknown,unknown,6,DB00182
BE0002180,Cholinesterase,Human,unknown,unknown,unknown,1,DB00183
BE0003336,Cytochrome P450 2A6,Human,unknown,weak,unknown,NA,DB00184
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,NA,DB00184
BE0003534,Cytochrome P450 2A13,Human,unknown,unknown,unknown,NA,DB00184
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,NA,DB00184
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,17,DB00184
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,18,DB00184
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,19,DB00184
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,20,DB00184
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,21,DB00184
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,22,DB00184
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,23,DB00184
BE0002198,Amine oxidase [flavin-containing] A,Human,unknown,unknown,unknown,24,DB00184
BE0002196,Amine oxidase [flavin-containing] B,Human,unknown,unknown,unknown,25,DB00184
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,1,DB00185
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,2,DB00185
BE0003609,Dimethylaniline monooxygenase [N-oxide-forming] 1,Human,unknown,unknown,unknown,3,DB00185
BE0004696,UDP-glucuronosyltransferase 2B15,Human,unknown,unknown,unknown,2,DB00186
BE0002638,Cytochrome P450 3A4,Human,no,weak,unknown,1,DB00188
BE0003536,Cytochrome P450 2C19,Human,no,unknown,unknown,2,DB00188
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,3,DB00188
BE0002433,Cytochrome P450 1A2,Human,no,moderate,unknown,4,DB00188
BE0002793,Cytochrome P450 2C9,Human,no,unknown,unknown,5,DB00188
BE0002198,Amine oxidase [flavin-containing] A,Human,unknown,unknown,unknown,NA,DB00191
BE0002196,Amine oxidase [flavin-containing] B,Human,unknown,unknown,unknown,NA,DB00191
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,6,DB00191
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,7,DB00191
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,8,DB00191
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,NA,DB00193
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00193
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,7,DB00193
BE0003541,UDP-glucuronosyltransferase 1-1,Human,no,unknown,unknown,11,DB00193
BE0002214,Adenosine deaminase,Human,unknown,unknown,unknown,NA,DB00194
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,NA,DB00195
BE0002363,Cytochrome P450 2D6,Human,unknown,moderate,unknown,2,DB00195
BE0002638,Cytochrome P450 3A4,Human,unknown,moderate,unknown,NA,DB00196
BE0002793,Cytochrome P450 2C9,Human,unknown,moderate,unknown,NA,DB00196
BE0003536,Cytochrome P450 2C19,Human,unknown,strong,unknown,NA,DB00196
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,NA,DB00196
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,NA,DB00196
BE0000731,"Cytochrome P450 11B1, mitochondrial",Human,unknown,unknown,unknown,3,DB00196
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,4,DB00196
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00197
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,NA,DB00197
BE0003541,UDP-glucuronosyltransferase 1-1,Human,unknown,unknown,unknown,NA,DB00197
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,NA,DB00197
BE0002090,Cytochrome P450 19A1,Human,unknown,unknown,unknown,5,DB00197
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,6,DB00197
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,7,DB00197
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,8,DB00197
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,9,DB00197
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,10,DB00197
BE0003677,UDP-glucuronosyltransferase 1-3,Human,unknown,unknown,unknown,11,DB00197
BE0003544,UDP-glucuronosyltransferase 1-4,Human,unknown,unknown,unknown,12,DB00197
BE0004694,UDP-glucuronosyltransferase 1-6,Human,unknown,unknown,unknown,13,DB00197
BE0004695,UDP-glucuronosyltransferase 1-7,Human,unknown,unknown,unknown,14,DB00197
BE0003682,UDP-glucuronosyltransferase 1-8,Human,unknown,unknown,unknown,15,DB00197
BE0003538,UDP-glucuronosyltransferase 1-9,Human,unknown,unknown,unknown,16,DB00197
BE0003678,UDP-glucuronosyltransferase 1-10,Human,unknown,unknown,unknown,17,DB00197
BE0003679,UDP-glucuronosyltransferase 2B7,Human,unknown,unknown,unknown,18,DB00197
BE0004696,UDP-glucuronosyltransferase 2B15,Human,unknown,unknown,unknown,19,DB00197
BE0002638,Cytochrome P450 3A4,Human,no,moderate,unknown,NA,DB00199
BE0003612,Cytochrome P450 3A7,Human,no,moderate,unknown,NA,DB00199
BE0002433,Cytochrome P450 1A2,Human,no,unknown,unknown,1,DB00199
BE0003549,Cytochrome P450 2B6,Human,no,unknown,unknown,1,DB00199
BE0002362,Cytochrome P450 3A5,Human,unknown,moderate,unknown,2,DB00199
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,NA,DB00201
BE0002433,Cytochrome P450 1A2,Human,unknown,moderate,unknown,NA,DB00201
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,NA,DB00201
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00201
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,6,DB00201
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,7,DB00201
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,8,DB00201
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,9,DB00201
BE0001111,Cytochrome P450 1B1,Human,unknown,unknown,unknown,10,DB00201
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,11,DB00201
BE0002180,Cholinesterase,Human,unknown,unknown,unknown,NA,DB00202
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,1,DB00203
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,2,DB00203
BE0003612,Cytochrome P450 3A7,Human,unknown,unknown,unknown,3,DB00203
BE0002793,Cytochrome P450 2C9,Human,unknown,weak,unknown,4,DB00203
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,5,DB00203
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,6,DB00203
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,7,DB00203
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,8,DB00203
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00204
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,NA,DB00205
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,NA,DB00205
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,3,DB00205
BE0002362,Cytochrome P450 3A5,Human,unknown,unknown,unknown,6,DB00206
BE0003336,Cytochrome P450 2A6,Human,unknown,unknown,unknown,4,DB00207
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,5,DB00207
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,5,DB00207
BE0003536,Cytochrome P450 2C19,Human,unknown,strong,unknown,1,DB00208
BE0002363,Cytochrome P450 2D6,Human,unknown,moderate,unknown,2,DB00208
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,3,DB00208
BE0001075,Myeloperoxidase,Human,unknown,unknown,unknown,4,DB00208
BE0002793,Cytochrome P450 2C9,Human,unknown,weak,unknown,5,DB00208
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,6,DB00208
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,7,DB00208
BE0003543,Cytochrome P450 1A1,Human,unknown,unknown,unknown,8,DB00208
BE0003549,Cytochrome P450 2B6,Human,unknown,strong,unknown,9,DB00208
BE0003533,Cytochrome P450 2E1,Human,unknown,weak,unknown,10,DB00208
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,1,DB00209
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,NA,DB00211
BE0003536,Cytochrome P450 2C19,Human,unknown,weak,unknown,NA,DB00213
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00213
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,NA,DB00213
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,NA,DB00213
BE0002887,Cytochrome P450 2C8,Human,unknown,unknown,unknown,NA,DB00214
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,NA,DB00214
BE0000017,Prostaglandin G/H synthase 1,Human,unknown,unknown,unknown,1,DB00214
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,2,DB00214
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,0,DB00215
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,3,DB00215
BE0002363,Cytochrome P450 2D6,Human,unknown,weak,unknown,3,DB00215
BE0003533,Cytochrome P450 2E1,Human,unknown,unknown,unknown,5,DB00215
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,6,DB00215
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,8,DB00215
BE0002638,Cytochrome P450 3A4,Human,unknown,unknown,unknown,NA,DB00216
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,1,DB00216
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,2,DB00216
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,3,DB00216
BE0000017,Prostaglandin G/H synthase 1,Human,unknown,unknown,unknown,4,DB00216
BE0003336,Cytochrome P450 2A6,Human,unknown,unknown,unknown,7,DB00216
BE0003549,Cytochrome P450 2B6,Human,unknown,unknown,unknown,NA,DB00220
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,NA,DB00220
BE0002638,Cytochrome P450 3A4,Human,unknown,strong,unknown,NA,DB00220
BE0003612,Cytochrome P450 3A7,Human,unknown,strong,unknown,NA,DB00220
BE0002362,Cytochrome P450 3A5,Human,unknown,strong,unknown,NA,DB00220
BE0002433,Cytochrome P450 1A2,Human,unknown,unknown,unknown,6,DB00220
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,7,DB00220
BE0002363,Cytochrome P450 2D6,Human,unknown,unknown,unknown,8,DB00220
BE0003541,UDP-glucuronosyltransferase 1-1,Human,no,unknown,unknown,10,DB00220
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,NA,DB00222
BE0002638,Cytochrome P450 3A4,Human,unknown,strong,unknown,NA,DB00224
BE0003612,Cytochrome P450 3A7,Human,unknown,weak,unknown,NA,DB00224
BE0002362,Cytochrome P450 3A5,Human,unknown,weak,unknown,NA,DB00224
BE0003536,Cytochrome P450 2C19,Human,unknown,unknown,unknown,7,DB00224
BE0002793,Cytochrome P450 2C9,Human,unknown,unknown,unknown,8,DB00224
BE0002363,Cytochrome P450 2D6,Human,unknown,moderate,unknown,9,DB00224
BE0003541,UDP-glucuronosyltransferase 1-1,Human,unknown,unknown,unknown,10,DB00224
BE0002638,Cytochrome P450 3A4,Human,unknown,moderate,unknown,1,DB00227
