id,name,organism,known_action,position,parent_key
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,unknown,NA,DB00056
BE0001529,Complement C1s subcomponent,Human,unknown,NA,DB00056
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,unknown,NA,DB00056
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,unknown,NA,DB00056
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,unknown,NA,DB00056
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,unknown,NA,DB00056
BE0004842,Tumor-associated glycoprotein 72 (TAG-72),Human,yes,1,DB00057
BE0000394,Neutrophil elastase,Human,yes,NA,DB00058
BE0004798,L-asparagine,Human,yes,NA,DB00059
BE0000661,Interferon alpha/beta receptor 1,Human,yes,1,DB00060
BE0000385,Interferon alpha/beta receptor 2,Human,yes,2,DB00060
BE0004828,Adenosine,Human,yes,NA,DB00061
BE0000917,Growth factor receptor-bound protein 2,Human,unknown,NA,DB00061
BE0001155,Integrin beta-3,Human,yes,NA,DB00063
BE0000704,Tumor necrosis factor,Human,yes,NA,DB00065
BE0000387,Follicle-stimulating hormone receptor,Human,yes,NA,DB00066
BE0000293,Vasopressin V2 receptor,Human,yes,1,DB00067
BE0000165,Vasopressin V1a receptor,Human,yes,2,DB00067
BE0000773,Vasopressin V1b receptor,Human,yes,3,DB00067
BE0000661,Interferon alpha/beta receptor 1,Human,yes,NA,DB00068
BE0000385,Interferon alpha/beta receptor 2,Human,yes,NA,DB00068
BE0000661,Interferon alpha/beta receptor 1,Human,yes,NA,DB00069
BE0000385,Interferon alpha/beta receptor 2,Human,yes,NA,DB00069
BE0004821,Hyaluronan,Human,yes,1,DB00070
BE0000984,Transforming growth factor beta-1,Human,unknown,2,DB00070
BE0000033,Insulin receptor,Human,yes,1,DB00071
BE0000858,Insulin-like growth factor 1 receptor,Human,unknown,2,DB00071
BE0001183,Insulin-degrading enzyme,Human,unknown,3,DB00071
BE0002122,"HLA class II histocompatibility antigen, DQ alpha 2 chain",Human,unknown,4,DB00071
BE0004466,"HLA class II histocompatibility antigen, DQ beta 1 chain",Human,unknown,5,DB00071
BE0002123,Retinoblastoma-associated protein,Human,unknown,6,DB00071
BE0000941,Cathepsin D,Human,unknown,7,DB00071
BE0001123,Carboxypeptidase E,Human,unknown,8,DB00071
BE0002124,Neuroendocrine convertase 2,Human,unknown,9,DB00071
BE0002125,Neuroendocrine convertase 1,Human,unknown,10,DB00071
BE0001147,Protein NOV homolog,Human,unknown,11,DB00071
BE0000942,Low-density lipoprotein receptor-related protein 2,Human,unknown,12,DB00071
BE0002126,Insulin-like growth factor-binding protein 7,Human,unknown,13,DB00071
BE0002127,Synaptotagmin-like protein 4,Human,unknown,14,DB00071
BE0000511,Receptor tyrosine-protein kinase erbB-2,Human,yes,1,DB00072
BE0000767,Epidermal growth factor receptor,Human,unknown,2,DB00072
BE0002093,Complement C1r subcomponent,Human,unknown,3,DB00072
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,4,DB00072
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,5,DB00072
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,6,DB00072
BE0001529,Complement C1s subcomponent,Human,unknown,7,DB00072
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,unknown,8,DB00072
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,unknown,9,DB00072
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,unknown,10,DB00072
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,unknown,11,DB00072
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,12,DB00072
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,unknown,13,DB00072
BE0000066,B-lymphocyte antigen CD20,Human,yes,NA,DB00073
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,NA,DB00073
BE0002093,Complement C1r subcomponent,Human,unknown,NA,DB00073
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,NA,DB00073
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,NA,DB00073
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,NA,DB00073
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,unknown,NA,DB00073
BE0001529,Complement C1s subcomponent,Human,unknown,NA,DB00073
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,unknown,NA,DB00073
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,unknown,NA,DB00073
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,unknown,NA,DB00073
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,unknown,NA,DB00073
BE0000658,Interleukin-2 receptor subunit alpha,Human,yes,1,DB00074
BE0000651,Interleukin-2 receptor subunit beta,Human,unknown,2,DB00074
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,unknown,3,DB00074
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,unknown,4,DB00074
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,unknown,5,DB00074
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,unknown,6,DB00074
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,unknown,7,DB00074
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,8,DB00074
BE0001529,Complement C1s subcomponent,Human,unknown,9,DB00074
BE0002093,Complement C1r subcomponent,Human,unknown,10,DB00074
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,11,DB00074
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,12,DB00074
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,13,DB00074
BE0003456,T-cell surface glycoprotein CD3 delta chain,Human,yes,1,DB00075
BE0000274,T-cell surface glycoprotein CD3 epsilon chain,Human,yes,2,DB00075
BE0003457,T-cell surface glycoprotein CD3 gamma chain,Human,yes,3,DB00075
BE0003458,T-cell surface glycoprotein CD3 zeta chain,Human,yes,4,DB00075
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,5,DB00075
BE0002093,Complement C1r subcomponent,Human,unknown,6,DB00075
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,7,DB00075
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,8,DB00075
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,9,DB00075
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,unknown,10,DB00075
BE0001529,Complement C1s subcomponent,Human,unknown,11,DB00075
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,unknown,12,DB00075
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,unknown,13,DB00075
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,unknown,14,DB00075
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,unknown,15,DB00075
BE0004837,Digoxin,Human,yes,NA,DB00076
BE0000066,B-lymphocyte antigen CD20,Human,yes,1,DB00078
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,2,DB00078
BE0002093,Complement C1r subcomponent,Human,unknown,3,DB00078
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,4,DB00078
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,5,DB00078
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,6,DB00078
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,unknown,7,DB00078
BE0001529,Complement C1s subcomponent,Human,unknown,8,DB00078
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,unknown,9,DB00078
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,unknown,10,DB00078
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,unknown,11,DB00078
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,unknown,12,DB00078
BE0004833,Bacterial outer membrane,,yes,NA,DB00080
BE0004832,Lipoteichoic acid synthesis,Gram positive bacteria,unknown,NA,DB00080
BE0000066,B-lymphocyte antigen CD20,Human,yes,1,DB00081
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,2,DB00081
BE0002093,Complement C1r subcomponent,Human,unknown,3,DB00081
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,4,DB00081
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,5,DB00081
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,6,DB00081
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,unknown,7,DB00081
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,unknown,8,DB00081
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,unknown,9,DB00081
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,unknown,10,DB00081
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,unknown,11,DB00081
BE0000075,Growth hormone receptor,Human,yes,1,DB00082
BE0000390,Synaptosomal-associated protein 25,Human,yes,NA,DB00083
BE0003572,Rho-related GTP-binding protein RhoB,Human,unknown,1,DB00083
BE0004834,Dietary fat,Human,yes,1,DB00085
BE0004835,Dietary protein,Human,yes,2,DB00085
BE0004836,Dietary starch,Human,yes,3,DB00085
BE0000211,Plasminogen,Human,yes,NA,DB00086
BE0000928,Proteinase-activated receptor 1,Human,unknown,NA,DB00086
BE0000083,CAMPATH-1 antigen,Human,yes,1,DB00087
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,2,DB00087
BE0002093,Complement C1r subcomponent,Human,unknown,3,DB00087
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,4,DB00087
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,5,DB00087
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,6,DB00087
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,unknown,7,DB00087
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,unknown,8,DB00087
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,unknown,9,DB00087
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,unknown,10,DB00087
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,unknown,11,DB00087
BE0004806,Glucocerebroside,Human,yes,1,DB00088
BE0000568,Glutamate carboxypeptidase 2,Human,yes,NA,DB00089
BE0004822,Iduronic acid,Human,yes,NA,DB00090
BE0000379,Calcium signal-modulating cyclophilin ligand,Human,yes,1,DB00091
BE0002143,Calcineurin subunit B type 2,Human,yes,2,DB00091
BE0001014,Peptidyl-prolyl cis-trans isomerase A,Human,unknown,3,DB00091
BE0001399,"Peptidyl-prolyl cis-trans isomerase F, mitochondrial",Human,unknown,20,DB00091
BE0000719,T-cell surface antigen CD2,Human,yes,1,DB00092
BE0002093,Complement C1r subcomponent,Human,unknown,2,DB00092
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,3,DB00092
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,4,DB00092
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,5,DB00092
BE0002097,Low affinity immunoglobulin gamma Fc region receptor III-A,Human,unknown,6,DB00092
BE0000710,High affinity immunoglobulin gamma Fc receptor I,Human,unknown,7,DB00092
BE0002098,Low affinity immunoglobulin gamma Fc region receptor II-a,Human,unknown,8,DB00092
BE0002099,Low affinity immunoglobulin gamma Fc region receptor II-b,Human,unknown,9,DB00092
BE0002100,Low affinity immunoglobulin gamma Fc region receptor II-c,Human,unknown,10,DB00092
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,11,DB00092
BE0000165,Vasopressin V1a receptor,Human,yes,NA,DB00093
BE0000387,Follicle-stimulating hormone receptor,Human,yes,NA,DB00094
BE0000516,Integrin alpha-L,Human,yes,NA,DB00095
BE0000901,Low affinity immunoglobulin gamma Fc region receptor III-B,Human,unknown,NA,DB00095
BE0002093,Complement C1r subcomponent,Human,unknown,NA,DB00095
BE0002094,Complement C1q subcomponent subunit A,Human,unknown,NA,DB00095
BE0002095,Complement C1q subcomponent subunit B,Human,unknown,NA,DB00095
BE0002096,Complement C1q subcomponent subunit C,Human,unknown,NA,DB00095
