sequence,left_drugbank_id,left_drugbank_name,right_drugbank_id,right_drugbank_name,parent_key
1,DB00184,Nicotine,DBMET00533,Nicotine-1'-N-oxide,DB00184
1,DB00184,Nicotine,DBMET00613,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanone,DB00184
1,DB00184,Nicotine,DBMET00643,4-(Methylnitrosamino)-1-(3-pyridyl)-1-butanol,DB00184
1,DB00184,Nicotine,DBMET01717,"(S)-Nicotine delta-1',5'-iminium ion",DB00184
1,DB00184,Nicotine,DBMET01718,2'-Hydroxynicotine,DB00184
2,DBMET00516,Nicotine imine,DBMET00519,Cotinine,DB00184
2,DBMET00519,Cotinine,DBMET00529,Cotinine N-oxide,DB00184
2,DBMET00519,Cotinine,DBMET00527,3'-Hydroxycotinine,DB00184
2,DBMET00519,Cotinine,DBMET00520,Nornicotine,DB00184
2,DBMET00519,Cotinine,DBMET00533,Nicotine-1'-N-oxide,DB00184
2,DBMET00519,Cotinine,DBMET00517,Cotinine glucuronide,DB00184
1,DB00185,Cevimeline,DBMET00430,cevimeline trans-sulfoxide,DB00185
1,DB00185,Cevimeline,DBMET00431,cevimeline cis-sulfoxide,DB00185
1,DB00185,Cevimeline,DBMET00432,cevimeline cis-sulfoxidation,DB00185
1,DB00185,Cevimeline,DBMET00433,cevimeline N-oxide,DB00185
1,DB00185,Cevimeline,DBMET00488,Glucuronic acid,DB00185
1,DB00186,Lorazepam,DBMET00648,Lorazepam glucuronide,DB00186
1,DB00187,Esmolol,DBMET00536,Methanol,DB00187
1,DB00188,Bortezomib,DBMET01061,Bortezomib metabolite M1,DB00188
1,DB00188,Bortezomib,DBMET01062,Bortezomib metabolite M2,DB00188
1,DB00188,Bortezomib,DBMET01081,Bortezomib metabolite M34,DB00188
1,DB00188,Bortezomib,DBMET01122,Bortezomib metabolite M23 or M24 (1),DB00188
1,DB00188,Bortezomib,DBMET01124,Bortezomib metabolite M23 or M24 (2),DB00188
2,DBMET01061,Bortezomib metabolite M1,DBMET01063,Bortezomib metabolite M3,DB00188
2,DBMET01062,Bortezomib metabolite M2,DBMET01063,Bortezomib metabolite M3,DB00188
2,DBMET01061,Bortezomib metabolite M1,DBMET01065,Bortezomib metabolite M5,DB00188
2,DBMET01062,Bortezomib metabolite M2,DBMET01066,Bortezomib metabolite M6,DB00188
2,DBMET01062,Bortezomib metabolite M2,DBMET01067,Bortezomib metabolite M8,DB00188
2,DBMET01061,Bortezomib metabolite M1,DBMET01082,Bortezomib metabolite M25,DB00188
2,DBMET01061,Bortezomib metabolite M1,DBMET01084,Bortezomib metabolite M26,DB00188
2,DBMET01062,Bortezomib metabolite M2,DBMET01085,Bortezomib metabolite M27,DB00188
2,DBMET01062,Bortezomib metabolite M2,DBMET01086,Bortezomib metabolite M28,DB00188
3,DBMET01063,Bortezomib metabolite M3,DBMET01064,Bortezomib metabolite M4,DB00188
3,DBMET01067,Bortezomib metabolite M8,DBMET01068,Bortezomib metabolite M33,DB00188
1,DB00190,Carbidopa,DBMET00637,"3,4-Dihydroxyphenylacetone",DB00190
1,DB00190,Carbidopa,DBMET00698,3-(3-hydroxyphenyl)-2-methyllactic acid,DB00190
1,DB00190,Carbidopa,DBMET00699,3-(3-hydroxyphenyl)-2-methylpropionic acid,DB00190
1,DB00190,Carbidopa,DBMET00700,"3-(3,4-dihydroxyphenyl)-2-methylpropionic acid",DB00190
1,DB00190,Carbidopa,DBMET00701,3-(4-hydroxy-3-methoxyphenyl)-2-methyllactic acid,DB00190
1,DB00190,Carbidopa,DBMET00702,3-(4-hydroxy-3-methoxyphenyl)-2-methylpropionic acid,DB00190
1,DB00193,Tramadol,DBMET00324,O-Desmethyltramadol,DB00193
1,DB00193,Tramadol,DBMET00343,N-Desmethyltramadol,DB00193
2,DBMET00324,O-Desmethyltramadol,DBMET00966,O-Desmethyl-tramado glucuronide,DB00193
2,DBMET00324,O-Desmethyltramadol,DBMET00957,"N,O-didesmethyltramadol",DB00193
2,DBMET00343,N-Desmethyltramadol,DBMET00957,"N,O-didesmethyltramadol",DB00193
2,DBMET00343,N-Desmethyltramadol,DBMET00954,"N,N-didesmethyltramadol",DB00193
3,DBMET00957,"N,O-didesmethyltramadol",DBMET00956,"N,N,O-tridesmethyl-tramadol",DB00193
3,DBMET00954,"N,N-didesmethyltramadol",DBMET00956,"N,N,O-tridesmethyl-tramadol",DB00193
1,DB00199,Erythromycin,DBMET00365,norerythromycin,DB00199
1,DB00199,Erythromycin,DBMET01656,N-Desmethylerythromycin,DB00199
1,DB00201,Caffeine,DBMET00220,Theobromine,DB00201
1,DB00201,Caffeine,DBMET00221,Theophylline,DB00201
1,DB00201,Caffeine,DBMET00222,"1,3,7-Trimethyluric acid",DB00201
1,DB00201,Caffeine,DBMET00223,Paraxanthine,DB00201
2,DBMET00223,Paraxanthine,DBMET00611,"1,7-Dimethyluric acid",DB00201
2,DBMET00221,Theophylline,DBMET00271,1-Methylxanthine,DB00201
2,DBMET00223,Paraxanthine,DBMET00612,5-Acetylamino-6-formylamino-3-methyluracil,DB00201
2,DBMET00223,Paraxanthine,DBMET00271,1-Methylxanthine,DB00201
3,DBMET00271,1-Methylxanthine,DBMET00560,1-Methyluric acid,DB00201
1,DB00203,Sildenafil,DBMET01744,N-Desmethyl sildenafil,DB00203
1,DB00203,Sildenafil,DBMET00182,"N-Desmethyl sildenafil (UK-103,320)",DB00203
1,DB00208,Ticlopidine,DBMET00091,2-Chloroticlopidine,DB00208
1,DB00208,Ticlopidine,DBMET00092,2-Oxoticlopidine,DB00208
1,DB00208,Ticlopidine,DBMET00093,Thienodihydropyridinium,DB00208
1,DB00208,Ticlopidine,DBMET00094,Ticlopidine S-oxide,DB00208
1,DB00208,Ticlopidine,DBMET00095,Dehydrogenated ticlopidine,DB00208
1,DB00208,Ticlopidine,DBMET00096,Ticlopidine N-oxide,DB00208
1,DB00208,Ticlopidine,DBMET00097,di-Hydroxyticlopidine,DB00208
1,DB00208,Ticlopidine,DBMET00618,7-Hydroxyticlopidine,DB00208
2,DBMET00092,2-Oxoticlopidine,DBMET01202,Active metabolite of Ticlopidine,DB00208
2,DBMET00094,Ticlopidine S-oxide,DBMET01207,Ticlopidine S-oxide dimer,DB00208
2,DBMET00093,Thienodihydropyridinium,DBMET01208,Thienopyridinium,DB00208
2,DBMET00093,Thienodihydropyridinium,DBMET01209,Ticlopidine lactam analog (M8),DB00208
1,DB00211,Midodrine,DBMET00829,desglymidodrine,DB00211
1,DB00213,Pantoprazole,DBMET01168,Active Metabolite of Pantoprazole,DB00213
1,DB00214,Torasemide,DBMET00297,hydroxytorsemide,DB00214
1,DB00215,Citalopram,DBMET00659,Citalopram propionic acid,DB00215
1,DB00215,Citalopram,DBMET00195,Citalopram N-oxide,DB00215
1,DB00215,Citalopram,DBMET00196,N-Desmethylcitalopram,DB00215
2,DBMET00196,N-Desmethylcitalopram,DBMET00661,"N,N-Didesmethylcitalopram",DB00215
1,DB00216,Eletriptan,DBMET00088,N-Desmethyleletriptan,DB00216
1,DB00216,Eletriptan,DBMET00089,Eletriptan N-oxide,DB00216
1,DB00220,Nelfinavir,DBMET01800,Nelfinavir hydroxyl-t- butylamide,DB00220
1,DB00220,Nelfinavir,DBMET01801,"3,4-Dihydroxynelfinavir",DB00220
1,DB00222,Glimepiride,DBMET01326,Cyclohexyl hydroxymethyl glimepiride,DB00222
2,DBMET01326,Cyclohexyl hydroxymethyl glimepiride,DBMET01327,Cyclohexyl carboxyl glimepiride,DB00222
1,DB00224,Indinavir,DBMET00373,Metabolite M6,DB00224
1,DB00227,Lovastatin,DBMET01698,6'beta-Hydroxylovastatin,DB00227
1,DB00227,Lovastatin,DBMET01699,3''-Hydroxylovastatin,DB00227
1,DB00228,Enflurane,DBMET01560,"2-(difluoromethoxy)-2,2-difluoroacetyl fluoride",DB00228
1,DB00230,Pregabalin,DBMET01540,N-methylpregabalin,DB00230
1,DB00231,Temazepam,DBMET00246,Oxazepam,DB00231
1,DB00231,Temazepam,DBMET00650,Oxazepam glucuronide,DB00231
1,DB00238,Nevirapine,DBMET00074,12-Hydroxynevirapine,DB00238
1,DB00238,Nevirapine,DBMET00075,2-Hydroxynevirapine,DB00238
1,DB00238,Nevirapine,DBMET00076,8-Hydroxynevirapine,DB00238
1,DB00238,Nevirapine,DBMET00077,3-Hydroxynevirapine,DB00238
1,DB00238,Nevirapine,DBMET01713,2-OH-nevirapine,DB00238
1,DB00238,Nevirapine,DBMET01714,8-OH-nevirapine,DB00238
1,DB00238,Nevirapine,DBMET01715,3-OH-nevirapine,DB00238
1,DB00238,Nevirapine,DBMET01716,12-OH-nevirapine,DB00238
2,DBMET00074,12-Hydroxynevirapine,DBMET00669,12-hydroxynevirapine glucuronide,DB00238
2,DBMET00074,12-Hydroxynevirapine,DBMET00727,4-carboxynevirapine,DB00238
2,DBMET00075,2-Hydroxynevirapine,DBMET00685,2-hydroxynevirapine glucuronide,DB00238
2,DBMET00076,8-Hydroxynevirapine,DBMET00779,8-hydroxynevirapine glucuronide,DB00238
2,DBMET00077,3-Hydroxynevirapine,DBMET00712,3-hydroxynevirapine glucuronide,DB00238
1,DB00242,Cladribine,DBMET00677,2-chloro-2'-deoxyadenosine-5'-triphosphate,DB00242
1,DB00244,Mesalazine,DBMET00924,N-acetyl-5-ASA (Ac-5-ASA),DB00244
1,DB00246,Ziprasidone,DBMET00400,benzisothiazole piperazine,DB00246
1,DB00248,Cabergoline,DBMET00757,6-allyl-8b-carboxy-ergoline,DB00248
1,DB00250,Dapsone,DBMET00301,dapsone hydroxylamine,DB00250
1,DB00250,Dapsone,DBMET00014,N-Acetyldapsone,DB00250
2,DBMET00301,dapsone hydroxylamine,DBMET01043,Nitroso-dapsone,DB00250
3,DBMET01043,Nitroso-dapsone,DBMET01045,Dapsone mercaptal intermediate,DB00250
4,DBMET01045,Dapsone mercaptal intermediate,DBMET01046,Dapsone GSH conjugate,DB00250
1,DB00252,Phenytoin,DBMET00284,4'-HPPH,DB00252
1,DB00252,Phenytoin,DBMET00058,"3',4'-Dihydrodiol",DB00252
1,DB00252,Phenytoin,DBMET00059,3'-HPPH,DB00252
1,DB00252,Phenytoin,DBMET00988,Phenytoin arene-oxide,DB00252
1,DB00252,Phenytoin,DBMET00989,Phenytoin catechol,DB00252
1,DB00252,Phenytoin,DBMET00888,Hydroxyphenytoin,DB00252
1,DB00252,Phenytoin,DBMET00992,Phenytoin quinone,DB00252
1,DB00252,Phenytoin,DBMET00990,Phenytoin dihydrodiol,DB00252
2,DBMET00989,Phenytoin catechol,DBMET00991,Phenytoin methylcatechol,DB00252
2,DBMET00988,Phenytoin arene-oxide,DBMET00990,Phenytoin dihydrodiol,DB00252
2,DBMET00988,Phenytoin arene-oxide,DBMET00888,Hydroxyphenytoin,DB00252
2,DBMET00989,Phenytoin catechol,DBMET00992,Phenytoin quinone,DB00252
2,DBMET00059,3'-HPPH,DBMET01149,"3',4'-diHPPH",DB00252
2,DBMET00284,4'-HPPH,DBMET01149,"3',4'-diHPPH",DB00252
3,DBMET00888,Hydroxyphenytoin,DBMET00989,Phenytoin catechol,DB00252
3,DBMET00888,Hydroxyphenytoin,DBMET00889,Hydroxyphenytoin-O-glucuronide,DB00252
1,DB00261,Anagrelide,DBMET00772,"6,7-dichloro-3-hydroxy-1,5 dihydro-imidazo[2,1-b]quinazolin-2-one",DB00261
1,DB00261,Anagrelide,DBMET00676,"2-amino-5,6-dichloro-3,4,-dihydroquinazoline",DB00261
1,DB00264,Metoprolol,DBMET00319,alpha-Hydroxymetoprolol,DB00264
1,DB00264,Metoprolol,DBMET01561,O-Demethylmetoprolol,DB00264
1,DB00264,Metoprolol,DBMET01562,Deisopropylmetoprolol,DB00264
1,DB00268,Ropinirole,DBMET00940,N-despropyl ropinirole,DB00268
1,DB00277,Theophylline,DBMET00271,1-Methylxanthine,DB00277
1,DB00277,Theophylline,DBMET00272,3-methylxanthine,DB00277
1,DB00277,Theophylline,DBMET00535,Caffeine,DB00277
1,DB00277,Theophylline,DBMET00326,"1,3-dimethyluric acid",DB00277
1,DB00279,Liothyronine,DBMET00559,Triiodothyronine sulfate,DB00279
1,DB00280,Disopyramide,DBMET00363,mono-isopropyl-disopyramide,DB00280
1,DB00281,Lidocaine,DBMET00256,3-hydroxylidocaine,DB00281
1,DB00281,Lidocaine,DBMET00257,monoethylglycinexylidide,DB00281
1,DB00281,Lidocaine,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DB00281
2,DBMET00256,3-hydroxylidocaine,DBMET01090,3-Hydroxymonoethylglycinexylidide,DB00281
2,DBMET00257,monoethylglycinexylidide,DBMET01090,3-Hydroxymonoethylglycinexylidide,DB00281
2,DBMET00257,monoethylglycinexylidide,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DB00281
2,DBMET00257,monoethylglycinexylidide,DBMET01091,Glycinexylidide (GX),DB00281
2,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01128,2-Amino-3-methylbenzoate,DB00281
2,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01129,"4-Hydroxy-2,6-dimethylaniline",DB00281
2,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01128,2-Amino-3-methylbenzoate,DB00281
2,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01128,2-Amino-3-methylbenzoate,DB00281
2,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01129,"4-Hydroxy-2,6-dimethylaniline",DB00281
2,DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DBMET01129,"4-Hydroxy-2,6-dimethylaniline",DB00281
3,DBMET01091,Glycinexylidide (GX),DBMET01089,"2,6-Dimethylaniline (2,6-Xylidine)",DB00281
1,DB00285,Venlafaxine,DBMET00054,O-Desmethylvenlafaxine,DB00285
1,DB00285,Venlafaxine,DBMET00055,N-Desmethylvenlafaxine,DB00285
2,DBMET00054,O-Desmethylvenlafaxine,DBMET00437,"N,O-Didesmethylvenlafaxine",DB00285
2,DBMET00054,O-Desmethylvenlafaxine,DBMET00967,O-Desmethylvenlafaxine glucuronide,DB00285
2,DBMET00055,N-Desmethylvenlafaxine,DBMET00437,"N,O-Didesmethylvenlafaxine",DB00285
3,DBMET00437,"N,O-Didesmethylvenlafaxine",DBMET00958,"N,O-didesmethylvenlafaxine glucuronide",DB00285
3,DBMET00437,"N,O-Didesmethylvenlafaxine",DBMET01040,"N,N,O-Tridesmethylvenlafaxine",DB00285
1,DB00289,Atomoxetine,DBMET00734,4-hydroxyatomoxetine,DB00289
1,DB00295,Morphine,DBMET00649,Normorphine,DB00295
1,DB00295,Morphine,DBMET00461,morphine-6-glucuronide,DB00295
1,DB00295,Morphine,DBMET00462,morphine-3-glucuronide,DB00295
1,DB00296,Ropivacaine,DBMET01741,3-OH-ropivacaine,DB00296
1,DB00296,Ropivacaine,DBMET00269,3-hydroxyropivacaine,DB00296
1,DB00296,Ropivacaine,DBMET01742,PPX,DB00296
1,DB00297,Bupivacaine,DBMET00692,"2,6-pipecoloxylidine",DB00297
1,DB00300,Tenofovir disoproxil,DBMET01176,Tenofovir Monophosphate,DB00300
2,DBMET01176,Tenofovir Monophosphate,DBMET01177,Tenofovir Diphosphate,DB00300
1,DB00304,Desogestrel,DBMET01366,6-alpha-hydroxydesogestrel,DB00304
1,DB00304,Desogestrel,DBMET01367,6-beta-hydroxydesogestrel,DB00304
1,DB00304,Desogestrel,DBMET01368,16-hydroxy-desogestrel,DB00304
1,DB00304,Desogestrel,DBMET01369,13-ethyl-hydroxy desogestrel,DB00304
1,DB00304,Desogestrel,DBMET01370,Desogestrel sulfate,DB00304
1,DB00304,Desogestrel,DBMET01371,15-alpha-hydroxydesogestrel,DB00304
1,DB00304,Desogestrel,DBMET01642,3-alpha-OH-desogestrel,DB00304
1,DB00304,Desogestrel,DBMET01643,3-beta-OH-desogestrel,DB00304
1,DB00304,Desogestrel,DBMET00671,15b-hydroxydesogestrel,DB00304
1,DB00304,Desogestrel,DBMET00683,2-hydroxydesogestrel,DB00304
1,DB00304,Desogestrel,DBMET00723,3a-hydroxydesogestrel,DB00304
1,DB00304,Desogestrel,DBMET00724,3b-hydroxydesogestrel,DB00304
2,DBMET00723,3a-hydroxydesogestrel,DBMET00622,3-Ketodesogestrel,DB00304
2,DBMET01371,15-alpha-hydroxydesogestrel,DBMET00488,Glucuronic acid,DB00304
1,DB00309,Vindesine,DBMET00393,Unknown,DB00309
1,DB00313,Valproic Acid,DBMET01015,Valproic acid CoA,DB00313
1,DB00313,Valproic Acid,DBMET00060,4-ene-Valproic acid,DB00313
1,DB00313,Valproic Acid,DBMET00061,5-Hydroxyvalproic acid,DB00313
1,DB00313,Valproic Acid,DBMET00062,3-Hydroxyvalproic acid,DB00313
1,DB00313,Valproic Acid,DBMET00063,4-Hydroxyvalproic acid,DB00313
1,DB00313,Valproic Acid,DBMET00064,Valproic acid β-O-glucuronide,DB00313
1,DB00313,Valproic Acid,DBMET00065,2-ene-Valproic acid,DB00313
1,DB00313,Valproic Acid,DBMET00066,(3Z)-2-Propylpent-3-enoic acid (3Z-Ene-VPA),DB00313
1,DB00313,Valproic Acid,DBMET00067,(3E)-2-Propylpent-3-enoic acid (3E-Ene-VPA),DB00313
2,DBMET00060,4-ene-Valproic acid,DBMET01106,"2,4-Diene-VPA",DB00313
2,DBMET00063,4-Hydroxyvalproic acid,DBMET01107,2-n-Propyl-4-oxopentanoic acid,DB00313
2,DBMET00061,5-Hydroxyvalproic acid,DBMET01109,2-Propylglutaric acid,DB00313
2,DBMET00062,3-Hydroxyvalproic acid,DBMET01110,3-Oxovalproic acid,DB00313
2,DBMET00065,2-ene-Valproic acid,DBMET00062,3-Hydroxyvalproic acid,DB00313
2,DBMET00062,3-Hydroxyvalproic acid,DBMET01110,3-Oxovalproic acid,DB00313
3,DBMET01107,2-n-Propyl-4-oxopentanoic acid,DBMET01108,2-Propylsuccinic acid,DB00313
1,DB00315,Zolmitriptan,DBMET00276,norzolmitripan,DB00315
1,DB00315,Zolmitriptan,DBMET01792,N-Desmethylzolmitriptan,DB00315
1,DB00315,Zolmitriptan,DBMET01793,Zolmitriptan N-oxide,DB00315
1,DB00315,Zolmitriptan,DBMET00497,Indole acetic acid,DB00315
1,DB00316,Acetaminophen,DBMET01578,3-Hydroxyacetaminophen,DB00316
1,DB00316,Acetaminophen,DBMET00580,Acetaminophen glucuronide,DB00316
1,DB00316,Acetaminophen,DBMET00653,Acetaminophen sulfate,DB00316
1,DB00316,Acetaminophen,DBMET00243,NAPQI,DB00316
2,DBMET00243,NAPQI,DBMET00789,Acetaminophen cystein,DB00316
1,DB00318,Codeine,DBMET00313,morphine,DB00318
1,DB00318,Codeine,DBMET00340,norcodeine,DB00318
1,DB00318,Codeine,DB00295,Morphine,DB00318
1,DB00318,Codeine,DBMET00660,Codeine-6-glucuronide,DB00318
1,DB00321,Amitriptyline,DBMET01584,E-10-OH-amitriptyline,DB00321
1,DB00321,Amitriptyline,DB00540,Nortriptyline,DB00321
1,DB00321,Amitriptyline,DBMET00051,E-10-Hydroxyamitriptyline,DB00321
2,DBMET00051,E-10-Hydroxyamitriptyline,DBMET00052,E-10-Hydroxynortriptyline,DB00321
2,DB00540,Nortriptyline,DBMET00052,E-10-Hydroxynortriptyline,DB00321
2,DB00540,Nortriptyline,DBMET00053,Desmethylnortriptyline,DB00321
3,DBMET00052,E-10-Hydroxynortriptyline,DBMET00482,E-10-Hydroxydesmethylnortriptyline,DB00321
3,DBMET00053,Desmethylnortriptyline,DBMET00482,E-10-Hydroxydesmethylnortriptyline,DB00321
1,DB00322,Floxuridine,DBMET00855,alpha-Fluoro-beta-alanine,DB00322
1,DB00322,Floxuridine,DBMET00856,Fluoro-beta-ureidopropionate,DB00322
1,DB00322,Floxuridine,DBMET00655,"5,6-Dihydro-5-fluorouracil",DB00322
1,DB00322,Floxuridine,DBMET00449,5-fluorouracil,DB00322
1,DB00325,Nitroprusside,DBMET00818,cyanmethemoglobin,DB00325
1,DB00327,Hydromorphone,DBMET00838,Dihydroisomorphine-6-glucuronide,DB00327
1,DB00327,Hydromorphone,DBMET00865,Hydromorphone-3-glucoside,DB00327
1,DB00327,Hydromorphone,DBMET00866,Hydromorphone-3-glucuronide,DB00327
1,DB00327,Hydromorphone,DBMET00177,Dihydromorphine,DB00327
1,DB00327,Hydromorphone,DBMET00178,Dihydroisomorphine,DB00327
1,DB00327,Hydromorphone,DBMET00179,Norhydromorphone,DB00327
1,DB00327,Hydromorphone,DBMET00180,Hydromorphone 3-beta-O-glucuronide,DB00327
1,DB00327,Hydromorphone,DBMET01032,Hydromorphone-3-sulphate,DB00327
2,DBMET00177,Dihydromorphine,DBMET01031,Dihydromorphine-3-glucuronide,DB00327
1,DB00328,Indomethacin,DBMET00156,O-Desmethylindomethacin,DB00328
1,DB00328,Indomethacin,DBMET00157,Indomethacin acyl glucuronide,DB00328
1,DB00328,Indomethacin,DBMET00158,N-Deschlorobenzoyl indomethacin,DB00328
2,DBMET00158,N-Deschlorobenzoyl indomethacin,DBMET01351,O-Desmethyl-N-deschlorobenzoyl indomethacin,DB00328
1,DB00332,Ipratropium,DBMET00945,N-isopropylnortropium methobromide,DB00332
1,DB00332,Ipratropium,DBMET00987,Phenylacetic acid-N-isopropylnortropine-ester methobromide,DB00332
1,DB00333,Methadone,DBMET01829,"2ethylidene-1,5-dimethyl-3,3-diphenylpyrolidine",DB00333
1,DB00333,Methadone,DBMET00181,"2-Ethyl-1,5-dimethyl-3,3-diphenylpyrrolinium (EDDP)",DB00333
2,DBMET00181,"2-Ethyl-1,5-dimethyl-3,3-diphenylpyrrolinium (EDDP)",DBMET01087,"2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline (EMDP)",DB00333
1,DB00334,Olanzapine,DBMET00264,7-hydroxyolanzapine,DB00334
1,DB00334,Olanzapine,DBMET00265,4'-N-desmethylolanzapine,DB00334
1,DB00334,Olanzapine,DBMET00308,2-hydroxymethylolanzapine,DB00334
1,DB00338,Omeprazole,DBMET00185,5-Hydroxyomeprazole,DB00338
1,DB00338,Omeprazole,DBMET00186,5'-O-Desmethyl omeprazole,DB00338
1,DB00338,Omeprazole,DBMET00187,Omeprazole sulfone,DB00338
1,DB00338,Omeprazole,DBMET00188,3-Hydroxyomeprazole,DB00338
1,DB00339,Pyrazinamide,DBMET00415,5-hydroxypyrazinamide,DB00339
1,DB00342,Terfenadine,DBMET00391,fexofenadine,DB00342
1,DB00343,Diltiazem,DBMET00362,N-Desmethyldiltiazem,DB00343
1,DB00343,Diltiazem,DBMET01647,N-Demethyldiltiazem,DB00343
1,DB00343,Diltiazem,DBMET01648,O-Demethyldiltiazem,DB00343
1,DB00347,Trimethadione,DBMET00451,dimethadione,DB00347
1,DB00349,Clobazam,DBMET00281,norclobazam,DB00349
1,DB00349,Clobazam,DBMET00743,4'-hydroxyclobazam,DB00349
1,DB00352,Tioguanine,DBMET01152,Thioguanosine monophosphate,DB00352
2,DBMET01152,Thioguanosine monophosphate,DBMET01153,Methyl-thioguanosine monophosphate,DB00352
2,DBMET01152,Thioguanosine monophosphate,DBMET01154,Thioguanosine diphosphate,DB00352
3,DBMET01154,Thioguanosine diphosphate,DBMET01155,Thioguanosine triphosphate,DB00352
3,DBMET01154,Thioguanosine diphosphate,DBMET01156,Thiodeoxyguanosine diphosphate,DB00352
4,DBMET01156,Thiodeoxyguanosine diphosphate,DBMET01157,Thiodeoxyguanosine triphosphate,DB00352
1,DB00356,Chlorzoxazone,DBMET00327,6-hydroxychlorzoxazone,DB00356
1,DB00358,Mefloquine,DBMET00693,"2,8-bis-trifluoromethyl-4-quinoline carboxylic acid",DB00358
1,DB00361,Vinorelbine,DBMET02029,4-0-deacetyl Vinorelbine,DB00361
1,DB00363,Clozapine,DBMET00100,Norclozapine,DB00363
1,DB00363,Clozapine,DBMET00101,Clozapine N-oxide,DB00363
1,DB00363,Clozapine,DBMET00102,Clozapine glucuronide,DB00363
1,DB00368,Norepinephrine,DBMET00549,Norepinephrine sulfate,DB00368
1,DB00368,Norepinephrine,DBMET00563,3-Methoxy-4-Hydroxyphenylglycol sulfate,DB00368
1,DB00370,Mirtazapine,DBMET00261,mirtazapine-N-oxide,DB00370
1,DB00370,Mirtazapine,DBMET00262,N-desmethylmirtazapine,DB00370
1,DB00370,Mirtazapine,DBMET00263,8-hydroxymirtazapine,DB00370
1,DB00370,Mirtazapine,DBMET01827,8-OH-mirtazapine,DB00370
1,DB00378,Dydrogesterone,DBMET00695,20-dihydrodydrogesterone,DB00378
1,DB00379,Mexiletine,DBMET00259,2-hydroxymexiletine,DB00379
1,DB00379,Mexiletine,DBMET00260,p-hydroxymexiletine,DB00379
1,DB00382,Tacrine,DBMET00270,1-hydroxytacrine,DB00382
1,DB00382,Tacrine,DBMET01755,4- Hydroxytacrine,DB00382
1,DB00382,Tacrine,DBMET01756,2-Hydroxytacrine,DB00382
1,DB00382,Tacrine,DBMET01757,7-Hydroxytacrine,DB00382
1,DB00384,Triamterene,DBMET01771,4'-OH-triamterene,DB00384
