atc_code,level_1,code_1,level_2,code_2,level_3,code_3,level_4,code_4,parent_key
V04CK01,Tests for pancreatic function,V04CK,OTHER DIAGNOSTIC AGENTS,V04C,DIAGNOSTIC AGENTS,V04,VARIOUS,V,DB00021
L03AB60,Interferons,L03AB,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00022
L03AB10,Interferons,L03AB,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00022
L01XX02,Other antineoplastic agents,L01XX,OTHER ANTINEOPLASTIC AGENTS,L01X,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00023
H01AB01,Thyrotropin,H01AB,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01A,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00024
V04CJ01,Tests for thyreoidea function,V04CJ,OTHER DIAGNOSTIC AGENTS,V04C,DIAGNOSTIC AGENTS,V04,VARIOUS,V,DB00024
B02BD02,Blood coagulation factors,B02BD,VITAMIN K AND OTHER HEMOSTATICS,B02B,ANTIHEMORRHAGICS,B02,BLOOD AND BLOOD FORMING ORGANS,B,DB00025
L04AC03,Interleukin inhibitors,L04AC,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00026
R02AB30,Antibiotics,R02AB,THROAT PREPARATIONS,R02A,THROAT PREPARATIONS,R02,RESPIRATORY SYSTEM,R,DB00027
B01AD03,Enzymes,B01AD,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01,BLOOD AND BLOOD FORMING ORGANS,B,DB00029
A10AC01,"Insulins and analogues for injection, intermediate-acting",A10AC,INSULINS AND ANALOGUES,A10A,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00030
A10AB01,"Insulins and analogues for injection, fast-acting",A10AB,INSULINS AND ANALOGUES,A10A,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00030
A10AF01,Insulins and analogues for inhalation,A10AF,INSULINS AND ANALOGUES,A10A,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00030
A10AE01,"Insulins and analogues for injection, long-acting",A10AE,INSULINS AND ANALOGUES,A10A,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00030
A10AD01,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10AD,INSULINS AND ANALOGUES,A10A,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00030
B01AD11,Enzymes,B01AD,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01,BLOOD AND BLOOD FORMING ORGANS,B,DB00031
G03GA02,Gonadotropins,G03GA,GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03G,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00032
L03AB04,Interferons,L03AB,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00034
H01BA02,Vasopressin and analogues,H01BA,POSTERIOR PITUITARY LOBE HORMONES,H01B,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00035
B02BD08,Blood coagulation factors,B02BD,VITAMIN K AND OTHER HEMOSTATICS,B02B,ANTIHEMORRHAGICS,B02,BLOOD AND BLOOD FORMING ORGANS,B,DB00036
L03AC02,Interleukins,L03AC,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00038
V03AF08,Detoxifying agents for antineoplastic treatment,V03AF,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03,VARIOUS,V,DB00039
H04AA01,Glycogenolytic hormones,H04AA,GLYCOGENOLYTIC HORMONES,H04A,PANCREATIC HORMONES,H04,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00040
L03AC01,Interleukins,L03AC,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00041
M03AX01,"Other muscle relaxants, peripherally acting agents",M03AX,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",M03A,MUSCLE RELAXANTS,M03,MUSCULO-SKELETAL SYSTEM,M,DB00042
R03DX05,Other systemic drugs for obstructive airway diseases,R03DX,OTHER SYSTEMIC DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03D,DRUGS FOR OBSTRUCTIVE AIRWAY DISEASES,R03,RESPIRATORY SYSTEM,R,DB00043
G03GA07,Gonadotropins,G03GA,GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03G,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00044
A10AC04,"Insulins and analogues for injection, intermediate-acting",A10AC,INSULINS AND ANALOGUES,A10A,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00046
A10AD04,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10AD,INSULINS AND ANALOGUES,A10A,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00046
A10AB04,"Insulins and analogues for injection, fast-acting",A10AB,INSULINS AND ANALOGUES,A10A,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00046
A10AE04,"Insulins and analogues for injection, long-acting",A10AE,INSULINS AND ANALOGUES,A10A,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00047
M09AB02,Enzymes,M09AB,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09A,OTHER DRUGS FOR DISORDERS OF THE MUSCULO-SKELETAL SYSTEM,M09,MUSCULO-SKELETAL SYSTEM,M,DB00048
D03BA52,Proteolytic enzymes,D03BA,ENZYMES,D03B,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03,DERMATOLOGICALS,D,DB00048
D03BA02,Proteolytic enzymes,D03BA,ENZYMES,D03B,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03,DERMATOLOGICALS,D,DB00048
V03AF07,Detoxifying agents for antineoplastic treatment,V03AF,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03,VARIOUS,V,DB00049
M04AX01,Other antigout preparations,M04AX,ANTIGOUT PREPARATIONS,M04A,ANTIGOUT PREPARATIONS,M04,MUSCULO-SKELETAL SYSTEM,M,DB00049
H01CC02,Anti-gonadotropin-releasing hormones,H01CC,HYPOTHALAMIC HORMONES,H01C,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00050
L04AB04,Tumor necrosis factor alpha (TNF-α) inhibitors,L04AB,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00051
H01AC01,Somatropin and somatropin agonists,H01AC,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01A,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00052
A16AB02,Enzymes,A16AB,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16,ALIMENTARY TRACT AND METABOLISM,A,DB00053
B01AC13,Platelet aggregation inhibitors excl. heparin,B01AC,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01,BLOOD AND BLOOD FORMING ORGANS,B,DB00054
B01AD10,Enzymes,B01AD,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01,BLOOD AND BLOOD FORMING ORGANS,B,DB00055
L01XC05,Monoclonal antibodies,L01XC,OTHER ANTINEOPLASTIC AGENTS,L01X,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00056
V09IB02,Indium (111In) compounds,V09IB,TUMOUR DETECTION,V09I,DIAGNOSTIC RADIOPHARMACEUTICALS,V09,VARIOUS,V,DB00057
B02AB02,Proteinase inhibitors,B02AB,ANTIFIBRINOLYTICS,B02A,ANTIHEMORRHAGICS,B02,BLOOD AND BLOOD FORMING ORGANS,B,DB00058
L01XX24,Other antineoplastic agents,L01XX,OTHER ANTINEOPLASTIC AGENTS,L01X,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00059
L03AB07,Interferons,L03AB,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00060
V08DA01,Ultrasound contrast media,V08DA,ULTRASOUND CONTRAST MEDIA,V08D,CONTRAST MEDIA,V08,VARIOUS,V,DB00062
B01AC16,Platelet aggregation inhibitors excl. heparin,B01AC,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01,BLOOD AND BLOOD FORMING ORGANS,B,DB00063
L04AB02,Tumor necrosis factor alpha (TNF-α) inhibitors,L04AB,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00065
G03GA05,Gonadotropins,G03GA,GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03G,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00066
G03GA06,Gonadotropins,G03GA,GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03G,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00066
H01BA06,Vasopressin and analogues,H01BA,POSTERIOR PITUITARY LOBE HORMONES,H01B,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00067
H01BA03,Vasopressin and analogues,H01BA,POSTERIOR PITUITARY LOBE HORMONES,H01B,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00067
H01BA01,Vasopressin and analogues,H01BA,POSTERIOR PITUITARY LOBE HORMONES,H01B,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00067
L03AB08,Interferons,L03AB,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00068
L03AB09,Interferons,L03AB,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00069
B06AA03,Enzymes,B06AA,OTHER HEMATOLOGICAL AGENTS,B06A,OTHER HEMATOLOGICAL AGENTS,B06,BLOOD AND BLOOD FORMING ORGANS,B,DB00070
A10AC03,"Insulins and analogues for injection, intermediate-acting",A10AC,INSULINS AND ANALOGUES,A10A,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00071
A10AB03,"Insulins and analogues for injection, fast-acting",A10AB,INSULINS AND ANALOGUES,A10A,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00071
A10AD03,"Insulins and analogues for injection, intermediate- or long-acting combined with fast-acting",A10AD,INSULINS AND ANALOGUES,A10A,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00071
A10AE03,"Insulins and analogues for injection, long-acting",A10AE,INSULINS AND ANALOGUES,A10A,DRUGS USED IN DIABETES,A10,ALIMENTARY TRACT AND METABOLISM,A,DB00071
L01XC03,Monoclonal antibodies,L01XC,OTHER ANTINEOPLASTIC AGENTS,L01X,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00072
L01XC02,Monoclonal antibodies,L01XC,OTHER ANTINEOPLASTIC AGENTS,L01X,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00073
L04AC02,Interleukin inhibitors,L04AC,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00074
L04AA02,Selective immunosuppressants,L04AA,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00075
V03AB24,Antidotes,V03AB,ALL OTHER THERAPEUTIC PRODUCTS,V03A,ALL OTHER THERAPEUTIC PRODUCTS,V03,VARIOUS,V,DB00076
V10XX02,Various therapeutic radiopharmaceuticals,V10XX,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,V10X,THERAPEUTIC RADIOPHARMACEUTICALS,V10,VARIOUS,V,DB00078
J01XX09,Other antibacterials,J01XX,OTHER ANTIBACTERIALS,J01X,ANTIBACTERIALS FOR SYSTEMIC USE,J01,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00080
V10XA53,Iodine (131I) compounds,V10XA,OTHER THERAPEUTIC RADIOPHARMACEUTICALS,V10X,THERAPEUTIC RADIOPHARMACEUTICALS,V10,VARIOUS,V,DB00081
H01AX01,Other anterior pituitary lobe hormones and analogues,H01AX,ANTERIOR PITUITARY LOBE HORMONES AND ANALOGUES,H01A,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00082
M03AX01,"Other muscle relaxants, peripherally acting agents",M03AX,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",M03A,MUSCLE RELAXANTS,M03,MUSCULO-SKELETAL SYSTEM,M,DB00083
A09AA02,Enzyme preparations,A09AA,"DIGESTIVES, INCL. ENZYMES",A09A,"DIGESTIVES, INCL. ENZYMES",A09,ALIMENTARY TRACT AND METABOLISM,A,DB00085
B01AD01,Enzymes,B01AD,ANTITHROMBOTIC AGENTS,B01A,ANTITHROMBOTIC AGENTS,B01,BLOOD AND BLOOD FORMING ORGANS,B,DB00086
B06AA55,Enzymes,B06AA,OTHER HEMATOLOGICAL AGENTS,B06A,OTHER HEMATOLOGICAL AGENTS,B06,BLOOD AND BLOOD FORMING ORGANS,B,DB00086
L04AA34,Selective immunosuppressants,L04AA,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00087
A16AB01,Enzymes,A16AB,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16,ALIMENTARY TRACT AND METABOLISM,A,DB00088
V09IB04,Indium (111In) compounds,V09IB,TUMOUR DETECTION,V09I,DIAGNOSTIC RADIOPHARMACEUTICALS,V09,VARIOUS,V,DB00089
A16AB05,Enzymes,A16AB,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16,ALIMENTARY TRACT AND METABOLISM,A,DB00090
S01XA18,Other ophthalmologicals,S01XA,OTHER OPHTHALMOLOGICALS,S01X,OPHTHALMOLOGICALS,S01,SENSORY ORGANS,S,DB00091
L04AD01,Calcineurin inhibitors,L04AD,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00091
L04AA15,Selective immunosuppressants,L04AA,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00092
G03GA04,Gonadotropins,G03GA,GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03G,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00094
L04AA21,Selective immunosuppressants,L04AA,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00095
G03GA08,Gonadotropins,G03GA,GONADOTROPINS AND OTHER OVULATION STIMULANTS,G03G,SEX HORMONES AND MODULATORS OF THE GENITAL SYSTEM,G03,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00097
L04AA04,Selective immunosuppressants,L04AA,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00098
L03AA02,Colony stimulating factors,L03AA,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00099
B02BD09,Blood coagulation factors,B02BD,VITAMIN K AND OTHER HEMOSTATICS,B02B,ANTIHEMORRHAGICS,B02,BLOOD AND BLOOD FORMING ORGANS,B,DB00100
A01AD08,Other agents for local oral treatment,A01AD,STOMATOLOGICAL PREPARATIONS,A01A,STOMATOLOGICAL PREPARATIONS,A01,ALIMENTARY TRACT AND METABOLISM,A,DB00102
D03AX06,Other cicatrizants,D03AX,CICATRIZANTS,D03A,PREPARATIONS FOR TREATMENT OF WOUNDS AND ULCERS,D03,DERMATOLOGICALS,D,DB00102
A16AB04,Enzymes,A16AB,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16,ALIMENTARY TRACT AND METABOLISM,A,DB00103
A16AB03,Enzymes,A16AB,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16,ALIMENTARY TRACT AND METABOLISM,A,DB00103
H01CB02,Somatostatin and analogues,H01CB,HYPOTHALAMIC HORMONES,H01C,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00104
L03AB05,Interferons,L03AB,IMMUNOSTIMULANTS,L03A,IMMUNOSTIMULANTS,L03,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00105
L02BX01,Other hormone antagonists and related agents,L02BX,HORMONE ANTAGONISTS AND RELATED AGENTS,L02B,ENDOCRINE THERAPY,L02,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00106
H01BB02,Oxytocin and analogues,H01BB,POSTERIOR PITUITARY LOBE HORMONES,H01B,PITUITARY AND HYPOTHALAMIC HORMONES AND ANALOGUES,H01,"SYSTEMIC HORMONAL PREPARATIONS, EXCL. SEX HORMONES AND INSULINS",H,DB00107
G02AC01,"Ergot alkaloids and oxytocin incl. analogues, in combination",G02AC,UTEROTONICS,G02A,OTHER GYNECOLOGICALS,G02,GENITO URINARY SYSTEM AND SEX HORMONES,G,DB00107
L04AA23,Selective immunosuppressants,L04AA,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00108
J05AX07,Other antivirals,J05AX,DIRECT ACTING ANTIVIRALS,J05A,ANTIVIRALS FOR SYSTEMIC USE,J05,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00109
J06BB16,Specific immunoglobulins,J06BB,IMMUNOGLOBULINS,J06B,IMMUNE SERA AND IMMUNOGLOBULINS,J06,ANTIINFECTIVES FOR SYSTEMIC USE,J,DB00110
L04AC01,Interleukin inhibitors,L04AC,IMMUNOSUPPRESSANTS,L04A,IMMUNOSUPPRESSANTS,L04,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00111
L01XC07,Monoclonal antibodies,L01XC,OTHER ANTINEOPLASTIC AGENTS,L01X,ANTINEOPLASTIC AGENTS,L01,ANTINEOPLASTIC AND IMMUNOMODULATING AGENTS,L,DB00112
V09IA06,Technetium (99mTc) compounds,V09IA,TUMOUR DETECTION,V09I,DIAGNOSTIC RADIOPHARMACEUTICALS,V09,VARIOUS,V,DB00113
A11HA06,Other plain vitamin preparations,A11HA,OTHER PLAIN VITAMIN PREPARATIONS,A11H,VITAMINS,A11,ALIMENTARY TRACT AND METABOLISM,A,DB00114
B03AE01,Iron in other combinations,B03AE,IRON PREPARATIONS,B03A,ANTIANEMIC PREPARATIONS,B03,BLOOD AND BLOOD FORMING ORGANS,B,DB00115
B03BA51,Vitamin B12 (cyanocobalamin and analogues),B03BA,VITAMIN B12 AND FOLIC ACID,B03B,ANTIANEMIC PREPARATIONS,B03,BLOOD AND BLOOD FORMING ORGANS,B,DB00115
B03BA01,Vitamin B12 (cyanocobalamin and analogues),B03BA,VITAMIN B12 AND FOLIC ACID,B03B,ANTIANEMIC PREPARATIONS,B03,BLOOD AND BLOOD FORMING ORGANS,B,DB00115
A16AA02,Amino acids and derivatives,A16AA,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16A,OTHER ALIMENTARY TRACT AND METABOLISM PRODUCTS,A16,ALIMENTARY TRACT AND METABOLISM,A,DB00118
A11HA05,Other plain vitamin preparations,A11HA,OTHER PLAIN VITAMIN PREPARATIONS,A11H,VITAMINS,A11,ALIMENTARY TRACT AND METABOLISM,A,DB00121
B05XB03,Amino acids,B05XB,I.V. SOLUTION ADDITIVES,B05X,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B,DB00123
B05XB01,Amino acids,B05XB,I.V. SOLUTION ADDITIVES,B05X,BLOOD SUBSTITUTES AND PERFUSION SOLUTIONS,B05,BLOOD AND BLOOD FORMING ORGANS,B,DB00125
A11GB01,"Ascorbic acid (vitamin C), combinations",A11GB,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",A11G,VITAMINS,A11,ALIMENTARY TRACT AND METABOLISM,A,DB00126
A11GA01,"Ascorbic acid (vitamin C), plain",A11GA,"ASCORBIC ACID (VITAMIN C), INCL. COMBINATIONS",A11G,VITAMINS,A11,ALIMENTARY TRACT AND METABOLISM,A,DB00126
