form,route,strength,parent_key
"Injection, powder, for suspension, extended release",Intramuscular,15 mg,DB00007
"Injection, powder, for suspension, extended release",Intramuscular,22.5 mg,DB00007
"Injection, powder, for suspension, extended release",Intramuscular,3.75 mg,DB00007
"Injection, powder, for suspension, extended release",Intramuscular,30 mg,DB00007
"Injection, powder, for suspension, extended release",Intramuscular,7.5 mg,DB00007
"Injection, powder, for suspension, extended release; kit",Intramuscular,28.13 mg,DB00007
"Injection, powder, for suspension, extended release; kit",Intramuscular,5.06 mg,DB00007
"Injection, solution",Subcutaneous,135 ug/.5mL,DB00008
"Injection, solution",Subcutaneous,135 μg,DB00008
"Injection, solution",Subcutaneous,180 ug/mL,DB00008
"Injection, solution",Subcutaneous,180 ug/.5mL,DB00008
"Injection, solution",Subcutaneous,180 μg,DB00008
"Injection, solution",Subcutaneous,90 μg,DB00008
Solution,Subcutaneous,180 mcg,DB00008
Solution; tablet,Oral; Subcutaneous,,DB00008
Kit,,,DB00009
"Liquid; powder, for solution",Intravenous,,DB00009
"Powder, for solution",Intravenous,29 m,DB00009
"Powder, for solution",,2 mg,DB00009
"Injection, powder, lyophilized, for solution",Intravenous,2.2 mg/2mL,DB00009
"Powder, for solution",Intravenous,,DB00009
Liquid,Intramuscular; Subcutaneous,10000000 unit,DB00011
Liquid,Intramuscular; Subcutaneous,3000000 unit,DB00011
"Injection, solution",Intravenous; Subcutaneous,10 ug/.4mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,10 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,100 ug/.5mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,100 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,130 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,15 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,150 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,150 ug/.3mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,20 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,200 ug/.4mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,200 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,25 ug/.42mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,25 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,30 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,300 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,300 ug/.6mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,40 ug/.4mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,40 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,50 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,500 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,500 ug/mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,60 ug/.3mL,DB00012
"Injection, solution",Intravenous; Subcutaneous,60 μg,DB00012
"Injection, solution",Intravenous; Subcutaneous,80 μg,DB00012
"Injection, solution",Subcutaneous,10 μg,DB00012
"Injection, solution",Subcutaneous,100 μg,DB00012
"Injection, solution",Subcutaneous,130 μg,DB00012
"Injection, solution",Subcutaneous,15 μg,DB00012
"Injection, solution",Subcutaneous,150 μg,DB00012
"Injection, solution",Subcutaneous,20 μg,DB00012
"Injection, solution",Subcutaneous,30 μg,DB00012
"Injection, solution",Subcutaneous,300 μg,DB00012
"Injection, solution",Subcutaneous,40 μg,DB00012
"Injection, solution",Subcutaneous,50 μg,DB00012
"Injection, solution",Subcutaneous,500 μg,DB00012
"Injection, solution",Subcutaneous,60 μg,DB00012
"Injection, solution",Subcutaneous,80 μg,DB00012
Solution,Intravenous; Subcutaneous,100 ug/mL,DB00012
Solution,Intravenous; Subcutaneous,150 ug/.75mL,DB00012
Solution,Intravenous; Subcutaneous,200 ug/mL,DB00012
Solution,Intravenous; Subcutaneous,25 ug/mL,DB00012
Solution,Intravenous; Subcutaneous,300 ug/mL,DB00012
Solution,Intravenous; Subcutaneous,40 ug/mL,DB00012
Solution,Intravenous; Subcutaneous,60 ug/mL,DB00012
Solution,Intravenous; Subcutaneous,100 mcg,DB00012
Solution,Intravenous; Subcutaneous,15 mcg,DB00012
Solution,Intravenous; Subcutaneous,200 mcg,DB00012
Solution,Intravenous; Subcutaneous,25 mcg,DB00012
Solution,Intravenous; Subcutaneous,325 mcg,DB00012
Solution,Intravenous; Subcutaneous,40 mcg,DB00012
Solution,Intravenous; Subcutaneous,500 mcg,DB00012
Solution,Intravenous; Subcutaneous,60 mcg,DB00012
"Powder, for solution",Intravenous,250000 unit,DB00013
"Powder, for solution",Intravenous,5000 unit,DB00013
Implant,Subcutaneous,10.8 mg/1,DB00014
Implant,Subcutaneous,3.6 mg/1,DB00014
Implant,Subcutaneous,3.6 mg,DB00014
Implant,Subcutaneous,10.8 mg,DB00014
Kit,,,DB00015
"Powder, for solution",Intravenous,10.4 unit,DB00015
"Injection, solution",Intravenous; Subcutaneous,1000 IU/0.5ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,10000 IU/1.0ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,2000 IU/1.0ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,20000 IU/0.5ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,3000 IU/0.3ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,30000 IU/0.75ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,4000 IU/0.4ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,40000 IU/1ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,40000 IU/1.0ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,5000 IU/0.5ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,6000 IU/0.6ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,7000 IU/0.7ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,8000 IU/0.8ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,9000 IU/0.9ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,10000 IU/1ml,DB00016
Solution,Intravenous; Subcutaneous,10000 [iU]/mL,DB00016
Solution,Intravenous; Subcutaneous,2000 [iU]/mL,DB00016
Solution,Intravenous; Subcutaneous,20000 [iU]/mL,DB00016
Solution,Intravenous; Subcutaneous,3000 [iU]/mL,DB00016
Solution,Intravenous; Subcutaneous,4000 [iU]/mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,2000 IU/0.5ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,20000 IU/1.0ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,3000 IU/0.5ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,30000 IU/1.0ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,4000 IU/0.5ml,DB00016
Solution,Intravenous; Subcutaneous,20000 unit,DB00016
Solution,Intravenous; Subcutaneous,30000 unit,DB00016
Solution,Intravenous; Subcutaneous,10000 unit,DB00016
Solution,Intravenous; Subcutaneous,1000 unit,DB00016
Solution,Intravenous; Subcutaneous,2000 unit,DB00016
Solution,Intravenous; Subcutaneous,3000 unit,DB00016
Solution,Intravenous; Subcutaneous,40000 unit,DB00016
Solution,Intravenous; Subcutaneous,4000 unit,DB00016
Solution,Intravenous; Subcutaneous,5000 unit,DB00016
Solution,Intravenous; Subcutaneous,6000 unit,DB00016
Solution,Intravenous; Subcutaneous,8000 unit,DB00016
"Injection, solution",Intravenous; Subcutaneous,10000 [iU]/mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,2000 [iU]/mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,20000 [iU]/mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,3000 [iU]/mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,4000 [iU]/mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,40000 [iU]/mL,DB00016
"Injection, solution",Intravenous; Subcutaneous,1000 IU/0.3ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,2000 IU/0.6ml,DB00016
"Injection, solution",Intravenous; Subcutaneous,3000 IU/0.9ml,DB00016
Liquid,Intramuscular; Subcutaneous,200 unit,DB00017
Solution,Nasal,200 unit,DB00017
Solution,Intramuscular; Subcutaneous,200 unit,DB00017
"Spray, metered",Nasal,200 [iU]/.09mL,DB00017
Liquid,Intramuscular; Subcutaneous,100 unit,DB00017
"Injection, solution",Intramuscular; Intravenous; Subcutaneous,100 IU,DB00017
"Spray, metered",Nasal,2200 [iU]/mL,DB00017
"Injection, solution",Intramuscular,200 [iU]/mL,DB00017
"Injection, solution",Intramuscular; Subcutaneous,200 [iU]/mL,DB00017
"Spray, metered",Nasal,200 [iU]/1,DB00017
Liquid,Intramuscular; Intravenous; Subcutaneous,200 unit,DB00017
Spray,Nasal,200 unit,DB00017
Liquid,Nasal,200 unit,DB00017
Injection,Subcutaneous,5000000 [arb'U]/mL,DB00018
Solution,Subcutaneous,6 mg,DB00019
Injection,Subcutaneous,6 mg/.6mL,DB00019
Kit,Subcutaneous,,DB00019
Solution,Subcutaneous,10 mg,DB00019
"Injection, solution",Subcutaneous,6 mg,DB00019
"Injection, powder, for solution",Intravenous; Subcutaneous,250 ug/mL,DB00020
Liquid,Intravenous; Subcutaneous,500 ug/mL,DB00020
"Powder, for solution",Intravenous,75 unit,DB00021
"Capsule; powder, for solution",Oral; Subcutaneous,,DB00022
"Injection, powder, lyophilized, for solution",Subcutaneous,120 ug/.5mL,DB00022
"Injection, powder, lyophilized, for solution",Subcutaneous,150 ug/.5mL,DB00022
"Injection, powder, lyophilized, for solution",Subcutaneous,50 ug/.5mL,DB00022
"Injection, powder, lyophilized, for solution",Subcutaneous,80 ug/.5mL,DB00022
Kit,,,DB00022
"Powder, for solution",Subcutaneous,118.4 mcg,DB00022
"Powder, for solution",Subcutaneous,177.6 mcg,DB00022
"Powder, for solution",Subcutaneous,222 mcg,DB00022
"Powder, for solution",Subcutaneous,74 mcg,DB00022
"Powder, for solution",Intramuscular; Intravenous,10000 unit,DB00023
"Injection, powder, for solution",Intravenous,10000 U,DB00023
"Injection, powder, for solution",Intramuscular,.9 mg/mL,DB00024
Kit,,,DB00024
"Powder, for solution",Intramuscular,0.9 mg,DB00024
"Injection, powder, for solution",Intravenous,1000 IU,DB00025
"Injection, powder, for solution",Intravenous,1500 IU,DB00025
"Injection, powder, for solution",Intravenous,2000 IU,DB00025
"Injection, powder, for solution",Intravenous,250 IU,DB00025
"Injection, powder, for solution",Intravenous,3000 IU,DB00025
"Injection, powder, for solution",Intravenous,500 IU,DB00025
"Powder, for solution",Intravenous,1500 unit,DB00025
"Powder, for solution",Intravenous,3000 unit,DB00025
Kit,Intravenous,,DB00025
Kit,,,DB00025
"Powder, for solution",Intravenous,2000 unit,DB00025
"Kit; powder, for solution",Intravenous,1000 unit,DB00025
"Kit; powder, for solution",Intravenous,2000 unit,DB00025
"Kit; powder, for solution",Intravenous,250 unit,DB00025
"Kit; powder, for solution",Intravenous,3000 unit,DB00025
"Kit; powder, for solution",Intravenous,500 unit,DB00025
Kit,Intravenous,,DB00025
"Powder, for solution",Intravenous,1000 unit,DB00025
"Powder, for solution",Intravenous,250 unit,DB00025
"Powder, for solution",Intravenous,500 unit,DB00025
"Powder, for solution",Intravenous,,DB00025
Kit,,,DB00025
"Injection, solution",Subcutaneous,100 mg,DB00026
"Injection, solution",Subcutaneous,100 mg/0.67ml,DB00026
"Injection, solution",Subcutaneous,100 mg/.67mL,DB00026
Solution,Subcutaneous,150 mg,DB00026
Solution / drops,Auricular (otic),,DB00027
Solution / drops,Ophthalmic,,DB00027
Solution,Ophthalmic,,DB00027
Solution,Auricular (otic); Ophthalmic,,DB00027
Liquid,Ophthalmic,,DB00027
Liquid,Auricular (otic); Ophthalmic,,DB00027
Solution / drops,Auricular (otic); Ophthalmic,,DB00027
Solution / drops,Topical,,DB00027
Ointment,Auricular (otic); Ophthalmic,,DB00027
Spray,Nasal,,DB00027
Cream,Topical,,DB00027
Ointment,Topical,,DB00027
"Injection, solution",Intravenous,1 g/10mL,DB00028
"Injection, solution",Intravenous,10 g/100mL,DB00028
"Injection, solution",Intravenous,5 g/50mL,DB00028
"Injection, powder, lyophilized, for solution",Intravenous,12 g/1,DB00028
"Injection, powder, lyophilized, for solution",Intravenous,3 g/1,DB00028
"Injection, powder, lyophilized, for solution",Intravenous,6 g/1,DB00028
Solution,Subcutaneous,1 g,DB00028
Solution,Subcutaneous,1.65 g,DB00028
Solution,Subcutaneous,2 g,DB00028
Solution,Subcutaneous,3.3 g,DB00028
Solution,Subcutaneous,4 g,DB00028
Solution,Subcutaneous,8 g,DB00028
"Injection, solution",Intravenous; Subcutaneous,1 g/5mL,DB00028
"Injection, solution",Intravenous,.05 g/mL,DB00028
"Injection, solution",Intravenous,100 mg/ml,DB00028
"Injection, solution",Intravenous,50 mg/ml,DB00028
Liquid,Intramuscular,16.5 %,DB00028
"Injection, solution",Intramuscular,.165 g/mL,DB00028
Solution,Intramuscular,18 %,DB00028
Solution,Intravenous,50 mg,DB00028
"Injection, solution",Intravenous; Subcutaneous,100 mg/mL,DB00028
Kit,,,DB00028
"Powder, for solution",Intravenous,10 g,DB00028
"Powder, for solution",Intravenous,2.5 g,DB00028
"Powder, for solution",Intravenous,5 g,DB00028
"Powder, for solution",Intravenous,0.5 g,DB00028
Solution,Intravenous,5 g/100mL,DB00028
Solution,Intravenous,5 g/50mL,DB00028
Liquid,Intramuscular,165 mg,DB00028
Solution,Intravenous; Subcutaneous,10 g,DB00028
Injection,Intravenous; Subcutaneous,10 g/100mL,DB00028
"Injection, solution",Subcutaneous,200 mg/ml,DB00028
Liquid,Subcutaneous,.2 g/mL,DB00028
Solution,Subcutaneous,200 mg,DB00028
Solution,Intramuscular,1500 unit,DB00028
"Injection, solution",Subcutaneous,100 mg/ml,DB00028
Liquid,Intravenous,50 mg,DB00028
Solution,Intravenous,10 g,DB00028
Solution,Intravenous,5 g,DB00028
"Kit; liquid; powder, for solution",Intravenous,,DB00028
Solution,Intravenous,100 mg,DB00028
Solution,Intravenous,100 mg/mL,DB00028
Solution,Intravenous,50 mg/mL,DB00028
Liquid,Intravenous,10 g/100mL,DB00028
Liquid,Intravenous,20 g/200mL,DB00028
Liquid,Intravenous,40 g/400mL,DB00028
Liquid,Intravenous,5 g/50mL,DB00028
Solution,Intravenous,10 %,DB00028
Solution,Intravenous,120 g,DB00028
Solution,Subcutaneous,160 mg/mL,DB00028
Solution,Subcutaneous,160 mg,DB00028
Liquid,Intramuscular; Intravenous,1500 [iU]/mL,DB00028
Liquid,Intramuscular; Intravenous,15000 [iU]/mL,DB00028
Liquid,Intramuscular; Intravenous,2500 [iU]/mL,DB00028
Liquid,Intramuscular; Intravenous,5000 [iU]/mL,DB00028
Liquid,Intramuscular; Intravenous,600 [iU]/mL,DB00028
"Powder, for solution",Intravenous,30 unit,DB00029
Kit,,,DB00030
"Powder, metered",Respiratory (inhalation),12 1/1,DB00030
"Powder, metered",Respiratory (inhalation),4 1/1,DB00030
"Powder, metered",Respiratory (inhalation),8 1/1,DB00030
Solution,Subcutaneous,500 unit,DB00030
"Injection, solution",Parenteral,100 [iU]/mL,DB00030
"Injection, solution",Subcutaneous,100 [iU]/mL,DB00030
Solution,Intramuscular; Subcutaneous,100 unit,DB00030
"Injection, solution",Subcutaneous,500 [iU]/mL,DB00030
"Injection, suspension",Subcutaneous,100 IU/ml,DB00030
"Injection, suspension",Subcutaneous,40 IU/ml,DB00030
"Injection, solution",Subcutaneous,100 IU/ml,DB00030
"Injection, solution",Intravenous; Subcutaneous,100 IU/ml,DB00030
"Injection, solution",Intravenous; Subcutaneous,40 IU/ml,DB00030
"Injection, solution",Intraperitoneal,400 IU/ml,DB00030
Suspension,Subcutaneous,,DB00030
Suspension,Subcutaneous,100 unit,DB00030
Solution,Intramuscular; Intravenous; Subcutaneous,100 unit,DB00030
"Injection, suspension",Subcutaneous,100 [iU]/mL,DB00030
"Injection, suspension",Subcutaneous,100 [USP'U]/mL,DB00030
Liquid,Intramuscular; Intravenous; Subcutaneous,100 unit,DB00030
"Injection, powder, for solution",Intravenous,10000 units,DB00031
"Injection, powder, for solution",Intravenous,8000 units,DB00031
Kit,,,DB00031
"Powder, for solution",Intravenous,50 mg,DB00031
Kit,,,DB00032
"Powder, for solution",Subcutaneous,75 unit,DB00032
"Powder, for solution",Intramuscular; Subcutaneous,75 unit,DB00032
"Injection, solution",Subcutaneous,100 ug/.5mL,DB00033
Liquid,Intramuscular; Subcutaneous,6000000 unit,DB00034
"Powder, for solution",Intramuscular; Subcutaneous,18000000 unit,DB00034
"Powder, for solution",Intramuscular; Subcutaneous,3000000 unit,DB00034
"Powder, for solution",Intramuscular; Subcutaneous,9000000 unit,DB00034
Solution,Intramuscular; Subcutaneous,9000000 unit,DB00034
Liquid,Intramuscular; Subcutaneous,3000000 unit,DB00034
Liquid,Intramuscular; Subcutaneous,4.5 m,DB00034
Solution,Intramuscular; Subcutaneous,9 m,DB00034
Solution,Intramuscular; Subcutaneous,18 m,DB00034
Solution,Intramuscular; Subcutaneous,3 m,DB00034
Solution,Intramuscular; Subcutaneous,6 m,DB00034
Solution,Intramuscular; Subcutaneous,36000000 unit,DB00034
Injection,Intravenous,4 ug/mL,DB00035
Spray,Nasal,.1 ug/mL,DB00035
Liquid,Intramuscular; Intravenous; Subcutaneous,4 mcg,DB00035
"Tablet, orally disintegrating",Sublingual,120 mcg,DB00035
"Tablet, orally disintegrating",Sublingual,240 mcg,DB00035
"Tablet, orally disintegrating",Sublingual,60 mcg,DB00035
Solution,Nasal,.1 mg/mL,DB00035
Solution,Nasal,0.1 mg,DB00035
"Aerosol, metered",Nasal,10 mcg,DB00035
Tablet,Oral,0.1 mg,DB00035
Tablet,Oral,0.2 mg,DB00035
"Injection, solution",Intravenous; Subcutaneous,4 ug/mL,DB00035
"Injection, solution",Intravenous; Subcutaneous,40 ug/10mL,DB00035
Solution,Intravenous,4 ug/mL,DB00035
Spray,Nasal,.1 mg/mL,DB00035
Spray,Nasal,10 ug/.1mL,DB00035
Spray,Nasal,10 ug/1,DB00035
Tablet,Oral,.1 mg/1,DB00035
Tablet,Oral,.2 mg/1,DB00035
"Spray, metered",Nasal,10 mcg,DB00035
Tablet,Sublingual,27.7 ug/1,DB00035
Tablet,Sublingual,55.3 ug/1,DB00035
"Tablet, orally disintegrating",Sublingual,25 mcg,DB00035
"Tablet, orally disintegrating",Sublingual,50 mcg,DB00035
"Spray, metered",Nasal,.83 ug/1,DB00035
"Spray, metered",Nasal,1.66 ug/1,DB00035
,Nasal,0.1 g,DB00035
Liquid,Intravenous; Subcutaneous,15 mcg,DB00035
Spray,Nasal,150 mcg,DB00035
"Spray, metered",Nasal,1.5 mg/mL,DB00035
"Powder, for solution",Intravenous,1.2 mg,DB00036
"Powder, for solution",Intravenous,2.4 mg,DB00036
"Powder, for solution",Intravenous,4.8 mg,DB00036
"Kit; powder, for solution",Intravenous,1 mg,DB00036
"Kit; powder, for solution",Intravenous,2 mg,DB00036
"Kit; powder, for solution",Intravenous,5 mg,DB00036
"Kit; powder, for solution",Intravenous,8 mg,DB00036
"Injection, powder, for solution",Intravenous,100 KIU,DB00036
"Injection, powder, for solution",Intravenous,250 KIU,DB00036
"Injection, powder, for solution",Intravenous,400 KIU,DB00036
"Injection, powder, for solution",Intravenous,50 KIU,DB00036
Kit,,,DB00036
Kit,,,DB00038
"Injection, powder, lyophilized, for solution",Intravenous,6.25 mg/1.2mL,DB00039
"Powder, for solution",Intravenous,6.25 mg,DB00039
"Injection, powder, for solution",Intramuscular; Intravenous; Subcutaneous,1 mg/mL,DB00040
"Kit; powder, for solution",Intramuscular,1 mg,DB00040
"Injection, powder, lyophilized, for solution",Intramuscular; Intravenous,1 mg/mL,DB00040
Kit,,,DB00040
"Kit; powder, for solution",Intramuscular; Intravenous; Subcutaneous,1 mg,DB00040
"Powder, for solution",Intramuscular; Intravenous; Subcutaneous,1 mg,DB00040
Injection,Intravenous,1.1 mg/mL,DB00041
"Injection, powder, lyophilized, for solution",Intravenous,1.1 mg/mL,DB00041
"Powder, for solution",Intravenous,22000000 unit,DB00041
"Injection, solution",Intramuscular,10000 [USP'U]/2mL,DB00042
"Injection, solution",Intramuscular,2500 [USP'U]/.5mL,DB00042
"Injection, solution",Intramuscular,5000 [USP'U]/mL,DB00042
Solution,Intramuscular,5000 unit,DB00042
"Injection, solution",Subcutaneous,202.5 mg/1.4mL,DB00043
"Powder, for solution",Subcutaneous,150 mg,DB00043
Solution,Subcutaneous,150 mg,DB00043
Solution,Subcutaneous,75 mg,DB00043
"Liquid; powder, for solution",Intramuscular,,DB00044
"Powder, for solution",Subcutaneous,75 unit,DB00044
Solution,Subcutaneous,450 unit,DB00044
"Powder, for solution",Intramuscular,,DB00044
"Injection, powder, for solution",Subcutaneous,,DB00044
"Kit; powder, for solution",Subcutaneous,,DB00044
Solution,Subcutaneous,,DB00044
"Injection, solution",Subcutaneous,100 U/mL,DB00046
Solution,Subcutaneous,100 unit,DB00046
"Injection, solution",Intravenous; Subcutaneous,100 [iU]/mL,DB00046
"Injection, solution",Intravenous; Subcutaneous,100 U/ml,DB00046
"Injection, solution",Subcutaneous,100 [iU]/mL,DB00046
Solution,Intramuscular; Intravenous; Subcutaneous,100 unit,DB00046
Solution,Subcutaneous,200 unit,DB00046
"Injection, solution",Subcutaneous,200 U/ml,DB00046
"Injection, solution",Subcutaneous,200 [iU]/mL,DB00046
Suspension,Subcutaneous,,DB00046
"Injection, suspension",Subcutaneous,100 U/ml,DB00046
"Injection, suspension",Subcutaneous,100 [iU]/mL,DB00046
Liquid,Intramuscular; Intravenous; Subcutaneous,100 unit,DB00046
"Injection, solution",Subcutaneous,100 Units/ml,DB00047
"Injection, solution",Subcutaneous,100 [iU]/mL,DB00047
Solution,Subcutaneous,100 unit,DB00047
"Injection, solution",Subcutaneous,,DB00047
"Injection, solution",Subcutaneous,300 U/mL,DB00047
"Injection, solution",Subcutaneous,300 units/ml,DB00047
Solution,Subcutaneous,300 unit,DB00047
Ointment,Topical,250 [arb'U]/g,DB00048
"Tablet, chewable",Oral,,DB00048
Ointment,Topical,250 unit,DB00048
Kit,,,DB00048
"Powder, for solution",Intralesional,0.9 mg,DB00048
"Injection, powder, for solution",Intralesional,0.9 mg,DB00048
Kit,,,DB00049
"Injection, powder, for solution",Intravenous,1.5 mg/ml,DB00049
"Powder, for solution",Intravenous,1.5 mg,DB00049
"Powder, for solution",Intravenous,7.5 mg,DB00049
"Injection, powder, for solution",Subcutaneous,0.25 mg,DB00050
Kit,Subcutaneous,,DB00050
"Powder, for solution",Subcutaneous,0.25 mg,DB00050
"Powder, for solution",Subcutaneous,3 mg,DB00050
"Injection, solution",Subcutaneous,40 mg,DB00051
"Injection, solution",Subcutaneous,40 mg/.8mL,DB00051
Kit,,,DB00051
Solution,Subcutaneous,10 mg,DB00051
Solution,Subcutaneous,20 mg,DB00051
Solution,Subcutaneous,40 mg,DB00051
Solution,Subcutaneous,80 mg,DB00051
"Liquid; powder, for solution",Subcutaneous,,DB00052
"Powder, for solution",Subcutaneous,0.2 mg,DB00052
"Powder, for solution",Subcutaneous,0.4 mg,DB00052
"Powder, for solution",Subcutaneous,0.6 mg,DB00052
"Powder, for solution",Subcutaneous,0.8 mg,DB00052
"Powder, for solution",Subcutaneous,1.0 mg,DB00052
"Powder, for solution",Subcutaneous,1.2 mg,DB00052
"Powder, for solution",Subcutaneous,1.4 mg,DB00052
"Powder, for solution",Subcutaneous,1.6 mg,DB00052
"Powder, for solution",Subcutaneous,1.8 mg,DB00052
"Powder, for solution",Subcutaneous,12 mg,DB00052
"Powder, for solution",Subcutaneous,2.0 mg,DB00052
"Powder, for solution",Subcutaneous,5 mg,DB00052
"Powder, for solution",Subcutaneous,5.3 mg,DB00052
"Liquid; powder, for solution",Intramuscular; Subcutaneous,,DB00052
"Powder, for solution",Intramuscular; Subcutaneous,1 mg,DB00052
"Injection, solution",Subcutaneous,10 mg/1.5mL,DB00052
"Injection, solution",Subcutaneous,15 mg/1.5mL,DB00052
"Injection, solution",Subcutaneous,30 mg/3mL,DB00052
"Injection, solution",Subcutaneous,5 mg/1.5mL,DB00052
Solution,Subcutaneous,10 mg,DB00052
Solution,Subcutaneous,15 mg,DB00052
Kit,,,DB00052
"Kit; powder, for solution",Intramuscular; Subcutaneous,,DB00052
Liquid,Subcutaneous,5 mg,DB00052
Solution,Subcutaneous,20 mg,DB00052
"Injection, solution",Subcutaneous,5 mg/2mL,DB00052
Solution,Subcutaneous,5 mg,DB00052
"Injection, solution",Subcutaneous,10 mg/2mL,DB00052
"Injection, solution",Subcutaneous,20 mg/2mL,DB00052
,Subcutaneous,10 mg/1.5ml,DB00052
,Subcutaneous,15 mg/1.5ml,DB00052
,Subcutaneous,5 mg/1.5ml,DB00052
"Injection, powder, for solution",Subcutaneous,1.3 mg/ml,DB00052
"Injection, powder, for solution",Subcutaneous,5 mg/ml,DB00052
"Kit; powder, for solution",Subcutaneous,,DB00052
Kit,Intramuscular; Subcutaneous,,DB00052
"Powder, for solution",Intramuscular; Subcutaneous,5 mg,DB00052
Solution,Subcutaneous,5.83 mg,DB00052
Solution,Subcutaneous,8 mg,DB00052
"Powder, for solution",Intramuscular; Subcutaneous,,DB00052
"Powder, for solution",Subcutaneous,8.8 mg,DB00052
"Powder, for solution",Subcutaneous,,DB00052
"Injection, powder, for solution",Subcutaneous,15 mg/1.5ml,DB00052
Kit,Subcutaneous,,DB00052
"Injection, powder, lyophilized, for solution",Intravenous,40 U/mL,DB00053
"Powder, for solution",Intravenous,200 unit,DB00053
"Powder, for solution",Intravenous,400 unit,DB00053
"Injection, solution",Intravenous,2 mg/mL,DB00054
