parent_key,synonym,language,coder
DB00025,Human factor VIII recombinant,,
DB00025,Octocog alfa,,WHO-DD
DB00025,rAHF,,
DB00025,Recombinant antihemophilic factor VIII,,
DB00026,ICIL-1RA,,
DB00026,IL-1ra,,
DB00026,IL-1RN,,
DB00026,IL1 inhibitor,,
DB00026,Interleukin-1 receptor antagonist protein precursor,,
DB00026,IRAP,,
DB00027,Bacillus brevis gramicidin D,,
DB00027,Gramicidin,,
DB00027,Gramicidin A,,
DB00027,Gramicidin B,,
DB00027,Gramicidin C,,
DB00027,Gramicidine,,
DB00028,Human IGG,,
DB00028,Human Immunoglobulin G,,
DB00028,Human Normal Immunoglobulin,,
DB00028,Immune globulin (human),,
DB00028,Immune Globulin Intravenous,,
DB00028,Immune Globulin Subcutaneous,,
DB00028,Immunoglobulin G (human),,
DB00028,"Immunoglobulin G, Human",,
DB00028,Intravenous Immunoglobulin,,
DB00028,IVIg,,
DB00029,Anisoylated plasminogen streptokinase activator complex,,
DB00029,APSAC,,
DB00030,High molecular weight insulin human,,
DB00030,Human insulin,,
DB00030,human insulin (rDNA),,INN
DB00030,Insulin (human),,
DB00030,Insulin human [rDNA origin],,
DB00030,Insulin Human Regular,,
DB00030,Insulin human regular (rDNA),,
DB00030,"Insulin human, rDNA origin",,
DB00030,Insulin recombinant human,,
DB00030,Insulin recombinant purified human,,
DB00030,Insulin regular,,
DB00030,"Insulin, human",,
DB00030,"Regular Insulin, human",,
DB00031,TNK-tPA,,
DB00032,Human menopausal gonadotrophin,,
DB00032,Menotrophin,,
DB00032,Menotropin,,
DB00032,Menotropins (FSH;LH),,
DB00033,IFN-gamma-1b,,
DB00033,"Interferon gamma-1b, recombinant",,
DB00033,Interferon gamma-2a,,
DB00034,Interferon alfa-2a,,
DB00034,Interferon alfa-2a (recombinant),,
DB00034,"Interferon alfa-2a, recombinant",,
DB00034,"Interferon alfa-2a,recombinant",,
DB00034,Interferon alpha-2a,,
DB00034,Interferon-alfa-2a,,
DB00034,Recombinant human interferon alfa-2a,,
DB00034,Recombinant human interferon-alfa-2a,,
DB00034,rIFN-alpha-2a,,
DB00034,SH-polypeptide-46,,
DB00035,1-(3-mercaptopropionic acid)-8-D-arginine-vasopressin,,
DB00035,1-deamino-8-D-arginine vasopressin,,
DB00035,1-desamino-8-D-arginine vasopressin,,
DB00035,dDAVP,,
DB00035,Desmopresina,Spanish,INN
DB00035,Desmopressine,French,INN
DB00035,Desmopressinum,Latin,INN
DB00036,Coagulation factor VIIa,,
DB00036,Coagulation factor VIIa (recombinant),,
DB00036,Eptacog alfa,,
DB00036,Eptacog alfa (activated),,
DB00036,rFVIIa,,
DB00038,Adipogenesis inhibitory factor,,
DB00038,AGIF,,
DB00038,IL-11,,
DB00038,Interleukin-11 precursor,,
DB00039,24-163 fibroblast growth factor 7 (human),,
DB00040,Glucagon,,
DB00040,Glucagon (recombinant dna origin),,
DB00040,"Glucagon, human",,
DB00040,"Glucagon, porcine",,
DB00040,Glucagone,,
DB00040,Glucagonum,,
DB00041,125-L-serine-2-133-interleukin 2 (human reduced),,
DB00041,Interleukin-2 aldesleukin,,
DB00041,"Interleukin-2(2-133),125-ser",,
DB00041,Recombinant interleukin-2 human,,
DB00042,Botulinum neurotoxin type B precursor,,
DB00042,BTX-B,,
DB00042,RimabotulinumtoxinB,,
DB00044,ICSH,,
DB00044,Insterstiial cell-stimulating hormone,,
DB00044,LH,,
DB00044,LH-B,,
DB00044,LSH- beta,,
DB00044,LSH-B,,
DB00044,Luteinizing hormone,,
DB00044,Luteinizing hormone beta subunit,,
DB00044,Lutrophin,,
DB00044,Lutropin alpha,,
DB00044,Lutropin beta chain precursor,,
DB00045,Lipoprotein OspA antigen recombinant,,
DB00045,Lipoprotein outer surface a borrelia burgdorferi antigen,,
DB00045,OspA lipoprotein,,
DB00046,Insulin lispro (genetical recombination),,
DB00046,Insulin lispro (rDNA origin),,
DB00046,Insulin lispro protamine,,
DB00046,Insulin lispro protamine recombinant,,
DB00046,Insulin lispro recombinant,,
DB00046,"Insulin,lispro,human/rDNA",,
DB00046,"Insulin,lispro,protamine/rDNA",,
DB00047,Insulin Glargine (rDNA origin),,
DB00047,Insulin glargine recombinant,,
DB00048,Clostridium histolyticum enzymes,,
DB00048,Collagenase,,
DB00049,Urate oxidase,,
DB00049,Uricase,,
DB00050,Cetrorelixum,Latin,INN
DB00051,Adalimumab (genetical recombination),,
DB00051,adalimumab-adbm,,
DB00051,adalimumab-atto,,
DB00052,Growth hormone,,
DB00052,Growth hormone (human),,
DB00052,hGH,,
DB00052,Human growth hormone,,
DB00052,Recombinant human growth hormone,,
DB00052,rhGH,,
DB00052,Somatotropin (human),,
DB00052,Somatotropin human,,
DB00052,Somatotropin human growth hormone,,
DB00052,Somatropin,,
DB00052,Somatropin (rDNA origin),,
DB00052,Somatropin (recombinant DNA origin),,
DB00052,Somatropin [rDNA origin],,
DB00052,Somatropin recombinant,,
DB00052,Somatropin(recombinant DNA origin),,
DB00054,7E3,,
DB00054,7E3 antibody,,
DB00054,Abciximab (genetical recombination),,
DB00054,antiGPIIBIIIa,,
DB00054,c7E3,,
DB00055,Activated protein C,,
DB00055,Blood coagulation factor XIV (human),,
DB00055,Drotrecogin alfa (activated),,
DB00055,"Drotrecogin alfa (activated), lyophilized",,
DB00055,Drotrecogin alfa activated,,
DB00055,"Drotrecogin alfa, activated",,
DB00055,Drotrecogin-alfa,,
DB00055,Recombinant human activated protein C (rH-APC),,
DB00057,Indium (111In) satumomab pendetide,,
DB00057,Indium In 111 satumomab pendetide,,
DB00057,Indium-111 satumomab pendetide,,
DB00058,Alfa1 antitrypsin,,
DB00058,Alpha 1-antitrypsin,,
DB00058,Alpha 1-Proteinase Inhibitor,,
DB00058,Alpha 1-proteinase inhibitor (human),,
DB00058,"Alpha 1-proteinase inhibitor, human",,
DB00058,Alpha-1 protease inhibitor,,
DB00058,Alpha-1 proteinase inhibitor (human),,
DB00058,Alpha-1-antiproteinase,,
DB00058,Alpha-1-antitrypsin,,
DB00058,Alpha-1-proteinase Inhibitor (human),,
DB00058,Alpha-1-proteinase inhibitor human,,
DB00058,"Alpha-1-proteinase Inhibitor, Human",,
DB00058,"Alpha-1-proteinase inhibitor,human",,
DB00058,Alpha1-proteinase Inhibitor,,
DB00058,Alpha1-proteinase inhibitor (human),,
DB00058,alpha1-proteinase inhibitor human,,
DB00058,API,,
DB00059,Peg-asparaginase,,
DB00059,Peg/L-asparaginase,,
DB00060,Interferon beta 1-a,,
DB00060,Interferon beta 1a,,
DB00060,Interferon beta-1a (recombinant human),,
DB00060,"Interferon beta-1a,recombinant",,
DB00060,Interferon-beta-1a,,
DB00061,Adenosine aminohydrolase,,
DB00061,Adenosine deaminase,,
DB00062,Albumin (human),,
DB00062,Albumin human,,
DB00062,"Albumin microspheres, human",,
DB00062,"Albumin, blood",,
DB00062,"Albumin, human",,
DB00062,"Albumin, human-kjda",,
DB00062,Human albumin,,
DB00062,Microspheres of human albumin,,
DB00062,Serum albumin,,
DB00063,Integrelin,,
DB00063,Intrifiban,,
DB00065,Infliximab (genetical recombination),,
DB00065,Infliximab-abda,,
DB00065,Infliximab-dyyb,,
DB00065,Infliximab-qbtx,,
DB00066,Follicle stimulating hormone,,
DB00066,Follitrophin alfa,,
DB00066,Follitrophin alpha,,
DB00066,Follitrophin beta,,
DB00066,Follitropin alfa,,
DB00066,Follitropin alfa/beta,,
DB00066,Follitropin alpha,,
DB00066,Follitropin beta,,
DB00066,Follitropin delta,,
DB00066,Follitropin gamma,,
DB00066,Follotropin recombinant,,
DB00066,FSH,,
DB00066,FSH alpha,,
DB00066,FSH-a,,
DB00066,FSH-b,,
DB00066,FSH-beta,,
DB00066,Recombinant human follicle stimulating hormone beta,,
DB00066,Recombinant human follicle-stimulating hormone (r-HFSH),,
DB00066,rFSH-alpha,,
DB00067,"Vasopressin, unspecified",,
DB00068,Interferon beta 1b (recombinant),,
DB00068,"Interferon beta-1b,recombinant",,
DB00068,Interferon-beta-1b,,
DB00068,Recombinant interferon beta-1b,,
DB00069,CIFN,,
DB00069,consensus interferon,,
DB00069,IFN Alfacon-1,,
DB00069,"Interferon Consensus, Methionyl",,
DB00069,methionyl interferon consensus,,
DB00069,methionyl-interferon-consensus,,
DB00069,rCon-IFN,,
DB00069,Recombinant Consensus Interferon,,
DB00069,Recombinant methionyl human consensus interferon,,
DB00070,HYAL-1,,
DB00070,"Hyaluronidase (glycoprotein, sheep testis isoenzyme)",,
DB00070,Hyaluronidase (ovine),,
DB00070,Hyaluronidase (sheep testis isoenzyme),,
DB00070,Hyaluronidase 1 precursor,,
DB00070,Hyaluronidase PH-20,,
DB00070,"Hyaluronidase, ovine",,
DB00070,Ovine hyaluronidase,,
DB00070,Sperm adhesion molecule 1,,
DB00070,Sperm surface protein PH-20,,
DB00071,Insulin (pork),,
DB00071,Insulin porcine,,
DB00071,Insulin purified porcine,,
DB00071,Insulin purified pork,,
DB00071,"Insulin, porcine",,
DB00071,"Insulin, regular, pork",,
DB00071,Porcine insulin,,
DB00072,RHUMAB HER2,,
DB00072,trastuzumab-dkst,,
DB00073,AntiCD20,,
DB00074,chimeric mouse-human antiCD25,,
DB00075,Anti-CD3,,
DB00075,Muromonab-CD3,,
DB00076,Digitalis antitoxin,,
DB00076,"Digoxin Immune Fab, Ovine",,
DB00076,Digoxin-specific Antibody Fragments,,
DB00076,Ovine digoxin immune fab,,
DB00078,Ibritumomab,,
DB00078,mAb Murine (IGG1) Anti P19437 (CD20_MOUSE),,
DB00083,AbobotulinumtoxinA,,
DB00083,BoNT/A,,
DB00083,Bontoxilysin A,,
DB00083,Botulinum neurotoxin type A precursor,,
DB00083,BTX-A,,
DB00083,IncobotulinumtoxinA,,
DB00083,OnabotulinumtoxinA,,
DB00085,Pancrealipase,,
DB00085,Pancreatic extract pancrelipase,,
DB00085,Pancreatic protease,,
DB00085,Pancreatin,,
DB00085,Pancreatinum,Latin,
DB00085,Pancrelipase (amylase;lipase;protease),,
DB00086,Streptokinase C precursor,,
DB00089,(111In)-Capromab pendetide,,
DB00089,Indium (111In) capromab pendetide,,
DB00089,Indium 111 Capromab Pendetide,,
DB00089,Indium In 111 capromab pendetide,,
DB00090,Alpha-L-iduronidase precursor,,
DB00091,Ciclosporin,,INN
DB00091,Ciclosporina,Spanish,
DB00091,Ciclosporine,French,
DB00091,Ciclosporinum,Latin,
DB00091,CsA,,
DB00091,CyA,,
DB00091,Cyclosporin,,
DB00091,Cyclosporin A,,
DB00092,ASP0485,,
DB00093,2-(L-phenylalanine)-8-L-lysinevasopressin,,
DB00093,Felipresina,Spanish,INN
DB00093,Felypressin,,"INN, BAN, USAN"
DB00093,Felypressine,French,INN
DB00093,Felypressinum,Latin,INN
DB00093,PLV-2,,
DB00094,Follitropin human,,
DB00094,Urofollitrophin,,
DB00095,anti alphaL integrin,,
DB00095,antiCD11 alpha,,
DB00095,hu1124,,
DB00097,Choriogonadotropin alpha,,
DB00097,Chorionic gonadotropin (recombinant),,
DB00098,"Anti-human thymocyte immunoglobulin, rabbit",,
DB00098,"Anti-T-lymphocyte immune globulin, rabbit",,
DB00098,Anti-thymocyte globulin (rabbit),,
DB00098,Anti-thymocyte globulin rabbit,,
DB00098,Antithymocyte immunoglobulin,,
DB00098,Lapine T-lymphocyte immune globulin,,
DB00098,Rabbit anti-human thymocyte globulin,,
DB00098,Rabbit anti-human thymocyte globulin (rATG),,
DB00098,Rabbit anti-human thymocyte immunoglobulin,,
DB00098,Rabbit anti-thymocyte immunoglobulin,,
DB00098,Rabbit antithymocyte globulin,,
DB00098,Rabbit ATG,,
DB00098,rATG,,
DB00098,Thymoglobulin,,
DB00098,Thymoglobuline,,
DB00099,Filgrastim-sndz,,
DB00099,G-CSF ,,
DB00099,Granulocyte Colony Stimulating Factor ,,
DB00099,Tbo-filgrastim,,
DB00100,Coagulation factor IX (recombinant),,
DB00100,Coagulation factor IX recombinant human,,
DB00100,Factor IX (Recombinant),,
DB00100,nonacog alfa,,
DB00100,nonacog gamma,,
DB00100,Recombinant factor IX,,
DB00102,c-sis,,
DB00102,PDGF B-chain,,
DB00102,PDGF-2,,
DB00102,PDGF-BB,,
DB00102,PDGFB,,
DB00102,Platelet-derived growth factor B chain precursor,,
DB00102,Platelet-derived growth factor beta polypeptide,,
DB00102,SH-POLYPEPTIDE-59,,
DB00103,Agalsidase alfa,,
DB00103,Alpha-D- galactoside galactohydrolase,,
DB00103,Alpha-D-galactosidase A,,
DB00103,Alpha-galactosidase A precursor,,
DB00103,Melibiase,,
DB00104,Octreotida,Spanish,
DB00104,Octreotidum,Latin,
DB00104,Octrotide,,
DB00105,Interferon alfa-2b,,
DB00105,Interferon α-2b,,
DB00105,Intron (Interferon α2b),,
DB00105,Intron A (Interferon α2b),,
DB00105,rIFN-alpha-2b,,
DB00108,Anti-alpha4 integrin,,
DB00108,Anti-VLA4,,
DB00110,anti-RSV,,
DB00111,Dacliximab,,
DB00111,Daclizumab beta,,
DB00112,antiVEGF,,
DB00112,bevacizumab-awwb,,
DB00113,Arcitumomab technetium-99m,,
DB00113,Technetium (99mTc) arcitumomab,,
DB00113,Technetium Tc 99m arcitumomab,,
DB00113,Technetium-99m arcitumomab,,
DB00114,3-hydroxy-2-methyl-5-((phosphonooxy)methyl)-4-pyridinecarboxaldehyde,,
DB00114,3-hydroxy-5-(hydroxymethyl)-2-methylisonicotinaldehyde 5-phosphate,,
DB00114,Codecarboxylase,,
DB00114,PLP,,
DB00114,Pyridoxal 5-monophosphoric acid ester,,
DB00114,Pyridoxal 5-phosphate,,
DB00114,Pyridoxal 5'-phosphate,,
DB00114,Pyridoxal P,,
DB00114,Pyridoxal phosphate anhydrous,,
DB00114,Pyridoxal-5P,,
DB00114,Pyridoxal-P,,
DB00115,Cyanocob(III)alamin,,
DB00115,Vitamin B12,,
DB00115,Vitamin B12 complex,,
DB00115,Vitamin B12 NOS,,
DB00116,"5,6,7,8-tetrahydrofolate",,
DB00116,"5,6,7,8-tetrahydrofolic acid",,
DB00116,Tetrahydrofolate,,
DB00117,(S)-4-(2-Amino-2-carboxyethyl)imidazole,,
DB00117,(S)-a-Amino-1H-imidazole-4-propanoic acid,,
DB00117,(S)-alpha-amino-1H-Imidazole-4-propanoic acid,,
DB00117,(S)-alpha-Amino-1H-imidazole-4-propionic acid,,
DB00117,(S)-α-amino-1H-Imidazole-4-propanoic acid,,
DB00117,HIS,,
DB00117,Histidina,Spanish,
DB00117,L-(−)-histidine,,
DB00117,L-Histidin,,
DB00117,L-Histidine,,
DB00118,AdoMet,,
DB00118,S-Adenosylmethionine,,
DB00118,SAM,,
DB00118,SAM-e,,
DB00118,SAMe,,
DB00119,2-ketopropionic acid,,
DB00119,2-oxopropanoic acid,,
DB00119,2-Oxopropansäure,German,
DB00119,2-Oxopropionsäure,German,
DB00119,a-Ketopropionic acid,,
DB00119,Acetylformic acid,,
DB00119,acide pyruvique,French,
DB00119,alpha-ketopropionic acid,,
DB00119,Brenztraubensäure,German,
DB00119,BTS,,
DB00119,Pyroracemic acid,,
DB00119,α-ketopropionic acid,,
DB00119,α-Oxopropionsäure,German,
DB00120,(S)-2-Amino-3-phenylpropionic acid,,
DB00120,(S)-alpha-Amino-beta-phenylpropionic acid,,
DB00120,3-phenyl-L-alanine,,
DB00120,beta-Phenyl-L-alanine,,
DB00120,F,,
DB00120,Phe,,
DB00120,Phenylalanine,,
DB00120,β-phenyl-L-alanine,,
DB00121,"(+)-cis-Hexahydro-2-oxo-1H-thieno[3,4]imidazole-4-valeric acid",,
DB00121,"(3AS,4S,6ar)-hexahydro-2-oxo-1H-thieno[3,4-D]imidazole-4-valeric acid",,
DB00121,"5-(2-Oxohexahydro-1H-thieno[3,4-D]imidazol-4-yl)pentanoic acid",,
DB00121,Biotin,,
DB00121,Biotina,,
DB00121,Biotine,,
DB00121,Biotinum,,
DB00121,"cis-(+)-Tetrahydro-2-oxothieno[3,4]imidazoline-4-valeric acid",,
DB00121,"cis-Hexahydro-2-oxo-1H-thieno(3,4)imidazole-4-valeric acid",,
DB00121,"cis-Tetrahydro-2-oxothieno(3,4-D)imidazoline-4-valeric acid",,
DB00121,Coenzyme R,,
DB00121,D-(+)-Biotin,,
DB00121,D-Biotin,,
DB00121,D(+)-Biotin,,
DB00121,Vitamin B7,,
DB00121,Vitamin H,,
DB00122,Bilineurine,,
DB00122,Choline ion,,
DB00122,N-trimethylethanolamine,,
DB00122,"N,N,N-trimethylethanol-ammonium",,
DB00122,trimethylethanolamine,,
DB00122,Vitamin J,,
DB00123,"(S)-2,6-diaminohexanoic acid",,
DB00123,(S)-lysine,,
DB00123,"(S)-α,ε-diaminocaproic acid",,
DB00123,6-ammonio-L-norleucine,,
DB00123,"L-2,6-Diaminocaproic acid",,
DB00123,L-lys,,
DB00123,L-Lysin,German,
DB00123,LYS,,
DB00123,Lysina,Spanish,
DB00123,Lysine,,
DB00123,Lysine acid,,
DB00123,Lysinum,Latin,
DB00125,(2S)-2-amino-5-(carbamimidamido)pentanoic acid,,
DB00125,(2S)-2-amino-5-guanidinopentanoic acid,,
DB00125,(S)-2-amino-5-guanidinopentanoic acid,,
DB00125,(S)-2-Amino-5-guanidinovaleric acid,,
DB00125,Arg,,
DB00125,Arginine,,
DB00125,L-(+)-Arginine,,
DB00125,L-Arg,,
DB00125,L-Arginin,German,
DB00125,R,,
DB00126,acide ascorbique,French,
DB00126,ácido ascórbico,Spanish,
DB00126,acidum ascorbicum,Latin,
DB00126,acidum ascorbinicum,Latin,
DB00126,Ascorbate,,
DB00126,Ascorbic Acid,,
DB00126,Ascorbicap,,
DB00126,Ascorbinsäure,German,
DB00126,L-(+)-ascorbic acid,,
DB00126,L-Ascorbate,,
DB00126,L-Ascorbic Acid,,
DB00127,"4,9-Diaza-1,12-dodecanediamine",,
DB00127,"4,9-Diazadodecane-1,12-diamine",,
DB00127,"N,N'-Bis(3-aminopropyl)-1,4-butanediamine",,
DB00127,Spermine,,
DB00128,(S)-2-aminobutanedioic acid,,
DB00128,(S)-2-aminosuccinic acid,,
DB00128,2-Aminosuccinic acid,,
DB00128,Asp,,
DB00128,Aspartic acid,,
DB00128,D,,
DB00128,L-Asp,,
DB00128,L-Asparaginsaeure,,
DB00128,L-Asparaginsäure,German,
DB00128,L-Aspartate,,
DB00128,L-Aspartic acid,,
DB00129,"(S)-2,5-Diaminopentanoate",,
DB00129,"(S)-2,5-Diaminopentanoic acid",,
DB00129,"(S)-2,5-diaminovaleric acid",,
DB00129,"(S)-alpha,delta-Diaminovaleric acid",,
DB00129,(S)-ornithine,,
DB00129,"(S)-α,δ-diaminovaleric acid",,
DB00129,L-Ornithine,,
DB00129,levo-ornithine,,
DB00130,(2S)-2-amino-4-carbamoylbutanoic acid,,
DB00130,"(2S)-2,5-diamino-5-oxopentanoic acid",,
DB00130,"(S)-2,5-diamino-5-oxopentanoic acid",,
DB00130,Glutamic acid 5-amide,,
DB00130,Glutamic acid amide,,
DB00130,Glutamine,,
DB00130,L-(+)-glutamine,,
DB00130,L-2-aminoglutaramic acid,,
DB00130,L-glutamic acid γ-amide,,
DB00130,L-Glutamin,German,
DB00130,L-Glutaminsäure-5-amid,German,
DB00130,Levoglutamide,,
DB00130,Q,,
DB00131,5'-Adenosine monophosphate,,
DB00131,5'-Adenylic acid,,
DB00131,5'-AMP,,
DB00131,5'-O-Phosphonoadenosine,,
DB00131,Adenosine 5'-(dihydrogen phosphate),,
DB00131,Adenosine 5'-monophosphate,,
DB00131,Adenosine 5'-phosphate,,
DB00131,ADENOSINE monophosphate,,
DB00131,Adenosine phosphate,,INN
DB00131,Adenosine-5'-Monophosphate,,
DB00131,Adenosine-5'-monophosphoric acid,,
DB00131,Adenosine-5'p,,
DB00131,Adenosini phosphas,,
DB00131,Adenylate,,
DB00131,Adenylic acid,,
DB00131,Ado5'p,,
DB00131,AMP,,
DB00131,Fosfato de adenosina,,
DB00131,PAdo,,
DB00131,Phosaden,,
DB00131,Phosphaden,,
DB00131,Phosphate d'adenosine,,
DB00132,"(9,12,15)-linolenic acid",,
DB00132,"(9Z,12Z,15Z)-Octadecatrienoic acid",,
DB00132,"(Z,Z,Z)-9,12,15-octadecatrienoic acid",,
DB00132,"9-cis,12-cis,15-cis-octadecatrienoic acid",,
DB00132,"9,12,15-Octadecatrienoic acid",,
DB00132,ALA,,
DB00132,"all-cis-9,12,15-Octadecatrienoic acid",,
DB00132,alpha-Linolenic acid,,
DB00132,"cis-delta(9,12,15)-Octadecatrienoic acid",,
DB00132,"cis,cis,cis-9,12,15-Octadecatrienoic acid",,
DB00132,Linolenic acid,,
DB00132,α-linolenic acid,,
DB00133,(S)-2-Amino-3-hydroxypropanoic acid,,
DB00133,(S)-Serine,,
DB00133,alpha-Amino-beta-hydroxypropionic acid,,
DB00133,beta-Hydroxyalanine,,
DB00133,L-Serine,,
DB00133,Ser,,
DB00133,Serina,Spanish,
DB00133,Serinum,Latin,
DB00134,(2S)-2-amino-4-(methylsulfanyl)butanoic acid,,
DB00134,(S)-2-amino-4-(methylthio)butanoic acid,,
DB00134,(S)-2-amino-4-(methylthio)butyric acid,,
DB00134,(S)-methionine,,
DB00134,L-(−)-methionine,,
DB00134,L-a-Amino-g-methylthiobutyric acid,,
DB00134,L-Methionin,German,
DB00134,L-Methionine,,
DB00134,L-α-amino-γ-methylmercaptobutyric acid,,
DB00134,M,,
DB00134,Met,,
DB00135,(−)-α-amino-p-hydroxyhydrocinnamic acid,,
DB00135,(2S)-2-amino-3-(4-hydroxyphenyl)propanoic acid,,
DB00135,(S)-(-)-Tyrosine,,
DB00135,(S)-2-Amino-3-(p-hydroxyphenyl)propionic acid,,
DB00135,(S)-3-(p-Hydroxyphenyl)alanine,,
DB00135,(S)-alpha-amino-4-Hydroxybenzenepropanoic acid,,
DB00135,(S)-Tyrosine,,
DB00135,(S)-α-amino-4-hydroxybenzenepropanoic acid,,
DB00135,4-hydroxy-L-phenylalanine,,
DB00135,L-Tyrosin,German,
DB00135,Tyr,,
DB00135,Tyrosine,,
DB00135,Y,,
DB00136,"(1S,3R,5Z,7E)-9,10-secocholesta-5,7,10-triene-1,3,25-triol",,
DB00136,"(1α,3β,5Z,7E)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol",,
DB00136,"(5Z,7E)-(1S,3R)-9,10-secocholesta-5,7,10(19)-triene-1,3,25-triol",,
DB00136,1-alpha-25-Dihydroxyvitamin D3,,
DB00136,"1,25-DHCC",,
DB00136,"1,25-dihydroxycholecalciferol",,
DB00136,"1α,25-dihydroxycholecalciferol",,
DB00136,"1α,25-dihydroxyvitamin D3",,
DB00136,"1α,25(OH)2D3",,
DB00136,Calcitriol,English/Spanish/French,
DB00136,Calcitriolum,Latin,
DB00137,Xanthophyll,,
DB00137,Xantofyl,,WHO-DD
DB00138,"(R,R)-3,3'-dithiobis(2-aminopropanoic acid)",,
DB00138,L-alpha-Diamino-beta-dithiolactic acid,,
DB00138,L-Cystine,,
DB00138,L-Dicysteine,,
DB00138,"β,β'-dithiodialanine",,
DB00139,"1,2-Ethanedicarboxylic acid",,
DB00139,Acide butanedioique,,
