smpdb_id,name,category,parent_key
SMP00254,Gentamicin Action Pathway,drug_action,DB00117
SMP00257,Netilmicin Action Pathway,drug_action,DB00117
SMP00291,Doxycycline Action Pathway,drug_action,DB00117
SMP00292,Minocycline Action Pathway,drug_action,DB00117
SMP00295,Lymecycline Action Pathway,drug_action,DB00117
SMP00712,Tigecycline Action Pathway,drug_action,DB00117
SMP02335,Histidine Biosynthesis,metabolic,DB00117
SMP00044,Histidine Metabolism,metabolic,DB00117
SMP00253,Amikacin Action Pathway,drug_action,DB00117
SMP00258,Spectinomycin Action Pathway,drug_action,DB00117
SMP00351,GABA-Transaminase Deficiency,disease,DB00117
SMP00492,Ureidopropionase Deficiency,disease,DB00117
SMP00830,histidine biosynthesis,metabolic,DB00117
SMP01000,Secondary Metabolites: Histidine biosynthesis,metabolic,DB00117
SMP02429,Histidine Metabolism,metabolic,DB00117
SMP63599,Beta-Alanine Metabolism,metabolic,DB00117
SMP00191,Histidinemia,disease,DB00117
SMP00248,Clarithromycin Action Pathway,drug_action,DB00117
SMP00250,Erythromycin Action Pathway,drug_action,DB00117
SMP00251,Roxithromycin Action Pathway,drug_action,DB00117
SMP00255,Kanamycin Action Pathway,drug_action,DB00117
SMP00256,Neomycin Action Pathway,drug_action,DB00117
SMP00262,Clomocycline Action Pathway,drug_action,DB00117
SMP00006,Tyrosine Metabolism,metabolic,DB00118
SMP00044,Histidine Metabolism,metabolic,DB00118
SMP00048,Nicotinate and Nicotinamide Metabolism,metabolic,DB00118
SMP00207,Prolidase Deficiency (PD),disease,DB00118
SMP00327,Phenytoin (Antiarrhythmic) Action Pathway,drug_action,DB00118
SMP00428,Mercaptopurine Action Pathway,drug_action,DB00118
SMP00430,Thioguanine Action Pathway,drug_action,DB00118
SMP00485,"Hyperglycinemia, non-ketotic",disease,DB00118
SMP00494,"Tyrosinemia, transient, of the newborn",disease,DB00118
SMP00570,"Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type",disease,DB00118
SMP00785,Biotin metabolism,metabolic,DB00118
SMP00953,Porphyrin metabolism,metabolic,DB00118
SMP02042,Thiamin diphosphate biosynthesis,metabolic,DB00118
SMP02121,Cyclopropane Fatty Acid (CFA) Biosynthesis,metabolic,DB00118
SMP02372,Ubiquinone Biosynthesis ,metabolic,DB00118
SMP02381,Steroid Biosynthesis ,metabolic,DB00118
SMP02512,Lysolipid incorporation into ER PC(10:0/10:0),metabolic,DB00118
SMP02514,Lysolipid incorporation into ER PC(16:0/16:0),metabolic,DB00118
SMP02516,Lysolipid incorporation into ER PC(16:1(11Z)/16:1(11Z)),metabolic,DB00118
SMP02517,Lysolipid incorporation into ER PC(18:0/18:0),metabolic,DB00118
SMP02527,"Lysolipid incorporation into Mitochondria PC(18:2(9Z,11Z)/18:2(9Z,11Z))",metabolic,DB00118
SMP02534,Phosphatidylcholine biosynthesis PC(12:0/12:0),metabolic,DB00118
SMP02545,Phosphatidylcholine biosynthesis PC(14:0/14:1(11Z)),metabolic,DB00118
SMP02552,Phosphatidylcholine biosynthesis PC(10:0/15:1(11Z)),metabolic,DB00118
SMP02557,Phosphatidylcholine biosynthesis PC(12:0/15:1(9Z)),metabolic,DB00118
SMP02565,Phosphatidylcholine biosynthesis PC(15:0/15:1(9Z)),metabolic,DB00118
SMP02581,Phosphatidylcholine biosynthesis PC(15:1(9Z)/15:1(9Z)),metabolic,DB00118
SMP02591,Phosphatidylcholine biosynthesis PC(15:0/16:1(11Z)),metabolic,DB00118
SMP02592,Phosphatidylcholine biosynthesis PC(15:1(9Z)/16:0),metabolic,DB00118
SMP02599,Phosphatidylcholine biosynthesis PC(16:1(9Z)/16:1(11Z)),metabolic,DB00118
SMP00013,Cysteine Metabolism,metabolic,DB00119
SMP00217,Sialuria or French Type Sialuria,disease,DB00119
SMP00350,Pyruvate Carboxylase Deficiency,disease,DB00119
SMP00459,Pyruvaldehyde Degradation,metabolic,DB00119
SMP00558,"Primary hyperoxaluria II, PH2",disease,DB00119
SMP00562,"Fructose-1,6-diphosphatase deficiency",disease,DB00119
SMP00567,Succinic semialdehyde dehydrogenase deficiency,disease,DB00119
SMP00572,Fanconi-bickel syndrome,disease,DB00119
SMP00721,3-Phosphoglycerate dehydrogenase deficiency,disease,DB00119
SMP00722,"Cystinosis, ocular nonnephropathic",disease,DB00119
SMP00816, D-glucarate and D-galactarate degradation,metabolic,DB00119
SMP00835,tryptophan metabolism,metabolic,DB00119
SMP00857,S-adenosyl-L-methionine biosynthesis,metabolic,DB00119
SMP00925,Folate Biosynthesis,metabolic,DB00119
SMP00957,propanoate metabolism,metabolic,DB00119
SMP00997,Secondary Metabolites: Ubiquinol biosynthesis,metabolic,DB00119
SMP01930,tryptophan metabolism II,metabolic,DB00119
SMP02017,ketogluconate metabolism,metabolic,DB00119
SMP02044,N-acetylneuraminate and N-acetylmannosamine and N-acetylglucosamine degradation,metabolic,DB00119
SMP02050,Secondary Metabolites: Ubiquinol biosynthesis 2,metabolic,DB00119
SMP02062,Enterobactin Biosynthesis,metabolic,DB00119
SMP02095,pyruvate decarboxylation to acetyl CoA,metabolic,DB00119
SMP02122,L-cysteine degradation,metabolic,DB00119
SMP02295,The Oncogenic Action of Fumarate,disease,DB00119
SMP02334,tetrahydrofolate biosynthesis,metabolic,DB00119
SMP02352,Tyrosine metabolism,metabolic,DB00119
SMP02427,Glutamic acid metabolism,metabolic,DB00119
SMP12467,Butanoate Metabolism,metabolic,DB00119
SMP14205,Phosphatidylcholine Biosynthesis,metabolic,DB00119
SMP00001,Citrullinemia Type I,disease,DB00119
SMP00369,Tyrosinemia Type 2 (or Richner-Hanhart syndrome),disease,DB00120
SMP00370,Tyrosinemia Type 3 (TYRO3),disease,DB00120
SMP02310,Methionine metabolism and salvage,metabolic,DB00120
SMP00206,Phenylketonuria,disease,DB00120
SMP00820,tRNA charging,metabolic,DB00120
SMP00827,phenylalanine biosynthesis,metabolic,DB00120
SMP02442,Phenylalanine metabolism,metabolic,DB00120
SMP12021,Flavonoid Biosynthesis (Dihydroflavonol Biosynthesis),metabolic,DB00120
SMP12024,Flavanone Biosynthesis,metabolic,DB00120
SMP63474,"Tropane, Piperidine and Pyridine Alkaloid Biosynthesis",metabolic,DB00120
SMP63649,Phenylalanine and Tyrosine Metabolism,metabolic,DB00120
SMP00008,Phenylalanine and Tyrosine Metabolism,metabolic,DB00120
SMP00808,inner membrane transport,metabolic,DB00120
SMP00824,tRNA Charging 2,metabolic,DB00120
SMP00938,Phenylalanine metabolism,metabolic,DB00120
SMP02349,Phenylalanine metabolism,metabolic,DB00120
SMP02353,Tryptophan metabolism,metabolic,DB00120
SMP00237,3-Methylcrotonyl Coa Carboxylase Deficiency Type I,disease,DB00121
SMP00350,Pyruvate Carboxylase Deficiency,disease,DB00121
SMP00558,"Primary hyperoxaluria II, PH2",disease,DB00121
SMP00562,"Fructose-1,6-diphosphatase deficiency",disease,DB00121
SMP00564,"Multiple carboxylase deficiency, neonatal or early onset form",disease,DB00121
SMP00567,Succinic semialdehyde dehydrogenase deficiency,disease,DB00121
SMP02295,The Oncogenic Action of Fumarate,disease,DB00121
SMP63602,Biotin Metabolism,metabolic,DB00121
SMP00016,Propanoate Metabolism,metabolic,DB00121
SMP00032,"Valine, Leucine and Isoleucine Degradation",metabolic,DB00121
SMP00057,Citric Acid Cycle,metabolic,DB00121
SMP00136,2-Hydroxyglutric Aciduria (D And L Form),disease,DB00121
SMP00173,Beta-Ketothiolase Deficiency,disease,DB00121
SMP00196,Leigh Syndrome,disease,DB00121
SMP00198,Malonic Aciduria,disease,DB00121
SMP00243,4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,disease,DB00121
SMP00339,Hyperinsulinism-Hyperammonemia Syndrome,disease,DB00121
SMP00452,Threonine and 2-Oxobutanoate Degradation,metabolic,DB00121
SMP00466,Transfer of Acetyl Groups into Mitochondria,metabolic,DB00121
SMP00581,"Glycogenosis, Type IA. Von gierke disease",disease,DB00121
SMP00785,Biotin metabolism,metabolic,DB00121
SMP02298,Glutaminolysis and Cancer,disease,DB00121
SMP63681,Transfer of Acetyl Groups into Mitochondria,metabolic,DB00121
SMP00055,Alanine Metabolism,metabolic,DB00121
SMP00066,Biotin Metabolism,metabolic,DB00121
SMP00072,Glutamate Metabolism,metabolic,DB00121
SMP00137,2-Methyl-3-Hydroxybutryl CoA Dehydrogenase Deficiency,disease,DB00121
SMP00139,3-Methylglutaconic Aciduria Type I,disease,DB00121
SMP00141,3-Methylglutaconic Aciduria Type IV,disease,DB00121
SMP00174,Biotinidase Deficiency,disease,DB00121
SMP00570,"Homocystinuria-megaloblastic anemia due to defect in cobalamin metabolism, cblG complementation type",disease,DB00122
SMP02512,Lysolipid incorporation into ER PC(10:0/10:0),metabolic,DB00122
SMP02514,Lysolipid incorporation into ER PC(16:0/16:0),metabolic,DB00122
SMP02516,Lysolipid incorporation into ER PC(16:1(11Z)/16:1(11Z)),metabolic,DB00122
SMP02517,Lysolipid incorporation into ER PC(18:0/18:0),metabolic,DB00122
SMP14237,Phosphatidylcholine Biosynthesis PC(14:0/22:1(13Z)),metabolic,DB00122
SMP14249,Phosphatidylcholine Biosynthesis PC(14:1(9Z)/16:1(9Z)),metabolic,DB00122
SMP14252,Phosphatidylcholine Biosynthesis PC(14:1(9Z)/18:1(9Z)),metabolic,DB00122
SMP14264,"Phosphatidylcholine Biosynthesis PC(14:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))",metabolic,DB00122
SMP14276,Phosphatidylcholine Biosynthesis PC(15:0/15:0),metabolic,DB00122
SMP14292,"Phosphatidylcholine Biosynthesis PC(15:0/20:4(8Z,11Z,14Z,17Z))",metabolic,DB00122
SMP14293,"Phosphatidylcholine Biosynthesis PC(15:0/20:5(5Z,8Z,11Z,14Z,17Z))",metabolic,DB00122
SMP14301,Phosphatidylcholine Biosynthesis PC(15:0/24:0),metabolic,DB00122
SMP14304,Phosphatidylcholine Biosynthesis PC(16:0/14:1(9Z)),metabolic,DB00122
SMP14307,Phosphatidylcholine Biosynthesis PC(16:0/16:1(9Z)),metabolic,DB00122
SMP14310,Phosphatidylcholine Biosynthesis PC(16:0/18:1(9Z)),metabolic,DB00122
SMP14316,Phosphatidylcholine Biosynthesis PC(16:0/20:1(11Z)),metabolic,DB00122
SMP14321,"Phosphatidylcholine Biosynthesis PC(16:0/20:4(8Z,11Z,14Z,17Z))",metabolic,DB00122
SMP14322,"Phosphatidylcholine Biosynthesis PC(16:0/20:5(5Z,8Z,11Z,14Z,17Z))",metabolic,DB00122
SMP14332,Phosphatidylcholine Biosynthesis PC(16:1(9Z)/14:0),metabolic,DB00122
SMP14347,"Phosphatidylcholine Biosynthesis PC(16:1(9Z)/20:3(5Z,8Z,11Z))",metabolic,DB00122
SMP14348,"Phosphatidylcholine Biosynthesis PC(16:1(9Z)/20:3(8Z,11Z,14Z))",metabolic,DB00122
SMP14353,Phosphatidylcholine Biosynthesis PC(16:1(9Z)/22:1(13Z)),metabolic,DB00122
SMP14355,"Phosphatidylcholine Biosynthesis PC(16:1(9Z)/22:4(7Z,10Z,13Z,16Z))",metabolic,DB00122
SMP14365,Phosphatidylcholine Biosynthesis PC(18:0/16:1(9Z)),metabolic,DB00122
SMP14366,Phosphatidylcholine Biosynthesis PC(18:0/18:0),metabolic,DB00122
SMP14374,Phosphatidylcholine Biosynthesis PC(18:0/20:1(11Z)),metabolic,DB00122
SMP14388,Phosphatidylcholine Biosynthesis PC(18:0/24:0),metabolic,DB00122
SMP14393,Phosphatidylcholine Biosynthesis PC(18:1(11Z)/16:0),metabolic,DB00122
SMP14398,"Phosphatidylcholine Biosynthesis PC(18:1(11Z)/18:2(9Z,12Z))",metabolic,DB00122
SMP00527,"Hyperlysinemia I, Familial",disease,DB00123
SMP63605,Carnitine Synthesis,metabolic,DB00123
SMP63635,Lysine Degradation,metabolic,DB00123
SMP00037,Lysine Degradation,metabolic,DB00123
SMP00719,2-aminoadipic 2-oxoadipic aciduria,disease,DB00123
SMP00820,tRNA charging,metabolic,DB00123
SMP02434,Lysine Metabolism,metabolic,DB00123
SMP00465,Carnitine Synthesis,metabolic,DB00123
SMP00528,Hyperlysinemia II or Saccharopinuria,disease,DB00123
SMP00571,Pyridoxine dependency with seizures,disease,DB00123
SMP02053,aminopropylcadaverine biosynthesis,metabolic,DB00123
SMP00239,Saccharopinuria/Hyperlysinemia II,disease,DB00123
SMP00564,"Multiple carboxylase deficiency, neonatal or early onset form",disease,DB00123
SMP00795,Lysine Degradation I,metabolic,DB00123
SMP02063,Fructoselysine and Psicoselysine Degradation,metabolic,DB00123
SMP63602,Biotin Metabolism,metabolic,DB00123
SMP00066,Biotin Metabolism,metabolic,DB00123
SMP00174,Biotinidase Deficiency,disease,DB00123
SMP00186,Glutaric Aciduria Type I,disease,DB00123
SMP00794,Lysine Biosynthesis,metabolic,DB00123
SMP00808,inner membrane transport,metabolic,DB00123
SMP00824,tRNA Charging 2,metabolic,DB00123
SMP02337,lysine metabolism,metabolic,DB00123
SMP00001,Citrullinemia Type I,disease,DB00125
SMP00002,Carbamoyl Phosphate Synthetase Deficiency,disease,DB00125
SMP00067,Aspartate Metabolism,metabolic,DB00125
SMP00363,Ornithine Aminotransferase Deficiency (OAT Deficiency),disease,DB00125
SMP00824,tRNA Charging 2,metabolic,DB00125
SMP00003,Argininosuccinic Aciduria,disease,DB00125
SMP00207,Prolidase Deficiency (PD),disease,DB00125
SMP00485,"Hyperglycinemia, non-ketotic",disease,DB00125
SMP02303,Glutamate Metabolism,metabolic,DB00125
SMP02420,Proline Metabolism,metabolic,DB00125
SMP63626,Glycine and Serine Metabolism,metabolic,DB00125
SMP00192,Hypoacetylaspartia,disease,DB00125
SMP00223,Non Ketotic Hyperglycinemia,disease,DB00125
SMP00357,Argininemia,disease,DB00125
SMP00484,Dimethylglycine Dehydrogenase Deficiency,disease,DB00125
SMP12004,Arginine and Proline Metabolism,metabolic,DB00125
SMP63686,Urea Cycle,metabolic,DB00125
SMP63777,Nitric Oxide Signaling Pathway,signaling,DB00125
SMP00188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,DB00125
SMP00360,Hyperprolinemia Type II,disease,DB00125
SMP00362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,DB00125
SMP00504,"Creatine deficiency, guanidinoacetate methyltransferase deficiency",disease,DB00125
SMP00505,Hyperornithinemia with gyrate atrophy (HOGA),disease,DB00125
SMP00506,Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome],disease,DB00125
SMP00507,L-arginine:glycine amidinotransferase deficiency,disease,DB00125
SMP00721,3-Phosphoglycerate dehydrogenase deficiency,disease,DB00125
SMP00812,arginine metabolism,metabolic,DB00125
SMP02416,Arginine Metabolism,metabolic,DB00125
SMP63596,Arginine and Proline Metabolism,metabolic,DB00125
SMP00004,Glycine and Serine Metabolism,metabolic,DB00125
SMP00012,Catecholamine Biosynthesis,metabolic,DB00126
SMP02295,The Oncogenic Action of Fumarate,disease,DB00126
SMP12035,Xanthophyll Cycle,metabolic,DB00126
SMP63653,Phytanic Acid Peroxisomal Oxidation,metabolic,DB00126
SMP00006,Tyrosine Metabolism,metabolic,DB00126
SMP00451,Refsum Disease,disease,DB00126
SMP00494,"Tyrosinemia, transient, of the newborn",disease,DB00126
SMP00814,Ascorbate metabolism,metabolic,DB00126
SMP63605,Carnitine Synthesis,metabolic,DB00126
SMP00169,Alkaptonuria,disease,DB00126
SMP00190,Hawkinsinuria,disease,DB00126
SMP00450,Phytanic Acid Peroxisomal Oxidation,metabolic,DB00126
SMP00498,Dopamine beta-hydroxylase deficiency,disease,DB00126
SMP00533,Monoamine oxidase-a deficiency (MAO-A),disease,DB00126
SMP12022,Leucopelargonidin and Leucocyanidin Biosynthesis,metabolic,DB00126
SMP00030,Oxidation of Branched Chain Fatty Acids,metabolic,DB00126
SMP00170,Aromatic L-Aminoacid Decarboxylase Deficiency,disease,DB00126
SMP02292,The Oncogenic Action of Succinate,disease,DB00126
SMP12070,Gibberellin Biosynthesis II (Early C-13 Hydroxylation),metabolic,DB00126
SMP12071,"Gibberellin Biosynthesis III (Non C-3, Non C-13 Hydroxylation)",metabolic,DB00126
SMP63606,Catecholamine Biosynthesis,metabolic,DB00126
SMP63684,Tyrosine Metabolism,metabolic,DB00126
SMP00218,Tyrosinemia Type I,disease,DB00126
SMP00429,Disulfiram Action Pathway,drug_action,DB00126
SMP00465,Carnitine Synthesis,metabolic,DB00126
SMP00497,Tyrosine hydroxylase deficiency,disease,DB00126
SMP12021,Flavonoid Biosynthesis (Dihydroflavonol Biosynthesis),metabolic,DB00126
SMP12025,Flavonol Biosynthesis,metabolic,DB00126
SMP12069,Gibberellin Biosynthesis I (Early C-3 Hydroxylation),metabolic,DB00126
SMP12446,Ascorbate Metabolism,metabolic,DB00126
SMP00445,Spermidine and Spermine Biosynthesis,metabolic,DB00127
SMP02307,Beta-Alanine metabolism,metabolic,DB00127
SMP63671,Spermidine and Spermine Biosynthesis,metabolic,DB00127
SMP00167,Adenylosuccinate Lyase Deficiency,disease,DB00128
SMP00192,Hypoacetylaspartia,disease,DB00128
SMP00203,Molybdenum Cofactor Deficiency,disease,DB00128
SMP00210,Purine Nucleoside Phosphorylase Deficiency,disease,DB00128
SMP00218,Tyrosinemia Type I,disease,DB00128
SMP00357,Argininemia,disease,DB00128
SMP00429,Disulfiram Action Pathway,drug_action,DB00128
SMP00535,Adenine phosphoribosyltransferase deficiency (APRT),disease,DB00128
SMP00536,Mitochondrial DNA depletion syndrome,disease,DB00128
SMP00833,Asparagine biosynthesis,metabolic,DB00128
SMP12004,Arginine and Proline Metabolism,metabolic,DB00128
SMP63579,Ammonia Recycling,metabolic,DB00128
SMP63668,Purine Metabolism,metabolic,DB00128
SMP63686,Urea Cycle,metabolic,DB00128
SMP00003,Argininosuccinic Aciduria,disease,DB00128
SMP00006,Tyrosine Metabolism,metabolic,DB00128
SMP00136,2-Hydroxyglutric Aciduria (D And L Form),disease,DB00128
SMP00168,AICA-Ribosiduria,disease,DB00128
SMP00207,Prolidase Deficiency (PD),disease,DB00128
SMP00243,4-Hydroxybutyric Aciduria/Succinic Semialdehyde Dehydrogenase Deficiency,disease,DB00128
SMP00339,Hyperinsulinism-Hyperammonemia Syndrome,disease,DB00128
SMP00351,GABA-Transaminase Deficiency,disease,DB00128
SMP00428,Mercaptopurine Action Pathway,drug_action,DB00128
SMP00430,Thioguanine Action Pathway,drug_action,DB00128
SMP00492,Ureidopropionase Deficiency,disease,DB00128
SMP00494,"Tyrosinemia, transient, of the newborn",disease,DB00128
SMP00512,Xanthinuria type I,disease,DB00128
SMP02047,purine nucleotides de novo biosynthesis 2,metabolic,DB00128
SMP02298,Glutaminolysis and Cancer,disease,DB00128
SMP02420,Proline Metabolism,metabolic,DB00128
SMP00357,Argininemia,disease,DB00129
SMP02307,Beta-Alanine metabolism,metabolic,DB00129
SMP12004,Arginine and Proline Metabolism,metabolic,DB00129
SMP63686,Urea Cycle,metabolic,DB00129
SMP00003,Argininosuccinic Aciduria,disease,DB00129
SMP00207,Prolidase Deficiency (PD),disease,DB00129
SMP02303,Glutamate Metabolism,metabolic,DB00129
SMP02420,Proline Metabolism,metabolic,DB00129
SMP00001,Citrullinemia Type I,disease,DB00129
SMP00002,Carbamoyl Phosphate Synthetase Deficiency,disease,DB00129
SMP00363,Ornithine Aminotransferase Deficiency (OAT Deficiency),disease,DB00129
SMP63671,Spermidine and Spermine Biosynthesis,metabolic,DB00129
SMP00020,Arginine and Proline Metabolism,metabolic,DB00129
SMP00059,Urea Cycle,metabolic,DB00129
SMP00205,Ornithine Transcarbamylase Deficiency (OTC Deficiency),disease,DB00129
SMP00208,Prolinemia Type II,disease,DB00129
SMP00361,Hyperprolinemia Type I,disease,DB00129
SMP00445,Spermidine and Spermine Biosynthesis,metabolic,DB00129
SMP00813,ornithine metabolism,metabolic,DB00129
SMP00188,Guanidinoacetate Methyltransferase Deficiency (GAMT Deficiency),disease,DB00129
SMP00360,Hyperprolinemia Type II,disease,DB00129
SMP00362,Arginine: Glycine Amidinotransferase Deficiency (AGAT Deficiency),disease,DB00129
SMP00504,"Creatine deficiency, guanidinoacetate methyltransferase deficiency",disease,DB00129
SMP00505,Hyperornithinemia with gyrate atrophy (HOGA),disease,DB00129
SMP00506,Hyperornithinemia-hyperammonemia-homocitrullinuria [HHH-syndrome],disease,DB00129
SMP00507,L-arginine:glycine amidinotransferase deficiency,disease,DB00129
SMP00812,arginine metabolism,metabolic,DB00129
SMP02416,Arginine Metabolism,metabolic,DB00129
SMP63596,Arginine and Proline Metabolism,metabolic,DB00129
SMP00009,Ammonia Recycling,metabolic,DB00130
SMP00059,Urea Cycle,metabolic,DB00130
SMP00175,Canavan Disease,disease,DB00130
SMP00205,Ornithine Transcarbamylase Deficiency (OTC Deficiency),disease,DB00130
SMP00364,Lesch-Nyhan Syndrome (LNS),disease,DB00130
SMP00537,Myoadenylate deaminase deficiency,disease,DB00130
SMP00809,Aspartate metabolism,metabolic,DB00130
SMP00820,tRNA charging,metabolic,DB00130
SMP02291,The oncogenic action of 2-hydroxyglutarate,disease,DB00130
SMP02331,Amino sugar and nucleotide sugar metabolism,metabolic,DB00130
SMP02358,The oncogenic action of L-2-hydroxyglutarate in  Hydroxygluaricaciduria,disease,DB00130
SMP02359,The oncogenic action of D-2-hydroxyglutarate in  Hydroxygluaricaciduria ,disease,DB00130
SMP02370,pyrimidine metabolism ,metabolic,DB00130
SMP02403,Nitrogen Metabolism,metabolic,DB00130
SMP12014,Folate Biosynthesis,metabolic,DB00130
SMP63472,Vitamin B6 Metabolism ,metabolic,DB00130
SMP63590,Glutamate Metabolism,metabolic,DB00130
SMP63597,Aspartate Metabolism,metabolic,DB00130
SMP63650,Phenylacetate Metabolism,metabolic,DB00130
SMP00046,Pyrimidine Metabolism,metabolic,DB00130
SMP00126,Phenylacetate Metabolism,metabolic,DB00130
SMP00167,Adenylosuccinate Lyase Deficiency,disease,DB00130
SMP00192,Hypoacetylaspartia,disease,DB00130
SMP00203,Molybdenum Cofactor Deficiency,disease,DB00130
SMP00210,Purine Nucleoside Phosphorylase Deficiency,disease,DB00130
SMP00240,Salla Disease/Infantile Sialic Acid Storage Disease,disease,DB00130
SMP00357,Argininemia,disease,DB00130
SMP00535,Adenine phosphoribosyltransferase deficiency (APRT),disease,DB00130
SMP00536,Mitochondrial DNA depletion syndrome,disease,DB00130
SMP00833,Asparagine biosynthesis,metabolic,DB00130
SMP00003,Argininosuccinic Aciduria,disease,DB00131
