drugbank-id,name,parent_key
DB01378,Magnesium,SMP00349
DB01593,Zinc,SMP00349
DB01861,Uridine diphosphate glucose,SMP00349
DB03381,Hexadecanal,SMP00349
DB03435,Uridine-5'-Diphosphate,SMP00349
DB03945,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",SMP00349
DB00114,Pyridoxal Phosphate,SMP00350
DB00119,Pyruvic acid,SMP00350
DB00121,Biotin,SMP00350
DB00131,Adenosine monophosphate,SMP00350
DB00142,Glutamic Acid,SMP00350
DB00145,Glycine,SMP00350
DB00160,L-Alanine,SMP00350
DB00171,ATP,SMP00350
DB01593,Zinc,SMP00350
DB04160,Pyrophosphoric acid,SMP00350
DB04343,Glyoxylic acid,SMP00350
DB00114,Pyridoxal Phosphate,SMP00360
DB00118,Ademetionine,SMP00360
DB00125,L-Arginine,SMP00360
DB00128,L-Aspartic Acid,SMP00360
DB00129,Ornithine,SMP00360
DB00131,Adenosine monophosphate,SMP00360
DB00139,Succinic acid,SMP00360
DB00142,Glutamic Acid,SMP00360
DB00145,Glycine,SMP00360
DB00148,Creatine,SMP00360
DB00155,L-Citrulline,SMP00360
DB00157,NADH,SMP00360
DB00171,ATP,SMP00360
DB00172,L-Proline,SMP00360
DB00360,Sapropterin,SMP00360
DB00435,Nitric Oxide,SMP00360
DB02577,Mesoheme,SMP00360
DB02751,Glycocyamine,SMP00360
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",SMP00360
DB03144,N-Omega-Hydroxy-L-Arginine,SMP00360
DB03147,Flavin adenine dinucleotide,SMP00360
DB03247,Flavin mononucleotide,SMP00360
DB03904,Urea,SMP00360
DB04160,Pyrophosphoric acid,SMP00360
DB04299,Maleic Acid,SMP00360
DB04388,4-Carboxy-4-Aminobutanal,SMP00360
DB00114,Pyridoxal Phosphate,SMP00362
DB00118,Ademetionine,SMP00362
DB00125,L-Arginine,SMP00362
DB00128,L-Aspartic Acid,SMP00362
DB00129,Ornithine,SMP00362
DB00131,Adenosine monophosphate,SMP00362
DB00139,Succinic acid,SMP00362
DB00142,Glutamic Acid,SMP00362
DB00145,Glycine,SMP00362
DB00148,Creatine,SMP00362
DB00155,L-Citrulline,SMP00362
DB00157,NADH,SMP00362
DB00171,ATP,SMP00362
DB00172,L-Proline,SMP00362
DB00360,Sapropterin,SMP00362
DB00435,Nitric Oxide,SMP00362
DB02577,Mesoheme,SMP00362
DB02751,Glycocyamine,SMP00362
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",SMP00362
DB03144,N-Omega-Hydroxy-L-Arginine,SMP00362
DB03147,Flavin adenine dinucleotide,SMP00362
DB03247,Flavin mononucleotide,SMP00362
DB03904,Urea,SMP00362
DB04160,Pyrophosphoric acid,SMP00362
DB04299,Maleic Acid,SMP00362
DB04388,4-Carboxy-4-Aminobutanal,SMP00362
DB00114,Pyridoxal Phosphate,SMP00369
DB00120,L-Phenylalanine,SMP00369
DB00131,Adenosine monophosphate,SMP00369
DB00135,L-Tyrosine,SMP00369
DB00142,Glutamic Acid,SMP00369
DB00171,ATP,SMP00369
DB01373,Calcium,SMP00369
DB01378,Magnesium,SMP00369
DB01592,Iron,SMP00369
DB01762,Acetoacetic Acid,SMP00369
DB03147,Flavin adenine dinucleotide,SMP00369
DB03884,Phenylpyruvic acid,SMP00369
DB04160,Pyrophosphoric acid,SMP00369
DB04299,Maleic Acid,SMP00369
DB07718,3-(4-HYDROXY-PHENYL)PYRUVIC ACID,SMP00369
DB08327,"2-(3,6-DIHYDROXYPHENYL)ACETIC ACID",SMP00369
DB00114,Pyridoxal Phosphate,SMP00370
DB00120,L-Phenylalanine,SMP00370
DB00131,Adenosine monophosphate,SMP00370
DB00135,L-Tyrosine,SMP00370
DB00142,Glutamic Acid,SMP00370
DB00171,ATP,SMP00370
DB01373,Calcium,SMP00370
DB01378,Magnesium,SMP00370
DB01592,Iron,SMP00370
DB01762,Acetoacetic Acid,SMP00370
DB03147,Flavin adenine dinucleotide,SMP00370
DB03884,Phenylpyruvic acid,SMP00370
DB04160,Pyrophosphoric acid,SMP00370
DB04299,Maleic Acid,SMP00370
DB07718,3-(4-HYDROXY-PHENYL)PYRUVIC ACID,SMP00370
DB08327,"2-(3,6-DIHYDROXYPHENYL)ACETIC ACID",SMP00370
DB00114,Pyridoxal Phosphate,SMP00503
DB00147,Pyridoxal,SMP00503
DB00165,Pyridoxine,SMP00503
DB01378,Magnesium,SMP00503
DB01593,Zinc,SMP00503
DB02142,Pyridoxamine-5'-Phosphate,SMP00503
DB02209,Pyridoxine phosphate,SMP00503
DB03147,Flavin adenine dinucleotide,SMP00503
DB03247,Flavin mononucleotide,SMP00503
DB00114,Pyridoxal Phosphate,SMP00504
DB00118,Ademetionine,SMP00504
DB00125,L-Arginine,SMP00504
DB00128,L-Aspartic Acid,SMP00504
DB00129,Ornithine,SMP00504
DB00131,Adenosine monophosphate,SMP00504
DB00139,Succinic acid,SMP00504
DB00142,Glutamic Acid,SMP00504
DB00145,Glycine,SMP00504
DB00148,Creatine,SMP00504
DB00155,L-Citrulline,SMP00504
DB00157,NADH,SMP00504
DB00171,ATP,SMP00504
DB00172,L-Proline,SMP00504
DB00360,Sapropterin,SMP00504
DB00435,Nitric Oxide,SMP00504
DB02577,Mesoheme,SMP00504
DB02751,Glycocyamine,SMP00504
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",SMP00504
DB03144,N-Omega-Hydroxy-L-Arginine,SMP00504
DB03147,Flavin adenine dinucleotide,SMP00504
DB03247,Flavin mononucleotide,SMP00504
DB03904,Urea,SMP00504
DB04160,Pyrophosphoric acid,SMP00504
DB04299,Maleic Acid,SMP00504
DB04388,4-Carboxy-4-Aminobutanal,SMP00504
DB00114,Pyridoxal Phosphate,SMP00505
DB00118,Ademetionine,SMP00505
DB00125,L-Arginine,SMP00505
DB00128,L-Aspartic Acid,SMP00505
DB00129,Ornithine,SMP00505
DB00131,Adenosine monophosphate,SMP00505
DB00139,Succinic acid,SMP00505
DB00142,Glutamic Acid,SMP00505
DB00145,Glycine,SMP00505
DB00148,Creatine,SMP00505
DB00155,L-Citrulline,SMP00505
DB00157,NADH,SMP00505
DB00171,ATP,SMP00505
DB00172,L-Proline,SMP00505
DB00360,Sapropterin,SMP00505
DB00435,Nitric Oxide,SMP00505
DB02577,Mesoheme,SMP00505
DB02751,Glycocyamine,SMP00505
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",SMP00505
DB03144,N-Omega-Hydroxy-L-Arginine,SMP00505
DB03147,Flavin adenine dinucleotide,SMP00505
DB03247,Flavin mononucleotide,SMP00505
DB03904,Urea,SMP00505
DB04160,Pyrophosphoric acid,SMP00505
DB04299,Maleic Acid,SMP00505
DB04388,4-Carboxy-4-Aminobutanal,SMP00505
DB00114,Pyridoxal Phosphate,SMP00506
DB00118,Ademetionine,SMP00506
DB00125,L-Arginine,SMP00506
DB00128,L-Aspartic Acid,SMP00506
DB00129,Ornithine,SMP00506
DB00131,Adenosine monophosphate,SMP00506
DB00139,Succinic acid,SMP00506
DB00142,Glutamic Acid,SMP00506
DB00145,Glycine,SMP00506
DB00148,Creatine,SMP00506
DB00155,L-Citrulline,SMP00506
DB00157,NADH,SMP00506
DB00171,ATP,SMP00506
DB00172,L-Proline,SMP00506
DB00360,Sapropterin,SMP00506
DB00435,Nitric Oxide,SMP00506
DB02577,Mesoheme,SMP00506
DB02751,Glycocyamine,SMP00506
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",SMP00506
DB03144,N-Omega-Hydroxy-L-Arginine,SMP00506
DB03147,Flavin adenine dinucleotide,SMP00506
DB03247,Flavin mononucleotide,SMP00506
DB03904,Urea,SMP00506
DB04160,Pyrophosphoric acid,SMP00506
DB04299,Maleic Acid,SMP00506
DB04388,4-Carboxy-4-Aminobutanal,SMP00506
DB00114,Pyridoxal Phosphate,SMP00507
DB00118,Ademetionine,SMP00507
DB00125,L-Arginine,SMP00507
DB00128,L-Aspartic Acid,SMP00507
DB00129,Ornithine,SMP00507
DB00131,Adenosine monophosphate,SMP00507
DB00139,Succinic acid,SMP00507
DB00142,Glutamic Acid,SMP00507
DB00145,Glycine,SMP00507
DB00148,Creatine,SMP00507
DB00155,L-Citrulline,SMP00507
DB00157,NADH,SMP00507
DB00171,ATP,SMP00507
DB00172,L-Proline,SMP00507
DB00360,Sapropterin,SMP00507
DB00435,Nitric Oxide,SMP00507
DB02577,Mesoheme,SMP00507
DB02751,Glycocyamine,SMP00507
DB02838,"3,4-Dihydro-2h-Pyrrolium-5-Carboxylate",SMP00507
DB03144,N-Omega-Hydroxy-L-Arginine,SMP00507
DB03147,Flavin adenine dinucleotide,SMP00507
DB03247,Flavin mononucleotide,SMP00507
DB03904,Urea,SMP00507
DB04160,Pyrophosphoric acid,SMP00507
DB04299,Maleic Acid,SMP00507
DB04388,4-Carboxy-4-Aminobutanal,SMP00507
DB00114,Pyridoxal Phosphate,SMP00557
DB00157,NADH,SMP00557
DB00171,ATP,SMP00557
DB01373,Calcium,SMP00557
DB01378,Magnesium,SMP00557
DB01861,Uridine diphosphate glucose,SMP00557
DB03323,Maltose,SMP00557
DB03435,Uridine-5'-Diphosphate,SMP00557
DB04160,Pyrophosphoric acid,SMP00557
DB00114,Pyridoxal Phosphate,SMP00567
DB00119,Pyruvic acid,SMP00567
DB00121,Biotin,SMP00567
DB00128,L-Aspartic Acid,SMP00567
DB00130,L-Glutamine,SMP00567
DB00131,Adenosine monophosphate,SMP00567
DB00139,Succinic acid,SMP00567
DB00142,Glutamic Acid,SMP00567
DB00143,Glutathione,SMP00567
DB00145,Glycine,SMP00567
DB00151,L-Cysteine,SMP00567
DB00157,NADH,SMP00567
DB00160,L-Alanine,SMP00567
DB00171,ATP,SMP00567
DB01378,Magnesium,SMP00567
DB01593,Zinc,SMP00567
DB01632,Alpha-Phosphoribosylpyrophosphoric Acid,SMP00567
DB01972,Guanosine-5'-Monophosphate,SMP00567
DB02530,gamma-Aminobutyric acid,SMP00567
DB03147,Flavin adenine dinucleotide,SMP00567
DB03408,gamma-Glutamylcysteine,SMP00567
DB04160,Pyrophosphoric acid,SMP00567
DB00114,Pyridoxal Phosphate,SMP00721
DB00116,Tetrahydrofolic acid,SMP00721
DB00118,Ademetionine,SMP00721
DB00119,Pyruvic acid,SMP00721
DB00125,L-Arginine,SMP00721
DB00131,Adenosine monophosphate,SMP00721
DB00133,Serine,SMP00721
DB00134,Methionine,SMP00721
DB00142,Glutamic Acid,SMP00721
DB00145,Glycine,SMP00721
DB00148,Creatine,SMP00721
DB00151,L-Cysteine,SMP00721
DB00157,NADH,SMP00721
DB00160,L-Alanine,SMP00721
DB00171,ATP,SMP00721
DB00855,Aminolevulinic acid,SMP00721
DB01378,Magnesium,SMP00721
DB01593,Zinc,SMP00721
DB02083,"N,N-dimethylglycine",SMP00721
DB02751,Glycocyamine,SMP00721
DB02951,3-Hydroxypyruvic Acid,SMP00721
DB02957,Orotidine-5'-Monophosphate,SMP00721
DB03147,Flavin adenine dinucleotide,SMP00721
DB03587,Pyruvaldehyde,SMP00721
DB03843,Formaldehyde,SMP00721
DB03915,2-Amino-3-Ketobutyric Acid,SMP00721
DB03929,D-Serine,SMP00721
DB04160,Pyrophosphoric acid,SMP00721
DB04343,Glyoxylic acid,SMP00721
DB04522,Dexfosfoserine,SMP00721
DB04553,2-Oxobutanoic Acid,SMP00721
DB00114,Pyridoxal Phosphate,SMP00722
DB00119,Pyruvic acid,SMP00722
DB00131,Adenosine monophosphate,SMP00722
DB00142,Glutamic Acid,SMP00722
DB00151,L-Cysteine,SMP00722
DB00157,NADH,SMP00722
DB00171,ATP,SMP00722
DB01592,Iron,SMP00722
DB01593,Zinc,SMP00722
DB03408,gamma-Glutamylcysteine,SMP00722
DB04160,Pyrophosphoric acid,SMP00722
DB00114,Pyridoxal Phosphate,SMP00837
DB00128,L-Aspartic Acid,SMP00837
DB00142,Glutamic Acid,SMP00837
DB00145,Glycine,SMP00837
DB00156,L-Threonine,SMP00837
DB00157,NADH,SMP00837
DB00171,ATP,SMP00837
DB01373,Calcium,SMP00837
DB01592,Iron,SMP00837
DB01593,Zinc,SMP00837
DB02289,2-Aminopropanedioic Acid,SMP00837
DB03915,2-Amino-3-Ketobutyric Acid,SMP00837
DB04193,L-Homoserine,SMP00837
DB00114,Pyridoxal Phosphate,SMP02363
DB00145,Glycine,SMP02363
DB00157,NADH,SMP02363
DB00855,Aminolevulinic acid,SMP02363
DB01592,Iron,SMP02363
DB01593,Zinc,SMP02363
DB02285,Protoporphyrin,SMP02363
DB02577,Mesoheme,SMP02363
DB03147,Flavin adenine dinucleotide,SMP02363
DB03435,Uridine-5'-Diphosphate,SMP02363
DB04461,Coproporphyrinogen III,SMP02363
DB07780,FARNESYL DIPHOSPHATE,SMP02363
DB00114,Pyridoxal Phosphate,SMP02378
DB00133,Serine,SMP02378
DB00171,ATP,SMP02378
DB01373,Calcium,SMP02378
DB01378,Magnesium,SMP02378
DB01593,Zinc,SMP02378
DB03381,Hexadecanal,SMP02378
DB03945,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",SMP02378
DB00114,Pyridoxal Phosphate,SMP12047
DB00118,Ademetionine,SMP12047
DB00122,Choline,SMP12047
DB00133,Serine,SMP12047
DB00157,NADH,SMP12047
DB00171,ATP,SMP12047
DB01378,Magnesium,SMP12047
DB03945,"N,N,N-Trimethyl-2-(phosphonooxy)ethanaminium",SMP12047
DB03994,Ethanolamine,SMP12047
DB04160,Pyrophosphoric acid,SMP12047
DB04401,"[Formylmethyl]Trimethyl-Ammonium, N,N,N-Trimethylammonium Acetaldehyde",SMP12047
DB00114,Pyridoxal Phosphate,SMP12467
DB00119,Pyruvic acid,SMP12467
DB00139,Succinic acid,SMP12467
DB00142,Glutamic Acid,SMP12467
DB00145,Glycine,SMP12467
DB00157,NADH,SMP12467
DB00160,L-Alanine,SMP12467
DB01440,Gamma Hydroxybutyric Acid,SMP12467
DB01762,Acetoacetic Acid,SMP12467
DB02530,gamma-Aminobutyric acid,SMP12467
DB04343,Glyoxylic acid,SMP12467
DB00115,Cyanocobalamin,SMP01898
DB00171,ATP,SMP01898
DB00627,Niacin,SMP01898
DB03896,Triphosphoric acid,SMP01898
DB04160,Pyrophosphoric acid,SMP01898
DB00116,Tetrahydrofolic acid,SMP00123
DB00118,Ademetionine,SMP00123
DB00122,Choline,SMP00123
DB00134,Methionine,SMP00123
DB00157,NADH,SMP00123
DB00171,ATP,SMP00123
DB00640,Adenosine,SMP00123
DB01345,Potassium,SMP00123
DB01378,Magnesium,SMP00123
DB01593,Zinc,SMP00123
DB02083,"N,N-dimethylglycine",SMP00123
DB03147,Flavin adenine dinucleotide,SMP00123
DB04160,Pyrophosphoric acid,SMP00123
DB04401,"[Formylmethyl]Trimethyl-Ammonium, N,N,N-Trimethylammonium Acetaldehyde",SMP00123
DB00114,Pyridoxal Phosphate,SMP00177
DB00116,Tetrahydrofolic acid,SMP00177
DB00118,Ademetionine,SMP00177
DB00122,Choline,SMP00177
DB00131,Adenosine monophosphate,SMP00177
DB00133,Serine,SMP00177
DB00134,Methionine,SMP00177
DB00145,Glycine,SMP00177
DB00151,L-Cysteine,SMP00177
DB00157,NADH,SMP00177
DB00171,ATP,SMP00177
DB00640,Adenosine,SMP00177
DB01345,Potassium,SMP00177
DB01378,Magnesium,SMP00177
DB01593,Zinc,SMP00177
DB01917,Putrescine,SMP00177
DB02083,"N,N-dimethylglycine",SMP00177
DB02238,4-(Methylsulfanyl)-2-Oxobutanoic Acid,SMP00177
DB03147,Flavin adenine dinucleotide,SMP00177
DB03566,Spermidine,SMP00177
DB04160,Pyrophosphoric acid,SMP00177
DB04193,L-Homoserine,SMP00177
DB04553,2-Oxobutanoic Acid,SMP00177
DB00116,Tetrahydrofolic acid,SMP00365
DB00128,L-Aspartic Acid,SMP00365
DB00130,L-Glutamine,SMP00365
DB00131,Adenosine monophosphate,SMP00365
DB00142,Glutamic Acid,SMP00365
DB00145,Glycine,SMP00365
DB00157,NADH,SMP00365
DB00171,ATP,SMP00365
DB00173,Adenine,SMP00365
DB00640,Adenosine,SMP00365
DB01345,Potassium,SMP00365
DB01373,Calcium,SMP00365
DB01378,Magnesium,SMP00365
DB01593,Zinc,SMP00365
DB01632,Alpha-Phosphoribosylpyrophosphoric Acid,SMP00365
DB01700,AICA ribonucleotide,SMP00365
DB01972,Guanosine-5'-Monophosphate,SMP00365
DB02134,Xanthine,SMP00365
DB02377,Guanine,SMP00365
DB02527,Cyclic Adenosine Monophosphate,SMP00365
DB02577,Mesoheme,SMP00365
DB02857,Guanosine,SMP00365
DB03101,Ribose-1-Phosphate,SMP00365
DB03147,Flavin adenine dinucleotide,SMP00365
DB04076,Hypoxanthine,SMP00365
DB04160,Pyrophosphoric acid,SMP00365
DB04299,Maleic Acid,SMP00365
DB04335,Inosine,SMP00365
DB04457,2'-Deoxyguanosine-5'-Monophosphate,SMP00365
DB00116,Tetrahydrofolic acid,SMP00427
DB00118,Ademetionine,SMP00427
DB00128,L-Aspartic Acid,SMP00427
DB00130,L-Glutamine,SMP00427
DB00131,Adenosine monophosphate,SMP00427
DB00142,Glutamic Acid,SMP00427
DB00145,Glycine,SMP00427
DB00157,NADH,SMP00427
DB00171,ATP,SMP00427
DB00173,Adenine,SMP00427
DB00640,Adenosine,SMP00427
DB00993,Azathioprine,SMP00427
DB01033,Mercaptopurine,SMP00427
DB01345,Potassium,SMP00427
DB01373,Calcium,SMP00427
DB01378,Magnesium,SMP00427
DB01593,Zinc,SMP00427
DB01632,Alpha-Phosphoribosylpyrophosphoric Acid,SMP00427
DB01700,AICA ribonucleotide,SMP00427
DB01972,Guanosine-5'-Monophosphate,SMP00427
DB02134,Xanthine,SMP00427
DB02377,Guanine,SMP00427
DB02527,Cyclic Adenosine Monophosphate,SMP00427
DB02577,Mesoheme,SMP00427
DB02857,Guanosine,SMP00427
DB03101,Ribose-1-Phosphate,SMP00427
DB03147,Flavin adenine dinucleotide,SMP00427
DB04076,Hypoxanthine,SMP00427
DB04160,Pyrophosphoric acid,SMP00427
DB04299,Maleic Acid,SMP00427
DB04335,Inosine,SMP00427
DB04457,2'-Deoxyguanosine-5'-Monophosphate,SMP00427
DB00116,Tetrahydrofolic acid,SMP00513
DB00128,L-Aspartic Acid,SMP00513
DB00130,L-Glutamine,SMP00513
DB00131,Adenosine monophosphate,SMP00513
DB00142,Glutamic Acid,SMP00513
DB00145,Glycine,SMP00513
DB00157,NADH,SMP00513
DB00171,ATP,SMP00513
DB00173,Adenine,SMP00513
DB00640,Adenosine,SMP00513
DB01345,Potassium,SMP00513
DB01373,Calcium,SMP00513
DB01378,Magnesium,SMP00513
DB01593,Zinc,SMP00513
DB01632,Alpha-Phosphoribosylpyrophosphoric Acid,SMP00513
DB01700,AICA ribonucleotide,SMP00513
DB01972,Guanosine-5'-Monophosphate,SMP00513
DB02134,Xanthine,SMP00513
DB02377,Guanine,SMP00513
DB02527,Cyclic Adenosine Monophosphate,SMP00513
DB02577,Mesoheme,SMP00513
DB02857,Guanosine,SMP00513
DB03101,Ribose-1-Phosphate,SMP00513
DB03147,Flavin adenine dinucleotide,SMP00513
DB04076,Hypoxanthine,SMP00513
DB04160,Pyrophosphoric acid,SMP00513
DB04299,Maleic Acid,SMP00513
DB04335,Inosine,SMP00513
DB04457,2'-Deoxyguanosine-5'-Monophosphate,SMP00513
DB00114,Pyridoxal Phosphate,SMP00721
DB00116,Tetrahydrofolic acid,SMP00721
DB00118,Ademetionine,SMP00721
DB00119,Pyruvic acid,SMP00721
DB00125,L-Arginine,SMP00721
DB00131,Adenosine monophosphate,SMP00721
DB00133,Serine,SMP00721
DB00134,Methionine,SMP00721
DB00142,Glutamic Acid,SMP00721
DB00145,Glycine,SMP00721
DB00148,Creatine,SMP00721
DB00151,L-Cysteine,SMP00721
DB00157,NADH,SMP00721
DB00160,L-Alanine,SMP00721
DB00171,ATP,SMP00721
DB00855,Aminolevulinic acid,SMP00721
DB01378,Magnesium,SMP00721
DB01593,Zinc,SMP00721
DB02083,"N,N-dimethylglycine",SMP00721
DB02751,Glycocyamine,SMP00721
DB02951,3-Hydroxypyruvic Acid,SMP00721
DB02957,Orotidine-5'-Monophosphate,SMP00721
DB03147,Flavin adenine dinucleotide,SMP00721
DB03587,Pyruvaldehyde,SMP00721
DB03843,Formaldehyde,SMP00721
DB03915,2-Amino-3-Ketobutyric Acid,SMP00721
DB03929,D-Serine,SMP00721
DB04160,Pyrophosphoric acid,SMP00721
DB04343,Glyoxylic acid,SMP00721
DB04522,Dexfosfoserine,SMP00721
DB04553,2-Oxobutanoic Acid,SMP00721
DB00116,Tetrahydrofolic acid,SMP00925
DB00119,Pyruvic acid,SMP00925
DB00130,L-Glutamine,SMP00925
DB00131,Adenosine monophosphate,SMP00925
DB00142,Glutamic Acid,SMP00925
DB00171,ATP,SMP00925
DB01345,Potassium,SMP00925
DB01378,Magnesium,SMP00925
DB01942,Formic Acid,SMP00925
DB02362,Aminobenzoic acid,SMP00925
DB04160,Pyrophosphoric acid,SMP00925
DB00116,Tetrahydrofolic acid,SMP02369
