isbn,citation,parent_key
,Pillay V.V. (2013). Modern medical toxicology (4th ed.). Jaypee Brothers.,DB01049
978-0-470-33447-4,Barceloux D. (2008). Medical toxicology of natural substances. Wiley.,DB01049
978-0-7020-3471-8,"46. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 573-574). Edinburgh: Elsevier/Churchill Livingstone.",DB01104
,Institute of Medicine (US) Council on Health Care Technology (1994). Medical Technology Assessment Directory (2nd ed.). American Medical Association Drug Evaluation.,DB01247
,Owens D. (2010). Companion to psychiatric studies (8th ed.). Elsevier.,DB01247
,Schatzberg A. and Nemeroff C. (2009). The american psychiatric publishing textbook of psychopharmacology (4th ed.). American Psychiatric Publishing Inc..,DB01247
,Elks J. and Ganellin C.R. (1990). The dictionary of drugs. Springer Science.,DB01420
,Woo T.M. and Robinson M. (2016). Pharmacotherapeutics for advanced practice nurse prescribers (4th ed.). Davis Company.,DB01420
0-7817-4133-5,"Trumbo, P. R. (2005). Pantothenic Acid. In Modern Nutrition in Health and Disease (10th ed., pp. 462–467). Lippincott Williams & Wilkins.",DB01783
978-0-7020-3471-8,"Rang, H. P. and Dale, M. M. (2012). Rang and Dale's Pharmacology  (7th ed.). Edinburgh: Elsevier/Churchill Livingstone.",DB01914
0-7167-3136-3,"Lodish H, Berk A, Zipursky SL, Matsudaira P, Baltimore D, and Darnell J. (2000). Molecular Cell Biology (4th ed.). New York: W. H. Freeman.",DB01914
978-0071429450,"Leonard G. Gomella, Steven A. Haist, Steven Haist (2003). Clinician's Pocket Drug Reference 2004 (3rd ed.). McGraw-Hill/Appleton & Lange.",DB03766
978-0-7817-7477-2,Ries R. and Miller S. (2009). Principles of Addiction Medicine (4th ed.). Lippincott Williams & Wilkins.,DB04948
0-8018-8303-2,Strain E. and Stitzer M. (2006). The treatment of Opiod Dependence. The Johns Hopkins University Press.,DB04948
,Zaragoza Dorwald F. (2012). Lead optimization for medicinal chemists. Wiley-VCH.,DB04948
0-632-06046-8,"59. (2004). In The Treatment of Epilepsy (2nd ed., pp. 736). John Wiley & Sons.",DB05885
978-0-7020-3471-8,"24. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 299-300). Edinburgh: Elsevier/Churchill Livingstone.",DB06754
,Pattani K. (2010). Early diagnosis and treatment of cancer series: Head and Neck Cancer. Elsevier.,DB06755
,"Lustgarten M., Muller F. and Van Remmen H. (2011). Handbook of the Biology of Aging (7th ed.). Academic press.",DB06755
,"Dasgupta A. and Klein K. (2014). Antioxidants in food, vitamins and supplements. Elsevier.",DB06755
,"Ramachandrayya A., Venkatesh S., Bhat H., Palatty P. and Shrinath M. (2015). Foods and dietary supplements in the prevention and treatment of disease in older adults. Academic press.",DB06755
,"Flora G., Mittal M. and Flora S. (2015). Handbook of arsenic toxicology. Academic press.",DB06755
,"Abrahao E., Ambrosano L., Lage R., Zugaib B. and Costa A. (2017). Nutrition and functional foods for healthy aging. Academic press.",DB06755
,Combs G. (2012). The vitamins (4th ed.). Elsevier.,DB06755
978-0-7020-3471-8,"Rang, H. P. and Dale, M. M. (2012). Rang and Dale's Pharmacology  (7th ed.). Edinburgh: Elsevier/Churchill Livingstone.",DB06787
,Tyrell J. (2014). Fundamentals of Industrial Chemistry. Wiley.,DB06793
1-56363-575-5,"Thomson Micromedex (2007). Advice for the Patient Volume II (27th ed.). PDR Network, LLC.",DB06803
978-3-0348-7090-0,Sheth UK (1975). Mechanisms of Anthelmintic Action. In Progress in Drug Research / Fortschritte der Arzneimittelforschung / Progrès des recherches pharmaceutiques. Volume 19 (pp. 152). Birkhäuser Basel.,DB06816
,Bogousslavsky J. (2001). Drug Therapy for Stroke Prevention. Taylor and Francis.,DB08814
978-1849736701,"O'Neil, Maryadele J. (2013). The Merck Index : An Encyclopedia of Chemicals, Drugs, and Biologicals (15th ed.). Royal Society of Chemistry, The.",DB08837
978-0857110626,"Allen, Loyd V., Jr. (2012). Remington : The Science and Practice of Pharmacy (22nd ed.). Pharmaceutical Press.",DB08837
978-1849736701,"O'Neil, Maryadele J. (2013). The Merck Index : An Encyclopedia of Chemicals, Drugs, and Biologicals (15th ed.). Royal Society of Chemistry, The.",DB08838
978-0857111395,"Brayfield, Alison (2014). Martindale : The Complete Drug Reference (38th ed.). Pharmaceutical Press.",DB08842
978-1849736701,"O'Neil, Maryadele J. (2013). The Merck Index : An Encyclopedia of Chemicals, Drugs, and Biologicals (15th ed.). Royal Society of Chemistry, The.",DB08842
978-0857110626,"Allen, Loyd V., Jr. (2012). Remington : The Science and Practice of Pharmacy (22nd ed.). Pharmaceutical Press.",DB08845
978-1849736701,"O'Neil, Maryadele J. (2013). The Merck Index : An Encyclopedia of Chemicals, Drugs, and Biologicals (15th ed.). Royal Society of Chemistry, The.",DB08846
978-1849736701,"O'Neil, Maryadele J. (2013). The Merck Index : An Encyclopedia of Chemicals, Drugs, and Biologicals (15th ed.). Royal Society of Chemistry, The.",DB08848
978-0-7020-3471-8,"45. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 553-563). Edinburgh: Elsevier/Churchill Livingstone.",DB08922
978-0-7020-3471-8,"23. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 291). Edinburgh: Elsevier/Churchill Livingstone.",DB08949
0-632-06046-8,"Shorvon, Simon D.;Dodson, W. E.;Fish, David;Perucca, Emilio;Aminoff, Michael J. (2004). The Treatment of Epilepsy (2nd ed.). John Wiley & Sons.",DB09001
9781634638289 ,"Ghareeb H, Karaman R.  (2015). 6. In Commonly Used Drugs: Uses, Side Effects, Bioavailability and Approaches to Improve It (1st ed., pp. 210). Nova Science Pub Inc; UK ed. edition.",DB09012
,"Bronson J., Black A., Dhar M., Ellsworth B. and Merritt R. (2014). Annual reports in medicinal chemistry. Elsevier.",DB09053
,Burdock G.  (1997). Encyclopedia of food and color additives. CRC Press.,DB09087
,Burke I. (2000). The nature of beauty . Ebury Press.,DB09087
,"McEvoy G., Miller J. and Litvak K. (1990). AHFS Drug information 90.. Bethesda.",DB09087
,National research council (1981). Drinking water and health (4th ed.). National academy press.,DB09087
,Ellenhorn M.J. and Barceloux D.G. (1988). Medical toxicology: diagnosis and treatment of human poisoning. Elsevier.,DB09087
978-3-642-71112-1,"Gary R. Strichartz (1987). Local Anesthetics. Springer, Berlin, Heidelberg.",DB09088
940111725X,"Godfraind T, Govoni S, Paoletti R, Vanhoutte PM (2013). Calcium Antagonists: Pharmacology and Clinical Research (pp. 306-307). Springer Science & Business Media.",DB09090
,Rietschel R. and Fowler J. (2008). Fisher's contact dermatitis. BC Decker.,DB09091
,Rainsford K. and Velo G. (1989). New developments in antirheumatic therapy. Kluwer Academic Publishers.,DB09091
,Seyffart G. (1992). Drug dosage in renal insufficiency (2nd ed.). Springer Science+Business Media Dordrecht.,DB09092
,Turner P. and Volans G. (1986). The drugs handbook 1985-86. Macmillan Reference Books.,DB09092
978-0-7020-3471-8,"49, 50. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 614, 629). Edinburgh: Elsevier/Churchill Livingstone.",DB09093
978-0-7020-3471-8,"32. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 397-398). Edinburgh: Elsevier/Churchill Livingstone.",DB09097
978-0-7020-3471-8,"29, 30, 32, 33, 41, . (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 362, 372, 377, 394-395, 412, 522). Edinburgh: Elsevier/Churchill Livingstone.",DB09099
,Trahan P. (1999). Clinical Handbook for biotherapy. Jones and Bartlett Publishers Inc..,DB09103
1741031443,"Galbraith A., Bullock S., Manias E., Hunt B., and Richards A. (2013). Fundamentals of Pharmacology: An applied approach for nursing and health (2nd ed.). Pearson Education Limited.",DB09103
,"Jackson, J.C. (2012). Avery's diseases of the newborn  (9th ed., pp. 633-646). Elsevier.",DB09114
,"Sweet D. and Speer C. (2012). The newborn lung: neonatology questions and controversies (2nd ed., pp. 283-299). Elsevier.",DB09114
,"1. (2010). In Ashcraft's pediatric surgery (5th ed., pp. 3-18). Elsevier.",DB09114
,"52. (2011). In Pediatric Critical Care (4th ed., pp. 706-716). Mosby.",DB09114
,"Barh D., Dhawan D. and Ganguly NK. (2013). Omics for personalized medicine. Springer.",DB09116
,"Vasiliou V. and Petersen D. (2010). Comprehensive toxicology (2nd ed., pp. 131-147). Elsevier.",DB09116
9780323511216,Arthur H. Jeske (2017). Mosby's Dental Drug Reference - E-Book (pp. 120-122). Elsevier Health Sciences.,DB09121
9781437710359,Ronald I. Shorr (2007). Drugs for the Geriatric Patient . Elsevier Health Sciences.,DB09121
,"Jones & Bartlett (2016). 2016 Nurse's drug handbook (15th ed., pp. 985). Jones and Bartlett Publishers Inc..",DB09124
,"Clark M., Harvey R., Finkel R., Rey J. and Whalen K. (2011). Pharmacology (5th ed.). Lippincott Williams & Wilkins.",DB09124
,Hinman F. (1983). Benign prostatic hypertrophy (1st ed.). Kingsport Press.,DB09124
,"Lobo R., Crosignani P., Paoletti R. and Bruschi F. (2002). Women's health and menopause  (1st ed.). Kluwer Academic Publishers.",DB09124
,Carp H. (2015). Progestogens in obstetrics and gynecology.. Springer.,DB09124
,"Oura K., Lifshits G., Saranin A., Zotov V. and Katayama M. (2003). Surface science, an introduction. Springer.",DB09139
,Underwood E. (1977). Trace elements in human and animal nutrition (4th ed.). Academic press.,DB09147
,Jadvar H. (2014). Cancer theranostics. Academic press.,DB09160
978-0-7020-3471-8,"43. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 533-538). Edinburgh: Elsevier/Churchill Livingstone.",DB09166
978-0-7020-3471-8,"45. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 559). Edinburgh: Elsevier/Churchill Livingstone.",DB09167
,Ellis G.P. and West G.B.  (1986). Progress in Medicinal Chemistry Volume 23 (pp. 159). Elsevier.,DB09194
,Morrison-Valfre M.  (2016). Foundations of Mental Health Care (pp. 245). Elsevier .,DB09194
,Taylor and Francis (2000). Index Nominum 2000: International drug directory. Swiss Pharmaceutical Society.,DB09194
,O'Brien R.A. (1986). Receptor Binding in drug research. Marcel Dekker Inc..,DB09194
,Barceloux D.G. (2012). Medical toxicology of drug abuse: Synthesized chemicals and psychoactive plants.. Wiley.,DB09194
,Elks J. and Ganellin C.R. (1990). The dictionary of drugs. Springer Science.,DB09195
,"Clark M., Harvey R., Finkel R., Rey J. and Whalen K. (2011). Pharmacology (5th ed.). Lippincott Williams & Wilkins.",DB09195
,"Szyndler J., Skorzewska A. and Plaznik A. (2003). Pharmacotherapy in psychiatry and neurology (3rd ed.). Institute of psychiatry and neurology.",DB09195
,Ganten D. and Mulrow P.J. (1990). Pharmacology of anti-hypertensive therapeutics (1st ed.). Springer .,DB09204
,Allen R.  (1988). Annual reports in medicinal chemistry  (23rd ed.). Academic press.,DB09204
,"Kato R., Estabrook W. and Cayen M. (1988). Xenobiotic metabolism and disposition (2nd ed.). Taylor and Francis.",DB09204
,Pillay V.V. (2013). Modern medical toxicology (4th ed.). Jaypee Brothers.,DB09204
,WHO (1987). WHO drug information (4th ed.). WHO.,DB09205
,Ellis G.P. and West G.B.  (1986). Progress in Medicinal Chemistry Volume 23. Elsevier.,DB09205
978-0-7020-3471-8,"26. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 318-323). Edinburgh: Elsevier/Churchill Livingstone.",DB09213
978-0-7020-3471-8,"21. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 261). Edinburgh: Elsevier/Churchill Livingstone.",DB09220
,"Koppel, J et al. (1988). Gas chromatographic- mass spectrometric study of urinary metabolism of melperone. Journal of Biomedical Chromatography.",DB09224
,Wright P. and O'Neill M. (2012). Core psychiatry (3rd ed.). Elsevier.,DB09225
,Macdonald G. and Bartolome J.M. (2010). Progress in Medicinal Chemistry. Lawton and Witty.,DB09225
,Allen R.  (1988). Annual reports in medicinal chemistry  (23rd ed.). Academic press.,DB09229
,"Henrich W. (2012). Principles and practice of dialysis. Lippincott, Williams & Wilkins.",DB09232
978-0-7020-3471-8,"22. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 273). Edinburgh: Elsevier/Churchill Livingstone.",DB09243
,"Gray A., Wright J., Goodey V. and Bruce L. (2011). Injectable drugs guide. Royal pharmaceutical society .",DB09255
,Collins P. (2006). Dictionary of carbohydrates (2nd ed.). Taylor and Francis.,DB09255
978-0-7020-3471-8,"55. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 680-681). Edinburgh: Elsevier/Churchill Livingstone.",DB09256
978-0-7020-3471-8,"Rang, H. P. and Dale, M. M. (2012). Rang and Dale's Pharmacology  (7th ed.). Edinburgh: Elsevier/Churchill Livingstone.",DB09279
,Elks J. and Ganellin C.R. (1990). The dictionary of drugs. Springer Science.,DB09284
,14. (2015). In Pharmacology for Women’s Health. Jones & Bartlett Publishers.,DB09317
,14. (2015). In Pharmacology for Women’s Health. Jones & Bartlett Publishers.,DB09318
978-0-7020-5362-7,"51. (2016). In Rang & Dale's pharmacology (8th ed., pp. 626-641). Elsevier Churchill Livingstone.",DB09320
,Ashley C. and Dunleavy A. (2014). The renal drug handbook. Caroline Ashley and Aileen Dunleavy.,DB09327
,Wellington K. and Goa K. (2001). Drugs and aging. Springer .,DB09327
,Woo T.M. and Robinson M. (2016). Pharmacotherapeutics for advanced practice nurse prescribers (4th ed.). Davis Company.,DB09333
,"Swanson D., et al.  (1990). Pharmaceuticals in medical imaging. McGraw-Hill Professional.",DB09333
,"Honjo T., Alt F. and Neuberger M. (2004). Molecular biology of B cells. Elsevier .",DB09336
978-0-07-17803-2,"Barrett KE, Barman SM, Boitano S, Brooks HL (2012). Ganong's Review of Medical Physiology (24th ed.). McGraw Hill.",DB09337
978-0-7020-3471-8,"30. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 372-377). Edinburgh: Elsevier/Churchill Livingstone.",DB09341
0-7167-3136-3,16. (2000). In Molecular Cell Biology (4th ed.). New York: W. H. Freeman.,DB09341
,American Medical Association (1973). American Medical Associaton Drug Evaluation (2nd ed.). Publishing Sciences group.,DB09344
,"Budavari S., et al. (1996). The Merck Index. Merck and Co..",DB09344
,Benedich A. and Deckelbaum R. (2015). Preventive nutrition (5th ed.). Springer .,DB09344
,Sandberg F. and Corrigan D. (2001). Natural remedies their origins and uses. Taylor and Francis.,DB09344
,"Swanson D., et al.  (1990). Pharmaceuticals in medical imaging. McGraw-Hill Professional.",DB09347
,Dawson P. (1999). Textbook of contrast media. Oxford.,DB09347
9780071624428,"Goodman, Louis Sanford, Brunton, Laurence L. Chabner, Bruce. Knollman, Bjorn C. (2011). Goodman and Gilman's the pharmacological basis of therapeutics, Pharmacological basis of therapeutics (12th ed.). New York: McGraw-Hill.",DB09351
978-81-96396-15-2,"Kokate C., Purohit A. and Gokhale S. (2008). Pharmacognosy (42nd ed.). Pragati Book House.",DB09379
978-0-7020-3471-8,"29. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 364). Edinburgh: Elsevier/Churchill Livingstone.",DB09409
9780071624428,"46. (2011). In Goodman and Gilman's the pharmacological basis of therapeutics, Pharmacological basis of therapeutics (12th ed.). New York: McGraw-Hill.",DB09409
9780729582261,"2. (2013). In Clinical naturopathic medicine (pp. 76-78). Elsevier Health Sciences, 2013.",DB09409
9780080536279,"Civitelli, R., Ziambaras, K. and Leelawattana, R. (1997). 6. In Metabolic Bone Disease and Clinically Related Disorders (pp. 191-194). Academic Press.",DB09409
1468448269,"Nancy B. Cummings, S. Klahr (2012). Chronic Renal Disease: Causes, Complications, and Treatment. Springer Science & Business Media.",DB09419
978 92 4 153077 4,Peter Watts and Paul Howe (2010). Strontium and Strontium compounds. World Health Organization.,DB09498
,Kleiman N (2018). Dry Skin. In Compendium of Therapeutic Choices for Minor Ailments (2nd ed.). Canadian Pharmacists Association.,DB11057
,"O'Connor, Davies, G.A. Hopkins, R.M. Hopkins (2014). The Actions and Uses of Ophthalmic Drugs. Butterworth-Heinemann.",DB11060
,Silverman R. (2002). The organic chemistry of enzyme-catalyzed reactions. Academic Press.,DB11065
978-0-7020-3471-8,"26. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 318-322). Edinburgh: Elsevier/Churchill Livingstone.",DB11079
978-0-07-17803-2,"21. (2012). In Ganong's Review of Medical Physiology (24th ed., pp. 377-385). McGraw Hill.",DB11093
978-1-4612-9793-2,2. (1984). In Vitamin D: Basic and Clinical Aspects (pp. 81). Martinus Nijhoff Publishing.,DB11094
,Encyclopedia (2007). The encyclopedia of Ultraviolet Filters. Allured.,DB11096
978-0-8493-3968-4,Draelos D. and Thaman L. (2006). Cosmetic formulation of skin care products. Taylor and Francis Group.,DB11096
,IARC Working Group (2001). IARC Handbooks of Cancer Prevention. WHO.,DB11096
9780323399166,"Jennifer J. Yeager, Mary Beth Winton, Linda E. McCuistion, Kathleen DiMaggio (2018). Pharmacology: A Patient-Centered Nursing Process Approach. Elsevier Health Sciences.",DB11097
,The American Heritage Science Dictionary  (2018). Stedman's Medical Dictionary . Houghton Mifflin Company.,DB11098
,Rost M.  (2007). Drugs during prgnancy and lactation (2nd ed.). Academic press.,DB11098
,Smith M. and Morton D. (2010). The digestive system  (2nd ed.). Churchill Livingstone.,DB11098
,"German A., Maddison J. and Guilford G. (2008). Small animal clinical pharmacology (2nd ed.). Elsevier.",DB11098
,Kim D. and Pickhardt P. (2010). CT Colonography. Elsevier.,DB11110
978-0-7020-3471-8,"14. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 174-175, 181-182). Edinburgh: Elsevier/Churchill Livingstone.",DB11124
,Lee M. and Abrahams M.  (2012). Clinical pharmacology (11th ed.). Churchill Livingstone.,DB11130
,"Michael-Titus A., Revest P. and Shortland P. (2010). The nervous system (2nd ed.). Churchill Livingstone.",DB11130
,"Hanna M., Ouanes J. and Garcia V. (2014). Practical Management of Pain (5th ed.). Mosby.",DB11130
,Le Coutuer P. and Burreson J. (2003). Napoleon's Buttons: 17 molecules that changed history. Tarcher.,DB11130
978-0-7020-3471-8,"23. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 291-2). Edinburgh: Elsevier/Churchill Livingstone.",DB11133
1-58255-320-3,Schilling J. (2004). Pharmacology. A2-in-1 reference for nurses. Lippincott Williams & Wilkins.,DB11148
,Buch J. (2010). Clinically oriented pharmacology (2nd ed.). PDU Medical College.,DB11148
978-0323-07371-4,Daskalos D. (2012). Local anesthesia for the dental hygienist. Elsevier.,DB11148
,Rossoff I. (1974). Handbook of veterinary drugs. Springer.,DB11148
3-7186-5247-1,Whateley T. (1992). Microencapsulation of drugs. Hardwood Academic Publishers..,DB11148
,"Kluwer W. (2008). Clinical pharmacology made incredibly easy (3rd ed.). Lippincott, Williams & Wilkins.",DB11158
,International Atomic Energy Agency (2008). Technetium-99m radiopharmaceuticals: Manufacture of kits. IAEA.,DB11164
,Kowalsky R. (2006). Technetium radiopharmaceutical chemistry. University of New Mexico Health Sciences Center.,DB11164
,"Grunwald F., Kasper S., Biersack J. and Moller J. (1995). Brain SPECT Imaging in psychiatry. Walter de Gruyter.",DB11164
,Jadvar H. (2014). Cancer theranostics. Academic press.,DB11180
978-0-7020-3471-8,"13. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 159-161). Edinburgh: Elsevier/Churchill Livingstone.",DB11181
978-1-25-958473-2,"Chapter 39: Histamine, Bradykinin, and Their Antagonists. (2018). In Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",DB11235
0-12-260807-0,Florey K. (1978). Analytical profiles of drug substances (7th ed.). Academic Press.,DB11273
978-3-642-66777-0,Berde B. and Schild H. (1978). Ergot alkaloids and related compounds. Springer-Verlag.,DB11273
978-0-470-33447-4,Barceloux D. (2008). Medical toxicology of natural substances. Wiley.,DB11273
,Preston S. (1917). Endocrinology. Williams & Wilkins Co..,DB11273
3-7692-3483-9,"Steinhilber, D., Schubert M. and Roth H. (2005). Medizinische Chemie. Deutscher Apotheker Verlag.",DB11274
3-7692-3483-9,"Steinhilber, D., Schubert M. and Roth H. (2005). Medizinische Chemie. Deutscher Apotheker Verlag.",DB11275
,"Steven B. Karch, Olaf Drummer (1996). Karch's Pathology of Drug Abuse, Third Edition. CRC Press.",DB11278
0781728452,Richard C. Dart (2004). Medical Toxicology Third Edition (3rd ed.). Lippincott Williams & Wilkins.,DB11300
978-0-07-17803-2,"Barrett KE, Barman SM, Boitano S, Brooks HL (2012). Ganong's Review of Medical Physiology (24th ed.). McGraw Hill.",DB11348
,Wollschlaeger B. (2003). The ABC Clinical Guide to Herbs. American botanical council.,DB11358
978-0-443-06241-4,Tisserand R. and Young R. (2014). Essential Oil Safety (2nd ed.). Elsevier.,DB11361
978-966-382-553-3,"Bobyrov V., Devyatkina T., Vazhnicha O. and Khristyuk V. (2015). Pharmacology: Textbook for medical higher education institutions (3rd ed.). Nova Knyha.",DB11361
9780071624428,"53. (2011). In Goodman and Gilman's the pharmacological basis of therapeutics, Pharmacological basis of therapeutics (12th ed.). New York: McGraw-Hill.",DB11367
1584884169,"Yannai, Shmuel (2003). Dictionary of Food Compounds with : Additives, Flavors, and Ingredients. CRC Press LLC.",DB11421
978-0-12-407691-4,Brittain H. (2013). Profiles of drug substances and related methodology. Volume 38 (1st ed.). Elsevier.,DB11431
,Varga M. (2014). Textbook of rabbit medicine (2nd ed.). Butterworth Heinmann.,DB11431
1584884169,"Yannai, Shmuel (2003). Dictionary of Food Compounds with : Additives, Flavors, and Ingredients. CRC Press LLC.",DB11446
1584884169,"Yannai, Shmuel (2003). Dictionary of Food Compounds with : Additives, Flavors, and Ingredients. CRC Press LLC.",DB11457
,Grieve M. (1995). A modern herbal. Botanical.,DB11482
978-0-7020-51-821,"Bolognia J., Jorizzo J. and Schaffer J. (2009). Dermatology E-book (3rd ed.). Elsevier.",DB11482
0-85369-578-4,Lis-Balchin M. (2006). Aromatherapy science (1st ed.). Pharmaceutical Press.,DB11482
1-890595-66-7,"Ash M. and Ash I. (2004). Handbook of preservatives. Synapse information resources, Inc.",DB11583
978-0-323-35669-5,Stull J. and Weese J. (2015). Infection Control. Elsevier.,DB11583
,Seyffart G. (1992). Drug dosage in renal insufficiency (2nd ed.). Springer Science+Business Media Dordrecht.,DB11583
,10. (2013). In Novel Psychoactive Substances. Academic Press.,DB11584
,"Walter S. Root, Frederick G. Hofmann (2015). The Nervous System: Central Nervous System Drugs. Academic Press.",DB11584
978-1-4377-1984-0,"Castile RG, Davis SD (2012). 12. In Kendig & Chernick's Disorders of the Respiratory Tract in Children (8th ed., pp. 211). Elsevier Saunders.",DB11589
978-0-7020-3471-8,"6. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 82-84). Edinburgh: Elsevier/Churchill Livingstone.",DB11601
978-1-25-958473-2,"Brunton LL, Hilal-Dandan R, Knollmann BC. eds (2018). Goodman & Gilman's: The Pharmacological Basis of Therapeutics (13th ed.). McGraw-Hill Education.",DB11626
0323140211,Rene Germanier (2012). Bacterial Vaccines. Academic Press.,DB11735
978-0-7020-3471-8,"49. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 612-614). Edinburgh: Elsevier/Churchill Livingstone.",DB11943
978-0-7020-3471-8,"39. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 489-490). Edinburgh: Elsevier/Churchill Livingstone.",DB12161
,Parakh R. and Patil N. (2017). International Journal of Research in Medical Sciences. MSJ Online.,DB12532
978-93-5090-655-2,Kapoor A. and Raju S. (2013). Ilustrated Medical Pharmacology. Jaypee Brothers.,DB12532
1498794610,"Caroline Ashley, Aileen Dunleavy (2017). The Renal Drug Handbook: The Ultimate Prescribing Guide for Renal Practitioners (4th ed.). CRC Press.",DB12783
978-1-4377-0310-8,12. (2011). In Applied Pharmacology (pp. 129). Elsevier Health Sciences.,DB13163
,Kapalka G. (2010). Practical resources for the Mental Health Professional. Academic Press.,DB13178
978-0-7020-3471-8,"5. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 614, 631-632). Edinburgh: Elsevier/Churchill Livingstone.",DB13179
,"Konkle B., Huston H. and Fletcher S. (2017). Gene Reviews. University of Washington..",DB13192
,Hodgson B and Kizior R. (2014). Saunders Nursing Drug Handbook. Elsevier.,DB13192
978-0-7020-3471-8,"25. (2012). In Rang and Dale's Pharmacology  (7th ed., pp. 315). Edinburgh: Elsevier/Churchill Livingstone.",DB13200
,Troy B. and Beringer P. (2006). Remington: The Science and Practice of Pharmacy (21st ed.). Lippincott Williams & Wilkins.,DB13235
